Compound_name;;y_test;y_pred
sulfamethizole;;4.348351648;2.977433209
sulfathiazole;;2.728571429;5.35826785
sulfamerazine;;1.446153846;1.383420272
sulfacetamide;;1.331868132;0.709416662
sulfadiazine;;1.530769231;1.383420272
sulfaguanidine;;0.442391304;0.709416662
sulfaquinoxaline;;19.30326087;13.92340875
sulfamethoxazole;;6.345652174;6.925567385
testosterone;;15.95913978;12.42929005
prednisone;;3.193548387;6.925567385
estrone;;33.35698925;29.14547056
exemestane;;11.53723404;12.42929005
17-alpha-hydroxyprogesterone acetate;;19.41595745;29.14547056
cortisone;;3.185106383;6.925567385
betamethasone;;7.075531915;5.134798609
dehydroepiandrosterone;;19.3;29.14547056
corticosterone;;4.681914894;5.134798609
norethisterone;;16.71382979;12.42929005
pyridine;;3.085106383;2.977433209
nitrocyclohexane;;1.905208333;2.553646388
anisole;;2.066666667;2.553646388
phenol;;1.61875;2.977433209
benzamide;;0.952083333;0.709416662
cumene;;7.367708333;5.703392862
4-dichlorophenol;;11.84583333;12.42929005
nandrolone;;10.375;12.42929005
 17beta-hydroxy-17-methyl-;;12.55208333;29.14547056
purpurin;;22.71875;13.92340875
ketoprofen;;30.03125;29.14547056
naproxen;;30.40625;29.14547056
ibuprofen;;31.625;29.14547056
aspirin;;6.354166667;5.35826785
ethisterone;;12.35416667;12.42929005
testosterone cypionate;;30.46875;29.14547056
testosterone isocaproate;;45;29.14547056
testosterone undecanoate;;36.32291667;29.14547056
Caffeine;;0.35106383;0.709416662
propylparaben;;11.88421053;6.925567385
benzene;;1.694736842;2.553646388
toluene;;2.894736842;2.553646388
1-cloro-4-nitrobenzene;;3.526315789;2.553646388
naphthalene;;10.81052632;6.925567385
2-ethoxybenzoic acid;;4.947368421;5.35826785
3-(2-furyl)acrylic acid;;4.473684211;5.35826785
phthalide;;1.463157895;1.383420272
diphenylmethanol;;5.589473684;5.703392862
p-benzoquinone;;1.357894737;0.709416662
catechol;;1.252631579;2.977433209
4-dihydroxy benzoic acid;;4.884210526;5.35826785
4-hydroxy benzoic acid;;4.957894737;2.977433209
3-(5-methylfuran-2-yl)-propionic acid;;2.642105263;5.35826785
alpha-resorcylic acid;;9.126315789;5.35826785
pyrogallol;;0.968421053;0.709416662
acetophenone;;1.791666667;2.553646388
propiophenone;;2.9375;2.553646388
butyrophenone;;4.635416667;5.134798609
valerophenone;;7.854166667;5.703392862
7-dihydroxy naphthalene;;12.88541667;6.925567385
4-trimethyl benzene;;7.614583333;5.703392862
gibberellic acid;;1.65625;1.383420272
3-Dioxane;;1.40625;2.553646388
vanillic acid;;4.71875;2.977433209
benzoin methyl ether;;5.96875;5.703392862
diphenyl carbonate;;9.75;5.703392862
trans-2-hexenyl acetate;;2.25;2.553646388
4-tert-butylbenzoic acid;;35.4375;29.14547056
bisphenol A;;53.55208333;29.14547056
BHA (3-tert-Butyl-4-hydroxyanisole);;13.58333333;12.42929005
butyl phenyl ether;;8.947916667;5.703392862
toluic acid;;6.729166667;5.35826785
Sebuthylazine;;6.3125;29.14547056
aldicarb;;1.010416667;1.383420272
MCPB;;21.32291667;29.14547056
indole-3-butyric acid;;11.4375;5.35826785
ATRAZIN-DESETHYL-2-HYDROXY;;1.520833333;1.383420272
mecoprop-P;;45.85416667;29.14547056
cyanazin;;4.9375;6.925567385
ISOPROTURON;;4.729166667;6.925567385
metamitron;;0.78125;0.709416662
terbutylazine;;9.5625;6.925567385
linuron;;10.71875;6.925567385
alachlor;;5.135416667;5.703392862
3-butanediol diacrylate;;1.541666667;2.977433209
nortriptyline;;2.458333333;5.703392862
4-dichloro aniline;;3.645833333;2.553646388
trans-ferulic acid;;2.948453608;6.925567385
quercetin;;8.721649485;13.92340875
formononetin;;0.886597938;6.925567385
Rutin Hydrate;;9.773195876;13.92340875
(+)-catechin hydrate;;5.690721649;6.925567385
pentoxifylline;;0.927835052;1.383420272
naringin;;7.81443299;13.92340875
(-)-epicatechin;;6.288659794;5.35826785
(+)-catechin;;9.680412371;6.925567385
tert-butylhydroquinone;;10.07216495;6.925567385
folinic acid sodium salt;;11.04123711;13.92340875
riboflavin;;0.505154639;13.92340875
L-(+)-ascorbic acid;;0.381443299;0.709416662
hydrochloridethiazide;;4.505154639;5.35826785
5-diphenylhydantoin;;16.92783505;13.92340875
antipyrine;;1.847826087;5.35826785
acetaminophen;;0.979381443;1.383420272
isoeugenol;;6.381443299;5.134798609
eugenol;;4.010309278;5.134798609
L-(-)-carvone;;2.804123711;2.553646388
vanillin;;1.979381443;2.977433209
(+)-carvone;;2.845360825;2.553646388
geraniol;;4.639175258;5.703392862
camphor;;2.082474227;2.553646388
o-methylanisole;;3.371134021;2.553646388
cinnamyl alcohol;;2.275510204;2.553646388
