Compound_name;;y_test;y_pred
sulfamethizole;;4.348351648;7.335669102
sulfamerazine;;1.446153846;6.724254943
sulfacetamide;;1.331868132;6.137108489
sulfadiazine;;1.530769231;5.995419103
sulfaguanidine;;0.442391304;4.875491407
sulfaquinoxaline;;19.30326087;8.471515213
sulfamethoxazole;;6.345652174;7.106787048
testosterone;;15.95913978;14.43632641
prednisone;;3.193548387;13.42075914
estrone;;33.35698925;13.96938429
exemestane;;11.53723404;14.00973606
17-alpha-hydroxyprogesterone acetate;;19.41595745;16.83618119
cortisone;;3.185106383;13.78374383
betamethasone;;7.075531915;13.67717848
dehydroepiandrosterone;;19.3;14.6773015
norethisterone;;16.71382979;14.37420288
progesterone;;29.96382979;15.32846026
pyridine;;3.085106383;2.904421816
methyl benzoate;;2.666666667;5.543685097
nitrocyclohexane;;1.905208333;6.251796466
anisole;;2.066666667;4.542597562
phenol;;1.61875;4.010189914
benzamide;;0.952083333;4.179585728
cumene;;7.367708333;6.13961849
4-dichlorophenol;;11.84583333;5.340349108
nandrolone;;10.375;14.06068945
mesterolone;;30.30208333;15.51847665
 17beta-hydroxy-17-methyl-;;12.55208333;14.33546377
purpurin;;22.71875;8.307887364
ketoprofen;;30.03125;12.55848232
ibuprofen;;31.625;12.59528685
aspirin;;6.354166667;6.920606636
ethisterone;;12.35416667;14.89362911
testosterone cypionate;;30.46875;18.58581233
testosterone isocaproate;;45;17.78361983
testosterone undecanoate;;36.32291667;20.09659249
Caffeine;;0.35106383;4.81612373
propylparaben;;11.88421053;9.036303492
benzene;;1.694736842;3.801585486
toluene;;2.894736842;4.576882429
1-cloro-4-nitrobenzene;;3.526315789;5.084904107
naphthalene;;10.81052632;5.576422816
2-ethoxybenzoic acid;;4.947368421;6.982664344
phthalide;;1.463157895;4.914335041
diphenylmethanol;;5.589473684;8.208436174
m-cresol;;2.652631579;4.944044348
p-benzoquinone;;1.357894737;3.897457188
catechol;;1.252631579;3.867046464
4-dihydroxy benzoic acid;;4.884210526;5.167038416
4-hydroxy benzoic acid;;4.957894737;5.34994503
benzyl alcohol;;0.821052632;4.656380664
syringic acid;;4.894736842;6.371617869
alpha-resorcylic acid;;9.126315789;4.951513452
pyrogallol;;0.968421053;3.699571056
acetophenone;;1.791666667;5.276592184
propiophenone;;2.9375;6.262155498
butyrophenone;;4.635416667;7.310121784
valerophenone;;7.854166667;8.627631943
hexanophenone;;14.34375;9.619250215
4-tert-butylphenol;;9.072916667;7.695068025
7-dihydroxy naphthalene;;12.88541667;6.327255447
4-trimethyl benzene;;7.614583333;6.040163666
gibberellic acid;;1.65625;12.69204804
3-Dioxane;;1.40625;7.663943211
vanillic acid;;4.71875;5.797695074
benzoin methyl ether;;5.96875;9.449446863
trans-2-hexenyl acetate;;2.25;8.599458448
4-tert-butylbenzoic acid;;35.4375;10.13317449
butyl phenyl ether;;8.947916667;8.00836496
toluic acid;;6.729166667;5.892437508
equiline;;31.66666667;13.4407126
Sebuthylazine;;6.3125;8.577577066
MCPB;;21.32291667;11.80352165
indole-3-butyric acid;;11.4375;9.961502189
ATRAZIN-DESETHYL-2-HYDROXY;;1.520833333;6.226713577
mecoprop-P;;45.85416667;10.89411797
ISOPROTURON;;4.729166667;8.969358261
metamitron;;0.78125;6.579582228
terbutylazine;;9.5625;8.406935663
linuron;;10.71875;8.993402189
alachlor;;5.135416667;10.08113583
nortriptyline;;2.458333333;9.463082427
4-dichloro aniline;;3.645833333;4.868265797
7-dimethoxycoumarin;;5.453608247;7.060760443
trans-ferulic acid;;2.948453608;8.245298367
quercetin;;8.721649485;9.247443888
formononetin;;0.886597938;9.874232974
Rutin Hydrate;;9.773195876;11.7627627
(+)-catechin hydrate;;5.690721649;10.23271265
pentoxifylline;;0.927835052;8.945125882
naringin;;7.81443299;12.7535736
(-)-epicatechin;;6.288659794;10.27385932
(+)-catechin;;9.680412371;10.23271265
tert-butylhydroquinone;;10.07216495;7.395786404
propyl gallate;;10.37113402;8.764899469
folinic acid sodium salt;;11.04123711;11.94729009
riboflavin;;0.505154639;9.481841264
hydrochloridethiazide;;4.505154639;6.519878707
5-diphenylhydantoin;;16.92783505;8.231176777
antipyrine;;1.847826087;6.991599055
acetaminophen;;0.979381443;6.254958866
isoeugenol;;6.381443299;7.367442232
eugenol;;4.010309278;7.396432635
L-(-)-carvone;;2.804123711;7.708701933
vanillin;;1.979381443;5.003182936
(+)-carvone;;2.845360825;7.722362941
geraniol;;4.639175258;8.596711389
camphor;;2.082474227;7.940026469
o-methylanisole;;3.371134021;5.243974391
cinnamaldehyde;;2.845360825;6.017907298
cinnamyl alcohol;;2.275510204;6.290359495
dimethyl phthalate;;1.886597938;6.830936617
diethyl phthalate;;3.918367347;8.910409487
methylparaben;;3.363636364;6.17630431
ethylparaben;;5.693877551;7.60401429
butylparaben;;19.56565657;9.902903232
cefamandole;;33.05102041;14.39673361
myclobutanil;;12.58762887;11.04801612
fmoc chloride;;0.288659794;10.21994582
hippuric acid;;5.581632653;7.715397054
3-nitrophenol;;3.360824742;4.178249215
thymine;;0.142857143;3.519674973
carbamazepine;;5.142857143;7.664325741
dansyl chloride;;6.826530612;9.207055213
abiraterone;;2.826530612;14.54138554
estriol;;12.51020408;13.44694496
chlorambucil;;24.94897959;13.19703031
2-hydroxypyridine;;0.336734694;3.445159392
piroxicam;;4.673469388;8.90114822
methyl-p-toluene sulfonate;;3.278350515;6.688932781
tropolone;;2.908163265;4.357746474
tropic acid;;1.96969697;7.286592085
PyBOP;;3.252525253;9.651846149
p-toluenesulfonyl isocyanate;;1.643564356;6.456339363
rifampicin;;9;9.782520302
4-(dimethylamino)benzoic acid;;3.469387755;7.508575008
