Importance,Molecular Descriptor
3.5927108016507807,Hypertens-50
1.8952916835397797,CATS2D_08_PL
1.6091169542733743,minaaN
1.4277837341079547,B01_N-S_
1.4277837341079547,B05_N-S_
1.423674254912982,B08_N-N_
1.4193230298474697,B06_N-N_
1.4092224220361194,B04_O-O_
1.4044290019085472,CATS3D_06_AP
1.3148489512264248,B02_O-O_
1.2581315878654358,VE3sign_Coulomb
1.1769554679997418,B05_C-N_
1.172702865208308,CATS2D_03_PL
1.1663238879086149,P_VSA_charge_5
1.144985959484161,B04_C-O_
1.109138159830537,CATS3D_02_PL
1.0891868499522614,CATS2D_08_AP
1.0872714579985523,F08_N-N_
1.081988623293014,CATS2D_06_AP
1.0819143408723333,SM04_AEA(dm)
1.0559748598565535,F05_C-S_
1.0313964852204613,DLS_04
1.0232571277834583,B03_S-S_
1.0232571277834583,B02_N-S_
1.0156550789307754,nR10
1.005813634083233,B02_C-O_
1.005100432601649,F02_N-S_
1.0018251634604707,R2s+
1.0,nPyridines
1.0,nArCONH2
0.9989922931503836,ARR
0.9859960876973801,SaaS
0.9687870422380307,C-043
0.9419154697570453,TDB09m
0.9139971285313376,B04_O-S_
0.9023568902788658,VE2sign_Dz(p)
0.8858081072062215,nRCO
0.8854383837629449,CATS2D_02_PL
0.8803433788924191,N-075
0.8720309476447009,TDB10s
0.8607230119123339,VE3sign_Dz(Z)
0.8560674818322187,B03_O-O_
0.8526685622168326,minsCH3
0.847709247213525,B01_N-O_
0.8474094833309483,SM03_EA(dm)
0.8456691509553415,Chi_D/Dt
0.842789186637104,B10_O-O_
0.837795432529437,P_VSA_charge_4
0.803825019964366,Neoplastic-80
0.803036487436877,B04_C-C_
0.7978503518070195,s2_numRotBonds
0.7904457031150902,B07_C-C_
0.7886223736498654,TDB06u
0.7880219266910731,MATS8v
0.7823803377210073,MATS1e
0.7699635346343567,B02_N-O_
0.7671206717686209,CATS2D_01_AA
0.7478247098520411,H-051
0.7402260845674117,B04_Cl-Cl_
0.7402260845674117,B03_O-Cl_
0.7402260845674117,F03_O-Cl_
0.738545621894823,VE1sign_B(v)
0.7273904945357342,MATS8m
0.7242835694810094,P_VSA_charge_13
0.7238831155745439,RTs+
0.718155111267969,CATS2D_09_AL
0.7064010989727912,TDB10v
0.7060216357533649,CMBL
0.7037662717159994,Eig10_EA(dm)
0.6928387092067821,LLS_01
0.6892930457328382,SRW05
0.6868280623178915,C-044
0.6858108600940858,F01_N-O_
0.6687760509550854,C-027
0.6682319608821796,B01_C-S_
0.6615954106593401,SpMAD_EA(bo)
0.638718575330557,VE1sign_A
0.6387069686474992,s4_numSharedNeighbors
0.6382873448012389,G2m
0.635035701704528,TDB09s
0.6250818394749597,MAXDN
0.6137389120254079,B05_C-S_
0.6121931553832939,R2m+
0.6118038050827707,GATS2s
0.6106930710764175,nLevel5
0.6068553141840869,B07_O-O_
0.6015820344648989,B05_N-O_
0.6006290116608324,VE3sign_RG
0.5928070176720717,rGes
0.5908283001638155,Uc
0.5809319149111305,VE1sign_Dz(p)
0.5807561444631859,T(N..S)
0.5788083642793052,R8u+
0.5751625189284273,Mor13u
0.5722467192778706,TDB09v
0.5717756602458788,TDB10u
0.5705047653132416,s1_phSize
0.5694940271391103,HATS7u
0.5690656748770149,JGI5
0.5672483803302355,Mor04m
0.5643634911697762,Mor13p
0.5636951827682668,VE3sign_A
0.5585053336871741,P_VSA_ppp_ar
0.551010947101631,CATS2D_08_AN
0.5474082287620632,CATS2D_05_AL
0.5461199441862438,s3_phRelSize
0.5443342522936386,B07_O-Cl_
0.5436965490956511,nCq
0.5415148098630058,CATS3D_07_PL
0.5366317693686313,CATS3D_06_LL
0.5339114508871093,SpMax_B(m)
0.5309285397607945,CATS2D_09_AP
0.5309285397607945,B04_N-S_
0.5291765976004945,T(Cl..Cl)
0.5264492752417893,ISH
0.5262247706137182,MEcc
0.5243921491629083,Psi_i_t
0.5239124729746465,N-077
0.5239124729746465,nRNO2
0.5239124729746465,O-061
0.5227046678220721,B08_C-C_
0.5224678355003095,F09_N-N_
0.5224678355003095,B09_N-N_
0.5186251026868306,Mor06s
0.5173945989993777,PCWTE2
0.5162803928668134,MATS1s
0.5112758649521651,ChiA_D/Dt
0.5099804330543357,G1u
0.507712253593754,SM03_AEA(dm)
0.5071701158169588,nFuranes
0.507031403651728,B03_C-O_
0.5042282233068432,Inflammat-80
0.502051916450495,VE3sign_B(v)
0.5020500316705216,Mor31m
0.5016414042891028,nR=Ct
