Compound_name,y_test,y_pred
bisphenol A,53.55208333,53.41497477557995
mecoprop-P,45.85416667,45.94301883051226
testosterone isocaproate,45.0,37.492204715009066
testosterone undecanoate,36.32291667,36.186801004372356
4-tert-butylbenzoic acid,35.4375,35.54373040458213
estrone,33.35698925,33.23823481655215
cefamandole,33.05102041,33.125443623946914
equiline,31.66666667,31.732129819471588
ibuprofen,31.625,22.009546857402384
testosterone cypionate,30.46875,29.93437463487045
naproxen,30.40625,16.32432301937854
mesterolone,30.30208333,27.121926683268633
ketoprofen,30.03125,29.981932060112364
chlorambucil,24.94897959,24.86473049181847
purpurin,22.71875,22.313827970014763
MCPB,21.32291667,21.462194370239843
butylparaben,19.56565657,16.002220466378837
17-alpha-hydroxyprogesterone acetate,19.41595745,19.3259963660376
sulfaquinoxaline,19.30326087,17.32861837638231
dehydroepiandrosterone,19.3,8.750143020346103
5-5-diphenylhydantoin,16.92783505,16.814819597265753
norethisterone,16.71382979,9.302017023688949
testosterone,15.95913978,12.150998708948075
hexanophenone,14.34375,13.571926491698322
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,8.574125274604528
2-7-dihydroxy naphthalene,12.88541667,12.736776348056717
myclobutanil,12.58762887,15.358722551959334
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,16.568812730293914
estriol,12.51020408,12.648998719930214
propylparaben,11.88421053,11.772779043660359
2-4-dichlorophenol,11.84583333,11.745337430189055
exemestane,11.53723404,11.459843182399092
indole-3-butyric acid,11.4375,11.307580824249394
folinic acid sodium salt,11.04123711,16.48521665791747
linuron,10.71875,10.865787475272933
nandrolone,10.375,10.305298477169076
propyl gallate,10.37113402,10.263072361008314
tert-butylhydroquinone,10.07216495,5.080720386761891
Rutin Hydrate,9.773195876,9.89003640141266
diphenyl carbonate,9.75,9.633032827925485
(+)-catechin,9.680412371,9.786863662058318
(+)-griseofulvin,9.37755102,9.24976040828144
alpha-resorcylic acid,9.126315789,8.999647303638165
4-tert-butylphenol,9.072916667,8.936080775901269
rifampicin,9.0,8.860319462680183
butyl phenyl ether,8.947916667,8.85524951749519
quercetin,8.721649485,8.638971935753469
valerophenone,7.854166667,7.721634494900558
1-2-4-trimethyl benzene,7.614583333,7.702478147364845
cumene,7.367708333,7.846967388168183
betamethasone,7.075531915,6.991582019340521
dansyl chloride,6.826530612,6.7121337684094105
toluic acid,6.729166667,6.83757957347237
isoeugenol,6.381443299,6.460591416281909
sulfamethoxazole,6.345652174,6.43875189805725
(-)-epicatechin,6.288659794,6.160561392068226
benzoin methyl ether,5.96875,5.853118255826432
ethylparaben,5.693877551,5.570281966752114
(+)-catechin hydrate,5.690721649,5.785337133746234
diphenylmethanol,5.589473684,5.495055721550829
hippuric acid,5.581632653,5.708847103483906
5-7-dimethoxycoumarin,5.453608247,5.321557795521793
carbamazepine,5.142857143,5.034923878508289
alachlor,5.135416667,5.255541128026879
