Compound_name;;y_test;y_pred
sulfamethizole;;4.348351648;3.3715043
sulfathiazole;;2.728571429;2.268033
sulfamerazine;;1.446153846;0.9908206
sulfacetamide;;1.331868132;0.8747232
sulfadiazine;;1.530769231;1.1037354
sulfaguanidine;;0.442391304;0.5
sulfaquinoxaline;;19.30326087;13.535139
sulfamethoxazole;;6.345652174;4.4119387
prednisone;;3.193548387;2.415028
estrone;;33.35698925;25.614681
exemestane;;11.53723404;8.742747
17-alpha-hydroxyprogesterone acetate;;19.41595745;13.984058
cortisone;;3.185106383;2.3624353
betamethasone;;7.075531915;5.092548
dehydroepiandrosterone;;19.3;15.442091
corticosterone;;4.681914894;3.4907942
progesterone;;29.96382979;23.22822
pyridine;;3.085106383;2.2637038
methyl benzoate;;2.666666667;2.223246
nitrocyclohexane;;1.905208333;1.4577637
phenol;;1.61875;1.2245114
cumene;;7.367708333;6.0168653
4-dichlorophenol;;11.84583333;7.526314
mesterolone;;30.30208333;22.694962
 17beta-hydroxy-17-methyl-;;12.55208333;8.9607
purpurin;;22.71875;14.928152
ketoprofen;;30.03125;24.40047
naproxen;;30.40625;24.839458
ibuprofen;;31.625;23.83413
aspirin;;6.354166667;4.32373
ethisterone;;12.35416667;8.909311
testosterone cypionate;;30.46875;25.428915
testosterone isocaproate;;45;28.199333
testosterone undecanoate;;36.32291667;27.246555
Caffeine;;0.35106383;0.5
propylparaben;;11.88421053;7.356473
toluene;;2.894736842;2.3304777
1-cloro-4-nitrobenzene;;3.526315789;2.6961493
naphthalene;;10.81052632;7.6991377
2-ethoxybenzoic acid;;4.947368421;3.888206
3-(2-furyl)acrylic acid;;4.473684211;3.2119312
phthalide;;1.463157895;1.0573602
diphenylmethanol;;5.589473684;4.5900474
m-cresol;;2.652631579;2.218544
p-benzoquinone;;1.357894737;0.9523312
4-dihydroxy benzoic acid;;4.884210526;4.0340347
4-hydroxy benzoic acid;;4.957894737;3.907311
benzyl alcohol;;0.821052632;0.57454336
3-(5-methylfuran-2-yl)-propionic acid;;2.642105263;2.1256924
syringic acid;;4.894736842;4.023281
alpha-resorcylic acid;;9.126315789;5.7184653
acetophenone;;1.791666667;1.404316
propiophenone;;2.9375;2.4137
butyrophenone;;4.635416667;3.3761816
valerophenone;;7.854166667;6.3882003
hexanophenone;;14.34375;7.9864416
4-tert-butylphenol;;9.072916667;7.139656
7-dihydroxy naphthalene;;12.88541667;8.310691
4-trimethyl benzene;;7.614583333;6.031383
gibberellic acid;;1.65625;1.1328273
vanillic acid;;4.71875;3.874155
benzoin methyl ether;;5.96875;4.776444
diphenyl carbonate;;9.75;7.291165
trans-2-hexenyl acetate;;2.25;1.7870867
4-tert-butylbenzoic acid;;35.4375;25.453558
bisphenol A;;53.55208333;28.269209
BHA (3-tert-Butyl-4-hydroxyanisole);;13.58333333;8.741036
butyl phenyl ether;;8.947916667;6.94412
equiline;;31.66666667;25.674232
Sebuthylazine;;6.3125;4.9538608
aldicarb;;1.010416667;0.6606463
MCPB;;21.32291667;16.889227
ATRAZIN-DESETHYL-2-HYDROXY;;1.520833333;1.057066
mecoprop-P;;45.85416667;26.539373
cyanazin;;4.9375;3.8372493
ISOPROTURON;;4.729166667;3.64569
metamitron;;0.78125;0.5274269
terbutylazine;;9.5625;6.466212
linuron;;10.71875;7.0988674
alachlor;;5.135416667;4.1632657
3-butanediol diacrylate;;1.541666667;1.1192245
nortriptyline;;2.458333333;1.6092583
4-dichloro aniline;;3.645833333;2.7891827
7-dimethoxycoumarin;;5.453608247;4.0023475
trans-ferulic acid;;2.948453608;2.207839
quercetin;;8.721649485;6.7325034
formononetin;;0.886597938;0.54904246
Rutin Hydrate;;9.773195876;7.1444206
(+)-catechin hydrate;;5.690721649;5.9404655
pentoxifylline;;0.927835052;0.5668725
naringin;;7.81443299;5.8505545
(-)-epicatechin;;6.288659794;5.218479
(+)-catechin;;9.680412371;5.9404655
tert-butylhydroquinone;;10.07216495;6.96358
propyl gallate;;10.37113402;6.74887
folinic acid sodium salt;;11.04123711;8.096808
riboflavin;;0.505154639;0.5000206
L-(+)-ascorbic acid;;0.381443299;0.5
hydrochloridethiazide;;4.505154639;3.4679446
5-diphenylhydantoin;;16.92783505;12.231672
acetaminophen;;0.979381443;0.6516105
isoeugenol;;6.381443299;4.809279
eugenol;;4.010309278;3.274851
L-(-)-carvone;;2.804123711;2.3013434
vanillin;;1.979381443;1.5762886
(+)-carvone;;2.845360825;2.2951846
geraniol;;4.639175258;3.7413077
camphor;;2.082474227;1.607846
o-methylanisole;;3.371134021;2.625166
cinnamaldehyde;;2.845360825;2.3323126
cinnamyl alcohol;;2.275510204;1.86671
dimethyl phthalate;;1.886597938;1.4595934
diethyl phthalate;;3.918367347;3.1446505
isopropyl isocyanate;;0.757575758;0.5329919
methylparaben;;3.363636364;2.7672887
cefamandole;;33.05102041;18.849874
myclobutanil;;12.58762887;8.178658
fmoc chloride;;0.288659794;0.5
(+)-griseofulvin;;9.37755102;6.958733
hippuric acid;;5.581632653;3.8639355
3-nitrophenol;;3.360824742;2.7430449
thymine;;0.142857143;0.5
carbamazepine;;5.142857143;3.9572096
dansyl chloride;;6.826530612;5.274792
abiraterone;;2.826530612;1.8727826
chlorambucil;;24.94897959;20.754412
2-hydroxypyridine;;0.336734694;0.5
piroxicam;;4.673469388;3.5052536
methyl-p-toluene sulfonate;;3.278350515;2.555606
tropolone;;2.908163265;2.2828393
tropic acid;;1.96969697;1.5416832
PyBOP;;3.252525253;2.254499
p-toluenesulfonyl isocyanate;;1.643564356;1.206064
rifampicin;;9;6.7464256
thiamethoxam;;0.826530612;0.55501044
4-(dimethylamino)benzoic acid;;3.469387755;2.7849627
