Compound_name;;y_test;y_pred
sulfamethizole;;4.348351648;3.4611907
sulfathiazole;;2.728571429;2.2321858
sulfamerazine;;1.446153846;1.0465975
sulfacetamide;;1.331868132;0.8546281
sulfaguanidine;;0.442391304;0.5
sulfaquinoxaline;;19.30326087;12.553777
sulfamethoxazole;;6.345652174;4.388691
testosterone;;15.95913978;12.021468
prednisone;;3.193548387;2.437073
estrone;;33.35698925;25.05922
exemestane;;11.53723404;8.73439
17-alpha-hydroxyprogesterone acetate;;19.41595745;14.548978
cortisone;;3.185106383;2.4443836
betamethasone;;7.075531915;5.043674
dehydroepiandrosterone;;19.3;15.429928
corticosterone;;4.681914894;3.6513908
norethisterone;;16.71382979;13.061706
progesterone;;29.96382979;22.128109
methyl benzoate;;2.666666667;2.2496223
nitrocyclohexane;;1.905208333;1.3893387
anisole;;2.066666667;1.64411
benzamide;;0.952083333;0.6288448
cumene;;7.367708333;5.9478188
4-dichlorophenol;;11.84583333;7.869321
nandrolone;;10.375;8.08125
mesterolone;;30.30208333;22.512033
 17beta-hydroxy-17-methyl-;;12.55208333;8.974148
purpurin;;22.71875;13.148622
ketoprofen;;30.03125;24.837082
naproxen;;30.40625;23.729242
ibuprofen;;31.625;24.50798
testosterone cypionate;;30.46875;25.430214
testosterone isocaproate;;45;26.669504
testosterone undecanoate;;36.32291667;26.633991
Caffeine;;0.35106383;0.5
propylparaben;;11.88421053;8.424807
benzene;;1.694736842;1.2338325
toluene;;2.894736842;2.2327237
1-cloro-4-nitrobenzene;;3.526315789;2.5704842
naphthalene;;10.81052632;8.057533
3-(2-furyl)acrylic acid;;4.473684211;3.4680338
phthalide;;1.463157895;1.0714352
diphenylmethanol;;5.589473684;4.3330703
m-cresol;;2.652631579;2.1450129
catechol;;1.252631579;0.8592105
4-dihydroxy benzoic acid;;4.884210526;3.9306698
4-hydroxy benzoic acid;;4.957894737;3.856758
benzyl alcohol;;0.821052632;0.5733963
3-(5-methylfuran-2-yl)-propionic acid;;2.642105263;2.1335855
syringic acid;;4.894736842;4.0137825
alpha-resorcylic acid;;9.126315789;4.776547
pyrogallol;;0.968421053;0.62889713
acetophenone;;1.791666667;1.3919187
propiophenone;;2.9375;2.3390045
butyrophenone;;4.635416667;3.4839206
valerophenone;;7.854166667;6.240584
hexanophenone;;14.34375;9.354518
4-tert-butylphenol;;9.072916667;7.4473853
7-dihydroxy naphthalene;;12.88541667;9.461079
4-trimethyl benzene;;7.614583333;5.990496
gibberellic acid;;1.65625;1.0328662
3-Dioxane;;1.40625;1.0262928
vanillic acid;;4.71875;3.912397
benzoin methyl ether;;5.96875;4.6675076
diphenyl carbonate;;9.75;7.348317
trans-2-hexenyl acetate;;2.25;1.7848873
bisphenol A;;53.55208333;26.669504
BHA (3-tert-Butyl-4-hydroxyanisole);;13.58333333;8.710953
butyl phenyl ether;;8.947916667;7.0802407
toluic acid;;6.729166667;4.2861323
equiline;;31.66666667;25.521994
Sebuthylazine;;6.3125;4.9603963
aldicarb;;1.010416667;0.64515024
MCPB;;21.32291667;14.418549
indole-3-butyric acid;;11.4375;8.9420805
cyanazin;;4.9375;3.781952
ISOPROTURON;;4.729166667;3.4450884
metamitron;;0.78125;0.5263949
terbutylazine;;9.5625;7.2564764
linuron;;10.71875;7.66166
alachlor;;5.135416667;4.033085
3-butanediol diacrylate;;1.541666667;1.0875802
nortriptyline;;2.458333333;1.6312056
4-dichloro aniline;;3.645833333;2.687031
7-dimethoxycoumarin;;5.453608247;4.0687017
trans-ferulic acid;;2.948453608;2.2896826
formononetin;;0.886597938;0.5502286
Rutin Hydrate;;9.773195876;6.9373775
(+)-catechin hydrate;;5.690721649;5.9948363
pentoxifylline;;0.927835052;0.5947541
(-)-epicatechin;;6.288659794;4.9964848
(+)-catechin;;9.680412371;5.9948363
tert-butylhydroquinone;;10.07216495;7.7794266
propyl gallate;;10.37113402;7.034974
folinic acid sodium salt;;11.04123711;7.616138
riboflavin;;0.505154639;0.500009
L-(+)-ascorbic acid;;0.381443299;0.5
hydrochloridethiazide;;4.505154639;3.400175
5-diphenylhydantoin;;16.92783505;11.828131
antipyrine;;1.847826087;1.4283528
acetaminophen;;0.979381443;0.6374111
isoeugenol;;6.381443299;4.924757
eugenol;;4.010309278;3.25754
L-(-)-carvone;;2.804123711;2.2424583
(+)-carvone;;2.845360825;2.256216
geraniol;;4.639175258;3.491938
camphor;;2.082474227;1.5235934
o-methylanisole;;3.371134021;2.6399176
cinnamaldehyde;;2.845360825;2.3144855
cinnamyl alcohol;;2.275510204;1.8728809
dimethyl phthalate;;1.886597938;1.472904
diethyl phthalate;;3.918367347;2.9752343
isopropyl isocyanate;;0.757575758;0.52284765
methylparaben;;3.363636364;2.8481555
ethylparaben;;5.693877551;4.055904
butylparaben;;19.56565657;13.80488
cefamandole;;33.05102041;19.9901
myclobutanil;;12.58762887;8.385494
fmoc chloride;;0.288659794;0.5
(+)-griseofulvin;;9.37755102;7.041237
hippuric acid;;5.581632653;3.7948604
3-nitrophenol;;3.360824742;2.7644188
thymine;;0.142857143;0.5
dansyl chloride;;6.826530612;5.271516
abiraterone;;2.826530612;1.9130876
estriol;;12.51020408;8.419872
chlorambucil;;24.94897959;20.478636
2-hydroxypyridine;;0.336734694;0.5
piroxicam;;4.673469388;3.3377414
tropolone;;2.908163265;2.2045393
tropic acid;;1.96969697;1.5664976
PyBOP;;3.252525253;2.189908
p-toluenesulfonyl isocyanate;;1.643564356;1.2286971
rifampicin;;9;6.814103
thiamethoxam;;0.826530612;0.53547513
4-(dimethylamino)benzoic acid;;3.469387755;2.8549964
