Importance,Molecular Descriptor
0.007001538081631445,B08_C-C_
0.00623021043374661,B09_C-O_
0.005244392786517138,B10_O-O_
0.0049682143822294455,B08_C-O_
0.0045350207038715165,nR10
0.004524371487240448,Inflammat-80
0.004327748907087115,ESOL
0.004216487852530133,SpMin1_Bh(m)
0.004204769629364121,TDB10u
0.00417880850483517,MLOGP2
0.004096813516517546,ALOGP
0.003969006244863002,Depressant-80
0.003852953557894586,CATS3D_06_AL
0.003798633545195831,LOGP99
0.003770329661913155,Mor22u
0.003739166478250405,ALOGP2
0.0035689659235737825,DLS_05
0.0034537067662848793,TDB10m
0.003428542138183323,SpMin3_Bh(s)
0.0033805032101467745,Mor25u
0.0032996258923579692,Infective-80
0.003294701526761713,CMC-50
0.003240699228582444,SpMin1_Bh(s)
0.0031948739823332963,Mor04u
0.003092226254836949,s2_size
0.0030570667391035438,Mor23u
0.003049564465757053,VE1_Coulomb
0.0030469670574673935,CATS2D_00_LL
0.0029863146632130595,Mor21u
0.0029776923163972397,Mor22v
0.0029182080615999246,Mor28u
0.0028918406519220724,D/Dtr10
0.0028079579327605145,Mor21v
0.0028028023762166226,nCq
0.0027775209910760905,H-046
0.00277125679696395,Mor04v
0.002758553924326159,SM11_AEA(dm)
0.002744697049263466,Mor12u
0.0027380877559335776,H3u
0.002729059705057727,RDF030v
0.0027003111534018645,AVS_RG
0.002695122396946933,ChiA_D
0.0026856820369504076,SpMin2_Bh(s)
0.002678354050787603,Eta_L_A
0.0026727008424564163,Mor20u
0.0026652905952087367,nLevel1
0.0026646412516387165,Hypertens-80
0.002661651680830517,s2_relSize
0.002601584908962673,Mor17u
0.002581729951820561,MaxsssCH
0.00255650986542442,CMC-80
0.002556037779168468,R3u
0.0025265784569789567,piPC09
0.002516867365971295,VE1_X
0.002504406505734649,nCrs
0.002490187406105511,Chi_D/Dt
0.0024247867359837544,R4v
0.002422586286785259,MLOGP
0.0024070800739548572,Mor22m
0.002397454384601179,CATS2D_07_LL
0.002376844215394849,CATS3D_07_LL
0.0023582148492208746,nLevel6
0.002352583941031276,nCt
0.002351027035901787,B07_C-C_
0.0023470977956729874,piPC10
0.0023462636843749264,NssssC
0.0023366083928788297,EE_Dt
0.0023297052247609803,B10_C-O_
0.00232684629723472,TDB08v
0.002303293063032059,Mor31u
0.0022977529785962758,CATS3D_05_LL
0.0022896569155812026,MDEC-23
0.002281530339504751,TDB10s
0.0022748441103103588,R5v
0.002243897029869754,R8v
0.0022416470064673855,ChiA_RG
0.0022238758692979784,WHALES100_Isol
0.002206199755700858,GATS8i
0.0021894330938879696,nR09
0.0021834842856824103,CATS3D_08_AL
0.0021809742359663307,H5s
0.0021684610444113457,CIC1
0.002166335097458556,J_D/Dt
0.002153455210292632,RPCG
0.0021491736603905286,Mor08m
0.0021250974221099384,SpMin4_Bh(s)
0.002124986532951175,SIC0
0.0021160790340925507,Psychotic-80
0.0021032224140965445,R8u
0.002078582671509617,CATS2D_06_LL
0.002071760299704526,CIC0
0.0020716542835204255,H2u
0.0020650026743971764,GATS8p
0.0020553031248340325,nLevel7
0.0020374694819557423,VE1_B(m)
0.0020352171769968063,WHALES80_Isol
0.002026212425906627,SM13_AEA(bo)
0.0019779771969719506,Yindex
0.0019624098901165825,DLS_04
0.0019519848990824326,J_Dt
0.0019482258057029883,SpMin3_Bh(m)
0.0019345308828058706,CATS3D_06_LL
0.0019339490601774213,SpMin1_Bh(v)
0.0019224659698255026,Mor25s
0.0019184170539089608,SM12_AEA(bo)
0.0019024953846462028,Mor14v
0.001889184065355418,TDB09v
0.0018834016768570928,SpMin2_Bh(m)
0.0018706108025958563,B07_C-O_
0.0018679855549170376,VR2_A
0.0018528691362954197,CATS2D_08_LL
0.0018362514381745829,Mor03u
0.0018360115474133371,J_Dz(e)
0.0018291001064444242,C-002
0.0018115965327226494,Hypnotic-80
0.0018108791604429162,SM09_AEA(dm)
0.0018008590239510444,Eig05_AEA(dm)
0.0018008457438251355,Mor28m
0.00180019342742459,HyWi_G
0.0017955079961625951,Mor10v
0.0017941230625113328,piPC08
0.0017932193553612294,R3v
0.001784720937519899,R5u
0.0017793712812193112,Mor24v
0.0017712309071084866,Mor19u
0.0017692202038343888,MDEC-14
0.0017637857016564757,SHED_DL
0.0017438213871117133,B09_C-C_
0.0017409875047981885,Mor09u
0.0017385433498691807,CATS3D_10_DA
0.0017363119246197403,minsOH
0.0017279253678607804,NssCH2
0.0017244442286611355,SM14_AEA(bo)
0.001718665922507284,ATS3s
0.0017178362137780555,TDB09m
0.001717033173185031,TDB10v
0.0017092282102591108,VE3_RG
0.0017061637836442171,R4e+
0.0016653416734165524,Mor29u
0.0016643809761090387,P_VSA_charge_8
0.0016616101471086705,WiA_D/Dt
0.001661315612978675,ATS7m
0.0016565936533211227,R6v
0.0016556467243662137,TDB07v
0.0016499146477958178,MSD
0.0016499020652724322,SpMAD_EA(ri)
0.0016493576049061453,DBI
0.0016491473166271916,Mor21s
0.0016442869048709382,Infective-50
0.0016426522416466277,Mor02u
0.0016394964566949827,DLS_03
0.0016346835214397428,RFD
0.0016264426583388627,GGI1
0.001625327633234476,s1_size
0.0016195900556893535,TDB08m
0.001618351773527482,Eig03_AEA(dm)
0.001615419776770278,Mor10m
0.0016118188280526272,CATS2D_02_AL
0.0016060335543468729,Mor21m
0.0016051252394942094,QED
0.0015995087082242318,Neoplastic-80
0.0015987935263407375,IC3
0.0015933736887419347,R5e+
0.0015832344977514306,minsCH3
0.0015746066373398964,X1A
0.0015741976501049207,s3_numSharedNeighbors
0.001572473562228964,R4u
0.0015518077823388457,SpMax3_Bh(v)
0.001533769157982591,MDEC-22
0.0015288138138557065,RDF060u
0.0015227109282736323,PJI2
0.0015217740105317858,RDF050m
0.0015184509002639896,nLevel5
0.0015008171285519278,piPC07
0.0014869507865231738,SpMin4_Bh(m)
0.001486625896852598,SpMax2_Bh(v)
0.0014833075369298772,nCIC
0.0014813076336766683,nCIR
0.0014781571972616392,SHED_AL
0.0014761161369662708,SpMax3_Bh(m)
0.0014686098995457572,B06_C-C_
0.0014675741199697235,TDB08u
0.0014541383512312403,G1
0.0014471782951261786,nR06
0.0014342441071291453,Psi_i_A
0.0014338984770292985,CATS2D_07_AL
0.0014296437602853021,Mor02v
0.0014252140726348059,R6u
0.0014240596101828002,H6v
0.0014150683475734045,R3u+
0.0014149315449395682,Mor17v
0.0014144967157066054,SpMax1_Bh(v)
0.0014142613025019915,P_VSA_ppp_L
0.0013960740538728241,TDB09s
0.0013939037084809813,H6u
0.0013908226100358835,Eta_psi1
0.0013887449443997718,VE3sign_B(p)
0.0013883826152357916,P_VSA_i_3
0.001387240169533072,Fsp3
0.0013867785877508753,B02_N-O_
0.0013828639718949226,SpPosA_B(m)
0.0013633691697228652,J_Dz(p)
0.0013583176581459181,RDF090s
0.0013563510107081488,RDF045v
0.0013529212344612484,CATS3D_08_LL
0.0013476815473949014,Mor28v
0.0013456255060733141,R8s
0.0013446380674192045,SPAM
0.0013441593146206502,Mor09s
0.0013406880632784476,Mor06v
0.0013405494580317585,Mor31s
0.0013350809306504475,R7s
0.0013340662166111048,CATS3D_04_NL
0.001328766323619543,VE3sign_D/Dt
0.0013277070265976354,H7u
0.0013264143356880706,CATS3D_05_DL
0.0013201611547519014,RDF040s
0.0013182850530609432,SpMax5_Bh(s)
0.0013172443227044432,JGI6
0.0013163400291423253,VE2_G/D
0.0013122623100981544,Mor09m
0.0013081766811190395,RDF030u
0.001306593904761006,X0Av
0.0013065270845583647,RDF075u
0.0013046425075791755,H7s
0.0013020110550860907,Mor14u
0.0013008360972785044,QEDu
0.001298428527614873,H4m
0.0012981818268651805,RDF090u
0.0012951956720257465,RDF070u
0.0012939853761177408,MDEC-12
0.001291237609553439,B04_C-N_
0.0012888537949131299,ZM1Mad
0.0012865078899202624,GD
0.0012845234354540986,TDB06p
0.0012819931108751159,R7v
0.0012813013384677064,SHED_LL
0.0012805170740380488,CATS3D_08_DL
0.001278438985402014,DLS_cons
0.0012781714508148746,Mor14m
0.0012774567272595566,SM12_AEA(ri)
0.0012763536368121634,E1v
0.0012730903279840782,MaxssCH2
0.0012650050227901069,TDB09u
0.0012603314628907224,LLS_01
0.0012530596712603168,meanDistFromCC
0.0012523562505012066,Eta_sh_x
0.0012385870392346194,HATS2v
0.0012357894879254398,CATS2D_08_DL
0.001235589056483475,SpMax_B(v)
0.0012307217702153966,RDF080m
0.0012297162094318651,nBnz
0.001227512292781931,s3_size
0.0012269408700098692,J_RG
0.001224775737605349,SM08_AEA(dm)
0.001223405666918161,nCsp3
0.00122249337557568,VE3sign_Dz(v)
0.0012218870670794618,Eig04_AEA(dm)
0.001215735805139852,GATS7v
0.0012146325463125553,VE1sign_G
0.0012008477107459969,piPC06
0.0011996780485755087,SM10_AEA(bo)
0.0011977265424449979,R7u
0.0011945409541118124,Chi_Dz(Z)
0.0011936138835709166,TDB04i
0.0011928925708875537,SssCH2
0.0011880691198163293,SpPosA_B(e)
0.001186787267713829,HATS2p
0.0011853769393150458,H-051
0.001182797224617217,SM02_AEA(dm)
0.0011741592822084653,B01_C-N_
0.0011737453987149386,R3v+
0.0011666814613334427,QYYm
0.0011640420993573838,nCp
0.001162422847173156,HATS0v
0.001162321348029778,HATS8v
0.0011614086937740342,Mor12v
0.0011604333597912248,R8u+
0.0011603853035411942,Mor12s
0.0011546321574140623,RGyr
0.001154056744734418,Mor02m
0.0011503959293755158,nCs
0.001146152248238899,SdssC
0.0011434044483260351,Mor11u
0.0011433562690400542,Mor09v
0.0011420293793925535,RDF050s
0.0011407046486024603,R2e+
0.0011385384223092996,R5m
0.0011371791172290957,WHALES100_IR
0.0011350145325392084,Ges
0.0011344965432102336,B04_C-C_
0.001132621010489069,VR2_D
0.0011287338797362299,Mor23p
0.001127599387772909,SM03_EA(dm)
0.001125266457516483,RDF035u
0.0011246278174558441,X3A
0.0011230424651313864,R7u+
0.0011182876288198605,HATS2e
0.001115375697370765,SRW05
0.0011128145025642877,P_VSA_ppp_N
0.0011127822149433978,Chi_Coulomb
0.0011027809723137825,GGI5
0.001098656277018227,minssCH2
0.0010920696479180638,s3_phRelSize
0.0010866283945651395,Mor04s
0.0010859594939760745,GATS7i
0.0010834465999771115,CATS2D_04_AL
0.0010834181169676398,SpMaxA_EA(ed)
0.0010789216214266214,Mor23v
0.0010767099472391401,Mor19m
0.0010694767110718162,HATS8s
0.0010685342005357196,R3s
0.001066228515733616,Mor03m
0.0010627419865354335,X5A
0.0010600589327214175,HATS0u
0.0010563844212764643,R2p
0.0010527020594366862,TDB04s
0.0010497137954104518,SpPosA_D/Dt
0.001049184411829473,HATS0e
0.0010479192460350216,Mor24u
0.0010431419690917808,Mor16m
0.0010381974544334369,SpMax6_Bh(s)
0.0010357247762105017,CATS2D_03_DL
0.0010327545043520988,AAC
0.0010305433957375329,J_Coulomb
0.0010291876640594415,Xt
0.0010262663409411916,RBN
0.001024254012298198,B06_O-O_
0.0010156366693938297,nN
