Compound_name,y_test,y_pred
bisphenol A,53.55208333,38.294176999999806
mecoprop-P,45.85416667,38.294176999999806
testosterone isocaproate,45.0,38.294176999999806
testosterone undecanoate,36.32291667,38.294176999999806
4-tert-butylbenzoic acid,35.4375,38.294176999999806
estrone,33.35698925,38.294176999999806
cefamandole,33.05102041,38.294176999999806
equiline,31.66666667,38.294176999999806
ibuprofen,31.625,23.392208727000174
naproxen,30.40625,38.294176999999806
mesterolone,30.30208333,23.392208727000174
ketoprofen,30.03125,23.392208727000174
progesterone,29.96382979,23.392208727000174
chlorambucil,24.94897959,23.392208727000174
purpurin,22.71875,23.392208727000174
MCPB,21.32291667,23.392208727000174
butylparaben,19.56565657,10.182758531999925
17-alpha-hydroxyprogesterone acetate,19.41595745,23.392208727000174
sulfaquinoxaline,19.30326087,11.843684400937493
dehydroepiandrosterone,19.3,11.843684400937493
5-5-diphenylhydantoin,16.92783505,11.843684400937493
norethisterone,16.71382979,11.843684400937493
testosterone,15.95913978,11.843684400937493
hexanophenone,14.34375,11.843684400937493
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,11.843684400937493
2-7-dihydroxy naphthalene,12.88541667,11.843684400937493
myclobutanil,12.58762887,10.182758531999925
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,23.392208727000174
estriol,12.51020408,10.182758531999925
ethisterone,12.35416667,10.182758531999925
propylparaben,11.88421053,6.931177557230768
2-4-dichlorophenol,11.84583333,6.931177557230768
exemestane,11.53723404,6.931177557230768
indole-3-butyric acid,11.4375,6.931177557230768
folinic acid sodium salt,11.04123711,23.392208727000174
naphthalene,10.81052632,10.182758531999925
linuron,10.71875,10.182758531999925
nandrolone,10.375,10.182758531999925
tert-butylhydroquinone,10.07216495,6.751178508444375
Rutin Hydrate,9.773195876,11.843684400937493
diphenyl carbonate,9.75,4.75417460869224
(+)-catechin,9.680412371,11.843684400937493
(+)-griseofulvin,9.37755102,6.931177557230768
alpha-resorcylic acid,9.126315789,11.843684400937493
rifampicin,9.0,6.751178508444375
butyl phenyl ether,8.947916667,4.75417460869224
quercetin,8.721649485,11.843684400937493
valerophenone,7.854166667,11.843684400937493
