Importance,Molecular Descriptor
0.18735764258242926,B01_N-S_
0.18735764258242926,B05_N-S_
0.17854490766930722,B06_N-N_
0.17091172493279558,nArNH2
0.16983482572238134,CATS2D_03_PL
0.16956678092227886,CATS2D_02_PL
0.1645792458603378,CATS3D_02_PL
0.1549810495325215,N-069
0.1504568756324086,B01_C-S_
0.14404386906475056,Hypertens-50
0.14168595718973773,Neoplastic-80
0.1397788849656807,minsNH2
0.1358100722425154,nCq
0.1346490801375945,CATS2D_06_AP
0.13409331622364162,B08_N-N_
0.13036243292390914,Eta_sh_x
0.12825621343358268,CATS3D_06_AP
0.1280223109081521,nR10
0.11670502705114658,B03_N-S_
0.1147720143700266,mindO
0.11440040458135992,Mor06v
0.11258438162393568,SRW05
0.10977427183964814,nCt
0.10613266970101684,B06_N-O_
0.10345681974848892,Mor09s
0.10284053582716725,nRCO
0.10234318286901686,CATS2D_08_PL
0.10147820837174143,RDF030m
0.09961144971195349,minaaN
0.09846711835612651,F02_C-S_
0.09817130375317182,B10_O-O_
0.09747107105915706,B05_C-S_
0.09708248994462229,nS
0.09677423562930329,F08_N-N_
0.09659605484341958,Chi_D/Dt
0.094810646651863,B04_N-O_
0.09417444356077223,CATS2D_08_AP
0.09367882129121463,S-110
0.09260487766901024,Mor06m
0.09229015395975174,R1m+
0.09102151833203773,B02_O-O_
0.089965021437153,RDF025s
0.08808009104305575,F03_N-S_
0.08778886918113706,F04_C-S_
0.08698927960060401,F03_C-S_
0.08478047376141676,RDF030v
0.08347679833622557,NssssC
0.0831665525060204,RDF030s
0.08312457632710253,RDF035u
0.08264092504269147,P_VSA_charge_13
0.08257502839319446,C-027
0.08232250838842575,SpMax_B(m)
0.08180253190918665,O-058
0.08108903056753661,Mor10u
0.08107315820642562,nCIR
0.08075981243029512,SHED_PL
0.08003066323503097,s2_size
0.07906284366725223,CATS2D_06_DP
0.07906284366725223,nSO2N
0.07791953684738148,SpMax_AEA(dm)
0.07765132539759187,P_VSA_s_1
0.07673728805616582,H-051
0.0748732273992427,R4v
0.07353815825054566,CATS2D_05_AL
0.07325340505547386,MAXDN
0.07155666674066426,Hypertens-80
0.07088790143724108,nR09
0.07053770285126874,H-049
0.07031702860443845,Mor14s
0.07029214202445352,Mor19m
0.06945286325936159,nLevel1
0.06943678770573986,B02_C-O_
0.06927957950141475,B03_C-O_
0.06906754100879713,SpMax2_Bh(s)
0.06885565565024752,nCIC
0.0686112825368171,T(N..S)
0.06822114812073171,MCD
0.06736653227560738,P_VSA_charge_4
0.06709892498747909,P_VSA_ppp_P
0.0669984012073244,SM5_X
0.06688612754479305,R2s+
0.06688159320485328,R5u
0.0664331522451533,B02_N-O_
0.06614653474206524,F04_N-O_
0.0659559943679022,CATS3D_05_LL
0.06582345687993849,Mor14m
0.06581373013478839,R3v
0.0656726518284901,EE_Coulomb
0.06524110189462355,CATS3D_06_LL
0.06511856913075394,CATS3D_07_AP
0.06510377912649819,B07_C-S_
0.06510377912649819,F07_C-S_
0.06457392042014168,nDB
0.06450868221441236,B05_C-O_
0.06442770447896953,B04_O-S_
0.06410206401633531,s2_numSharedNeighbors
0.06378286385522922,D/Dtr09
0.0636322282996568,nOHt
0.06354510548626528,B08_C-O_
0.06245254752747645,F05_N-S_
0.062402398231726816,nLevel5
0.062351489783302634,MATS1v
0.06213963058329299,nCrs
0.06174595062536702,MATS1m
0.061429618743172654,TDB10u
0.06061865089799459,MDEC-14
0.060592265292596974,SpDiam_AEA(dm)
0.06042058778190828,R2v
0.06005399535669722,P_VSA_MR_7
0.05997405769609265,AVS_B(e)
0.05993841983086992,CATS3D_04_AL
0.059663683794224834,R4m
0.05964129389269611,GGI1
0.05956092886190363,R5v
0.059398381109257756,s1_size
0.05909579587486705,Mor04v
0.059042303408582325,B09_C-N_
0.058919292919544626,TDB01p
0.05845091124184784,H1m
0.05800605126008854,E2e
0.057954947291373606,B07_C-N_
0.057897839992633475,F06_C-S_
0.05731729162971012,R2m
0.056523288877538415,B02_N-N_
0.05650434703982481,Mor14v
0.05647711132767587,R2p
0.0564418954661334,s2_numRotBonds
0.056416282571179324,AVS_B(m)
0.05629688417988533,Neoplastic-50
0.05596717735165907,RDF035s
0.055280601095932934,VE1sign_A
0.05485974558952297,SpMAD_EA(bo)
0.05468487888760154,HATS1m
0.05467607970284086,CATS2D_03_DL
0.054430572435775385,CATS2D_04_AL
0.054396000394668034,s1_phSize
0.054306813560032155,SpDiam_B(m)
0.054236908362543676,B04_C-O_
0.05393087316301448,s3_size
0.053639812614354354,F06_N-N_
0.05337259979843259,Mor19s
0.053354813563751546,TDB01v
0.053225322323131735,TDB10v
0.05319209563304523,nR05
0.053174945796266235,TDB01r
0.05308419207320386,P_VSA_charge_2
0.05300356272374984,CATS3D_03_DL
0.05297873375716605,s4_numSharedNeighbors
0.05283793408631603,CMC-80
0.05223508430929312,RCI
0.0520859735909131,R4u
0.05196900699829511,SHED_AP
0.05177264325400587,VE1sign_B(v)
0.051449223784342586,CATS2D_03_AL
0.05144768869950533,F05_C-S_
0.05129743390982299,RDF040m
0.051165957464028106,Mor22v
0.05101913416912949,Mor09m
0.05089858373015696,D/Dtr05
0.05088050119839252,E2u
0.050832567959671386,SM03_AEA(dm)
0.050688502085776375,MDEN-12
0.0506137129794989,SpMin1_Bh(v)
0.050540837724161666,RTs+
0.05051360946884705,B08_C-C_
0.050442534709366396,CATS2D_09_AP
0.05026837794408395,TDB02p
0.04991008273156276,TDB10s
0.04985053335230481,SpMax1_Bh(p)
0.049649202667648565,MDEC-44
0.04961768991571151,RDF055u
0.04947050788011793,R5m
0.04944914050697943,DLS_03
0.0494012226171009,RDF035m
0.04934859101952836,MAXDP
0.049294163665891136,CMC-50
0.04907145698869461,J_D/Dt
0.04890779844182415,VE1sign_G/D
0.04866286148399467,AVS_B(v)
0.048563869973543394,SpPosA_B(v)
0.048495529126857395,MaxsssCH
0.048469066541766165,Mor19u
0.04844974104239993,CATS2D_06_LL
0.04840117732088114,piPC09
0.04823482161868785,GGI5
0.04806662861365365,H-046
0.04752397249095627,SpMax_L
0.04745207813334827,MaxdssC
0.04704104093552566,RDF045v
0.046916945325246026,CATS2D_09_AL
0.04685684050938867,P_VSA_e_3
0.0465831218059663,R6u
0.04656186778758489,nHM
0.04654208249744639,Inflammat-80
0.04652827104998343,B06_C-S_
0.046405194288183314,Mor32m
0.04632977879747886,Mor04s
0.04629186714135757,Mor31u
0.046132902860292826,R3u
0.04611150758007127,C-029
0.04583630787015995,TDB01m
0.045811419766796875,SM11_AEA(dm)
0.04569960357562175,E3s
0.045540688172348714,s3_numSharedNeighbors
0.04551724197942439,CATS3D_07_PL
0.045485524851523615,SpMAD_EA(ri)
0.0453319987730602,R5s
0.045234443769288216,Mor23m
0.04522929397908522,HyWi_Coulomb
0.04515287752644696,PDI
0.0447052800496785,RDF065s
0.044698950304421003,SpMax1_Bh(v)
0.04428715878913894,TDB09m
0.0441919633544733,Mor09v
0.0440289410295585,QED
0.044007741296260235,RFD
0.04391859399725843,D/Dtr10
0.043830536760447944,SpMax_B(s)
0.04370810425683598,B03_S-S_
0.04370810425683598,SaaS
0.04370810425683598,nThiazoles
0.04370810425683598,B02_N-S_
0.04370629912012292,Mor10v
0.0435149612099077,B10_C-C_
0.043362796860863834,TDB02v
0.04297121210127182,Mor23v
0.042906216430321345,CATS3D_06_PL
0.042877810255199496,CATS2D_00_LL
0.04281727390572615,Mor04m
0.04253742655691978,N-075
0.042485408798375444,HATS5v
0.042080372519590514,TDB09v
0.041952418457166255,MATS1i
0.04153601452165419,Mor06u
0.04139092980269994,C-016
0.04108007348081541,ZM1Mad
0.04105271369112133,F06_N-O_
0.04048931732068274,GATS4p
0.0403993715961878,C-002
0.04037621437097704,SpPosA_B(p)
0.0400767508519083,CATS3D_05_AL
0.04004376767231152,B10_C-N_
0.039993602832852575,gmax
0.03986284157967627,QEDu
0.03943147035013326,SpMAD_B(v)
0.039358426463300296,Du
0.039358048816507646,VE3sign_A
0.039338655098981185,H7s
0.03926082434050378,CATS3D_03_AL
0.039093933026265695,R2s
0.03905996531880099,TDB09s
0.038947393512200945,F02_N-O_
0.038935152537975116,N-070
0.038871630885399244,R4s
0.03870676407382904,AVS_Coulomb
0.03859052190808202,Mor27m
0.03856815525294175,SpPosA_G/D
0.0385638198533496,R3m
0.038448895425222646,Mor06s
0.038307290368673474,s2_relSize
0.03819806527190677,Eta_B_A
0.03808332645034077,CATS2D_05_DL
0.03797729249300787,JGT
0.037942888759649546,SM05_AEA(dm)
0.03782873384443037,TDB02m
0.037700550424868924,B09_C-O_
0.037612564655701064,P_VSA_i_4
0.03745209670768668,CATS3D_04_DL
0.037374082571852624,Eig15_EA(dm)
0.037341231377898035,C-011
0.03712333966391777,RDF030u
0.03705909497222061,Mor14u
0.03670929133936263,MATS1e
0.0366741607987249,GATS4m
0.036636210714516636,Mor27u
0.03654179298512892,MATS5v
0.03639095498278921,HATS4v
0.03626361364472801,H2s
0.03613993468387858,HATS5p
0.03606945410385533,SpMax_B(p)
0.0360235006948902,EE_B(m)
0.035785424070136726,nR06
0.03577722819410418,SdssC
0.03548521048199471,SpMAD_EA
0.03545836676782128,VR2_D/Dt
0.03529458825069353,nR=Cs
0.03516379311313196,VR2_A
0.035003642937099406,C-033
0.034801146703994756,JGI5
0.034697918261255185,Mor32s
0.03458456148701307,SpMin1_Bh(s)
0.03433579752969437,H5s
0.03431314184590285,C-044
0.03425124305858078,HATS2m
0.03407759024826613,Eig12_EA(dm)
0.034075563945173394,EE_Dt
0.034032201985097224,CATS2D_06_AL
0.03390474435315999,SpMin1_Bh(m)
0.033877375982603285,Mor22u
0.03387480800978753,Mor13u
0.03378828342490371,DLS_07
0.033757350730160236,nCsp3
0.03369605359051442,Mp
0.033574852050242576,F05_C-O_
0.033487703210136735,AVS_RG
0.03347253192480285,VE1_D/Dt
0.03340508285356076,nR=Ct
0.03331110314328873,SM04_AEA(dm)
0.03315864164730255,JGI2
0.03311581685758123,HATS5u
0.032781078192626975,T(S..S)
0.03244334526845731,Depressant-80
0.032156466223737024,MATS2e
0.032081459734054976,Mor23s
0.032051501959739444,piPC10
0.032042852026731405,MATS6i
0.03187912930188348,Ds
0.0318025019913358,HNar
0.03170499546047217,SpMAD_B(m)
0.031648578637990615,H6u
0.031548638059245106,NsssCH
0.03130450548594397,VE3sign_Coulomb
0.03122492336298466,RDF050s
0.03117445748141609,TDB03p
0.03105572760583064,H7u
0.03071611443662035,Eta_alpha_A
0.030706810702284607,Mor27s
0.030432003104450406,Mor32v
0.030347874524145477,RTm+
0.03029021013903095,H8u
0.03025250355160839,CATS2D_07_LL
0.03022319978704008,nPyrimidines
0.029954555056770832,HATS2v
0.02988303426680525,Mor09u
0.02940977379393949,EE_B(s)
0.029334376165728038,CATS2D_02_AP
0.029231955247924872,nS(=O)2
0.029231955247924872,SHED_PP
0.029231955247924872,CATS2D_02_PP
0.02920193401674533,RDF045m
0.02918818478078485,CATS3D_08_PL
0.02917933697007178,CATS2D_08_AL
0.029156807658945683,R6v
0.029138736171223985,F02_N-S_
0.02906759242612529,Mor04u
0.028930561969972943,ATSC5s
0.02890672216611358,BLI
0.028853128972229948,PW2
0.02879858353116967,SpAbs_Coulomb
0.028715628137946734,SM10_AEA(bo)
0.02870359718779608,nLevel6
0.02867026432466837,MATS8m
0.028398779774364457,P_VSA_i_1
0.028395919280568116,B06_C-C_
0.02838361930522015,P_VSA_charge_5
0.028355429194090603,SpMax_B(v)
0.028326990235052023,VR2_G
0.02828285023623088,Eig12_AEA(bo)
0.027944523894482657,nOHp
0.02782925538092098,SpMAD_AEA(dm)
0.0278068556626078,H6v
0.027760666200924475,MATS5p
0.027703777077847595,GATS4i
0.027643624135154733,CATS2D_02_DA
0.027443712609204134,SM13_AEA(bo)
0.02742126401143337,SM02_AEA(dm)
0.027380511754758956,CATS2D_04_DL
0.0273348856328439,VE1sign_B(m)
0.02730988900002452,ChiA_D/Dt
0.027285849057758483,SpDiam_EA(bo)
0.02720846545801727,R6s
0.027194339326084623,nCs
0.02709275816222719,SpPosA_B(e)
0.026905023287724924,SpMin3_Bh(s)
0.026814048053832,SpMaxA_Coulomb
0.026732920278528152,E3v
0.02663332998496959,E2p
0.02660149844661687,nCconj
0.02659867238248853,Dv
0.026479642095588618,Mor23p
0.02643819657701326,MDEC-23
0.026385193882288008,RDF050m
0.026359351132564483,CATS3D_09_AL
0.026352982137292542,PW4
0.026313845735160088,SpMax3_Bh(s)
