Compound_name,y_test,y_pred
bisphenol A,53.55208333,52.82015568700553
testosterone isocaproate,45.0,37.26517418780138
testosterone undecanoate,36.32291667,36.18535318962861
4-tert-butylbenzoic acid,35.4375,35.55710697086408
estrone,33.35698925,33.26393653816869
cefamandole,33.05102041,33.15493621764761
equiline,31.66666667,31.768975481441196
ibuprofen,31.625,22.303362573825535
testosterone cypionate,30.46875,29.82757974329615
naproxen,30.40625,17.37840204088045
mesterolone,30.30208333,26.520623184695182
ketoprofen,30.03125,29.950987548133707
progesterone,29.96382979,30.04914483796811
chlorambucil,24.94897959,24.84930597665908
purpurin,22.71875,22.64286212554315
butylparaben,19.56565657,16.359132759663197
17-alpha-hydroxyprogesterone acetate,19.41595745,19.296131975965025
sulfaquinoxaline,19.30326087,16.542783925970145
dehydroepiandrosterone,19.3,6.143479628568833
5-5-diphenylhydantoin,16.92783505,16.78776718395579
norethisterone,16.71382979,6.46006073782429
testosterone,15.95913978,10.411400556543796
hexanophenone,14.34375,11.310018731286384
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,7.213732388475862
2-7-dihydroxy naphthalene,12.88541667,12.770316871102505
myclobutanil,12.58762887,15.7886189596254
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,17.125482633162388
estriol,12.51020408,12.622035387214066
ethisterone,12.35416667,12.222483016146303
propylparaben,11.88421053,11.79270002240919
exemestane,11.53723404,11.431135570498707
indole-3-butyric acid,11.4375,11.318543326321993
folinic acid sodium salt,11.04123711,17.193483906082744
naphthalene,10.81052632,10.948540649027361
linuron,10.71875,10.8322264751999
nandrolone,10.375,10.261626604717456
propyl gallate,10.37113402,10.246036185859293
tert-butylhydroquinone,10.07216495,5.5687638414537775
Rutin Hydrate,9.773195876,9.920363130188782
diphenyl carbonate,9.75,9.631097235962876
(+)-catechin,9.680412371,9.772024655809963
terbutylazine,9.5625,9.434903389274453
(+)-griseofulvin,9.37755102,9.239279654831655
4-tert-butylphenol,9.072916667,8.98711603943346
rifampicin,9.0,8.88034269868172
butyl phenyl ether,8.947916667,8.290638963960163
quercetin,8.721649485,8.613361803642558
valerophenone,7.854166667,7.960722790879594
naringin,7.81443299,6.523771216698544
1-2-4-trimethyl benzene,7.614583333,7.699854936134744
cumene,7.367708333,7.489600180669945
dansyl chloride,6.826530612,6.693129145234059
toluic acid,6.729166667,6.813857540919244
isoeugenol,6.381443299,6.252630408013073
aspirin,6.354166667,7.420289009901954
sulfamethoxazole,6.345652174,6.450281577951357
Sebuthylazine,6.3125,6.180985371695654
(-)-epicatechin,6.288659794,6.175836434442547
benzoin methyl ether,5.96875,5.8477676135204355
ethylparaben,5.693877551,5.574430609427324
(+)-catechin hydrate,5.690721649,5.8058732326497235
diphenylmethanol,5.589473684,5.672668205518282
hippuric acid,5.581632653,5.719362684103378
5-7-dimethoxycoumarin,5.453608247,5.364162706294939
carbamazepine,5.142857143,5.240697012957195
alachlor,5.135416667,5.277954581936809
2-ethoxybenzoic acid,4.947368421,4.839250512634559
cyanazin,4.9375,5.042574030402374
ISOPROTURON,4.729166667,4.848228648989965
vanillic acid,4.71875,7.543659405000027
corticosterone,4.681914894,14.236908863628713
piroxicam,4.673469388,4.559977701452328
butyrophenone,4.635416667,4.776928484182319
