Importance,Molecular Descriptor
1.8304146833964197,Infective-50
1.7449849003177007,ALOGP2
1.672723803831446,SM03_EA(dm)
1.646497662093409,Inflammat-80
1.5857958574042104,G3u
1.5823684891737677,NaaaC
1.5663209057891716,CATS3D_06_NL
1.5342040280157379,CATS2D_08_NL
1.2985581375489619,CATS3D_08_NL
1.2636400943314912,CATS2D_02_NL
1.2276389295360706,CATS2D_06_NL
1.2156754461378427,MLOGP2
1.1960960442087265,SpMax2_Bh(s)
1.1198353197000057,B06_C-O_
1.08642673377679,B09_C-O_
1.0160329139886135,Depressant-80
1.0070800814086567,Eig12_EA(dm)
0.9976108753042816,P_VSA_charge_7
0.9932739078267457,VE3sign_RG
0.9841145937285409,VE3sign_Dz(Z)
0.9704270339276516,H-046
0.9686270815971115,VE1sign_G
0.9538103523201091,CATS2D_08_AN
0.943715888457203,nLevel7
0.9249974601280047,E2s
0.9190597356108501,nHBonds
0.9179009919755015,GATS7i
0.9037044172396526,Mor22u
0.8964905148222226,CATS3D_07_AL
0.8920565640154816,Hypnotic-80
0.890905371541571,C-025
0.8830729505222481,Inflammat-50
0.8605609638186653,B09_N-N_
0.8530957896637803,HOMA
0.8462823597861198,nR10
0.8286737820193409,CATS3D_05_DL
0.8283560349122974,nBnz
0.826355657373754,s4_numAroBonds
0.819245848370399,SPP
0.8114047594871301,PJI3
0.8021731896170914,CATS3D_05_DD
0.7782659500553076,SaaaC
0.7722491066021961,Eig03_EA(dm)
0.7683117004639755,Mor09u
0.7602823426440837,Neoplastic-80
0.7596033808601939,Mor06u
0.753168156667061,SHED_NL
0.7505073380152129,CATS3D_06_AL
0.7047604796005095,CATS3D_04_NL
0.6985946182644514,B10_O-O_
0.6932549030367203,nCb-
0.6909040728524507,Mor03s
0.6665239105806385,ALOGP
0.6664844359703506,CATS3D_03_DA
0.6648110379344473,C-019
0.6624912485549621,CATS3D_07_LL
0.6599890492278142,CATS3D_03_AN
0.6557511210520831,CATS3D_07_DL
0.653627081675536,HATS5s
