Compound_name,y_test,y_pred
sulfamethizole,4.348351648,4.358313801103423
sulfathiazole,2.728571429,2.738593103628149
sulfamerazine,1.446153846,1.4562405018622413
sulfacetamide,1.331868132,1.3419345735643886
sulfadiazine,1.530769231,1.520774925948119
sulfaguanidine,0.442391304,0.45238494225007875
sulfaquinoxaline,19.30326087,19.29334719678765
sulfamethoxazole,6.345652174,6.335695843258721
prednisone,3.193548387,2.426101025612654
estrone,33.35698925,29.304215963133757
exemestane,11.53723404,12.671965855252099
17-alpha-hydroxyprogesterone acetate,19.41595745,19.42598099390311
cortisone,3.185106383,3.195046771673135
dehydroepiandrosterone,19.3,19.289960910150555
corticosterone,4.681914894,4.671925122271292
norethisterone,16.71382979,16.70379307024288
progesterone,29.96382979,19.737686305721382
pyridine,3.085106383,3.0752096256175903
methyl benzoate,2.666666667,2.6566610687416143
nitrocyclohexane,1.905208333,1.8952178523316703
anisole,2.066666667,2.0567351644009917
phenol,1.61875,1.6287518413971767
benzamide,0.952083333,0.9420978357008791
cumene,7.367708333,7.357691655361167
"2,4-dichlorophenol",11.84583333,11.835905066711463
nandrolone,10.375,14.78813219699221
mesterolone,30.30208333,27.353969421336075
"Androsta-1,4-dien-3-one, 17beta-hydroxy-17-methyl-",12.55208333,12.562088508756476
purpurin,22.71875,19.802061793076618
ketoprofen,30.03125,30.021254597851026
naproxen,30.40625,30.396257628735313
ibuprofen,31.625,31.614968601346263
aspirin,6.354166667,6.344158292864977
ethisterone,12.35416667,15.962516030192264
Caffeine,0.35106383,0.3611060914076929
propylparaben,11.88421053,11.894236732455001
benzene,1.694736842,1.7048059209746653
toluene,2.894736842,2.8847009862794706
1-cloro-4-nitrobenzene,3.526315789,3.536365612589081
naphthalene,10.81052632,10.820512810627493
3-(2-furyl)acrylic acid,4.473684211,4.463620231857492
phthalide,1.463157895,1.4531188636185006
diphenylmethanol,5.589473684,6.140923184028269
m-cresol,2.652631579,2.6626623080852894
p-benzoquinone,1.357894737,1.347915516053264
catechol,1.252631579,1.2626529919375584
"3,4-dihydroxy benzoic acid",4.884210526,5.570504227342925
4-hydroxy benzoic acid,4.957894737,4.947861752675097
benzyl alcohol,0.821052632,0.8110131823659983
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,3.7294184314692003
syringic acid,4.894736842,4.904746396203921
alpha-resorcylic acid,9.126315789,9.116372332561712
pyrogallol,0.968421053,0.9584479113445794
acetophenone,1.791666667,1.80174728590366
propiophenone,2.9375,2.94751248703149
butyrophenone,4.635416667,4.645441731458705
valerophenone,7.854166667,7.987674046026671
hexanophenone,14.34375,12.80269969171731
4-tert-butylphenol,9.072916667,12.621107976678248
"2,7-dihydroxy naphthalene",12.88541667,12.875451022162268
"1,2,4-trimethyl benzene",7.614583333,7.604556185605746
gibberellic acid,1.65625,1.6662877200353718
"4-Phenyl-1,3-Dioxane",1.40625,1.416285473215511
vanillic acid,4.71875,4.708740645053185
benzoin methyl ether,5.96875,5.978765023732153
diphenyl carbonate,9.75,9.740004103482095
trans-2-hexenyl acetate,2.25,2.26006870373604
4-tert-butylbenzoic acid,35.4375,27.160343390095733
bisphenol A,53.55208333,24.382486621769843
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,12.975221376885019
butyl phenyl ether,8.947916667,8.319893814340604
toluic acid,6.729166667,6.7391748305064585
equiline,31.66666667,22.721873046594666
Sebuthylazine,6.3125,6.3225297924180826
aldicarb,1.010416667,1.020392865472631
MCPB,21.32291667,21.332895386110835
indole-3-butyric acid,11.4375,11.447485100299263
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,1.530805320766207
mecoprop-P,45.85416667,32.73644051493291
cyanazin,4.9375,4.947494092808684
ISOPROTURON,4.729166667,4.739153303926146
metamitron,0.78125,0.7913618873200376
terbutylazine,9.5625,9.552457390371389
linuron,10.71875,10.708782242606974
alachlor,5.135416667,5.145405963279943
nortriptyline,2.458333333,2.4682616649245985
"3,4-dichloro aniline",3.645833333,3.6558274139571423
"5,7-dimethoxycoumarin",5.453608247,5.443561182017122
quercetin,8.721649485,8.731680153251036
formononetin,0.886597938,5.534318398090493
Rutin Hydrate,9.773195876,9.763269522255287
pentoxifylline,0.927835052,0.9178489890214663
naringin,7.81443299,7.80449258875244
(-)-epicatechin,6.288659794,7.355418387583841
(+)-catechin,9.680412371,9.670408202374661
tert-butylhydroquinone,10.07216495,10.082131579074643
folinic acid sodium salt,11.04123711,11.051333584156668
riboflavin,0.505154639,0.5150937647818679
L-(+)-ascorbic acid,0.381443299,0.3714958331242584
hydrochloridethiazide,4.505154639,4.515183258503486
"5,5-diphenylhydantoin",16.92783505,16.91779145624254
antipyrine,1.847826087,1.837842023888173
acetaminophen,0.979381443,0.9894098777428595
isoeugenol,6.381443299,6.371358056544894
eugenol,4.010309278,4.020299447146572
L-(-)-carvone,2.804123711,2.794101788695174
vanillin,1.979381443,1.989377272868866
camphor,2.082474227,2.092442666391038
o-methylanisole,3.371134021,3.3810574287540205
cinnamaldehyde,2.845360825,2.8553582079278654
dimethyl phthalate,1.886597938,1.896585119964088
diethyl phthalate,3.918367347,3.928291586578298
methylparaben,3.363636364,3.353606248811262
butylparaben,19.56565657,14.815279388437249
cefamandole,33.05102041,33.04099324911759
(+)-griseofulvin,9.37755102,9.387538797827931
3-nitrophenol,3.360824742,3.3508572180104195
thymine,0.142857143,0.15288190731497897
abiraterone,2.826530612,2.8365812408848696
estriol,12.51020408,15.340538971745248
2-hydroxypyridine,0.336734694,0.3267128969811508
piroxicam,4.673469388,4.6834574267007
tropic acid,1.96969697,1.9797717693659407
rifampicin,9.0,8.990009519716212
4-(dimethylamino)benzoic acid,3.469387755,3.4794446710317017
