Importance,Molecular Descriptor
0.05266755,MLOGP
0.050296754,MLOGP2
0.049953975,Mor21u
0.048587486,TDB04i
0.048142992,ALOGP2
0.047941554,Mor21v
0.047464494,LOGP99
0.04592676,ALOGP
0.044213284,ESOL
0.04404764,P_VSA_i_3
0.0418662,SpMin1_Bh(m)
0.03857801,SpMin2_Bh(s)
0.035587586,CATS3D_06_AL
0.03252777,CATS3D_08_AL
0.03241517,Mor21m
0.032133404,Chi_Dz(Z)
0.031154307,CATS3D_07_AL
0.02953636,Eig03_AEA(dm)
0.027978912,CATS2D_08_AL
0.02661958,TDB10s
0.026176939,QED
0.022577027,SPP
0.021938736,qnmax
0.021697102,QEDu
0.021584822,P_VSA_m_3
0.020449037,Mor22s
0.020295836,VE1sign_G
0.020155972,SHED_NL
0.017484725,RDF140m
