Compound_name,y_test,y_pred
sulfamethizole,4.348351648,3.5716286
sulfathiazole,2.728571429,3.5637808
sulfamerazine,1.446153846,3.5716286
sulfacetamide,1.331868132,3.4392323
sulfadiazine,1.530769231,3.5637808
sulfaguanidine,0.442391304,3.4392323
sulfaquinoxaline,19.30326087,6.5816956
sulfamethoxazole,6.345652174,3.5637808
testosterone,15.95913978,12.975818
estrone,33.35698925,15.66037
exemestane,11.53723404,12.975818
17-alpha-hydroxyprogesterone acetate,19.41595745,13.002982
cortisone,3.185106383,8.505217
betamethasone,7.075531915,8.505217
dehydroepiandrosterone,19.3,12.975818
corticosterone,4.681914894,8.505217
norethisterone,16.71382979,13.633357
progesterone,29.96382979,15.502998
pyridine,3.085106383,3.4392323
methyl benzoate,2.666666667,3.4392323
anisole,2.066666667,3.4392323
phenol,1.61875,3.4392323
benzamide,0.952083333,3.4392323
cumene,7.367708333,8.323142
2-4-dichlorophenol,11.84583333,7.9334373
nandrolone,10.375,12.975818
mesterolone,30.30208333,15.502998
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,13.633357
purpurin,22.71875,7.1387606
ketoprofen,30.03125,16.5596
naproxen,30.40625,16.794067
ibuprofen,31.625,14.3141985
aspirin,6.354166667,3.4392323
ethisterone,12.35416667,13.633357
testosterone cypionate,30.46875,15.502998
testosterone isocaproate,45.0,15.502998
testosterone undecanoate,36.32291667,15.502998
Caffeine,0.35106383,3.4392323
propylparaben,11.88421053,5.1738863
benzene,1.694736842,3.4392323
toluene,2.894736842,3.4392323
1-cloro-4-nitrobenzene,3.526315789,3.4392323
naphthalene,10.81052632,7.193533
2-ethoxybenzoic acid,4.947368421,3.4392323
3-(2-furyl)acrylic acid,4.473684211,3.4392323
diphenylmethanol,5.589473684,8.115148
m-cresol,2.652631579,3.4392323
p-benzoquinone,1.357894737,3.4392323
catechol,1.252631579,3.4392323
3-4-dihydroxy benzoic acid,4.884210526,3.4392323
4-hydroxy benzoic acid,4.957894737,3.4392323
benzyl alcohol,0.821052632,3.4392323
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,4.507619
syringic acid,4.894736842,3.4392323
alpha-resorcylic acid,9.126315789,3.4392323
pyrogallol,0.968421053,3.4392323
acetophenone,1.791666667,3.4392323
propiophenone,2.9375,3.4392323
butyrophenone,4.635416667,3.4392323
valerophenone,7.854166667,8.118049
hexanophenone,14.34375,9.365224
4-tert-butylphenol,9.072916667,8.148101
2-7-dihydroxy naphthalene,12.88541667,4.7209206
1-2-4-trimethyl benzene,7.614583333,8.323142
gibberellic acid,1.65625,5.7513638
4-Phenyl-1-3-Dioxane,1.40625,3.4392323
vanillic acid,4.71875,3.4392323
benzoin methyl ether,5.96875,8.361865
diphenyl carbonate,9.75,9.26076
trans-2-hexenyl acetate,2.25,5.0493364
bisphenol A,53.55208333,17.659603
BHA (3-tert-Butyl-4-hydroxyanisole),13.58333333,7.996643
toluic acid,6.729166667,3.4392323
equiline,31.66666667,13.633357
Sebuthylazine,6.3125,9.797809
aldicarb,1.010416667,3.4470801
MCPB,21.32291667,12.305243
indole-3-butyric acid,11.4375,5.181925
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,4.507619
mecoprop-P,45.85416667,15.042957
cyanazin,4.9375,3.5560474
ISOPROTURON,4.729166667,7.173296
metamitron,0.78125,3.4392323
terbutylazine,9.5625,7.7109184
linuron,10.71875,8.411748
alachlor,5.135416667,8.823951
nortriptyline,2.458333333,9.407413
3-4-dichloro aniline,3.645833333,4.0992537
5-7-dimethoxycoumarin,5.453608247,3.4392323
trans-ferulic acid,2.948453608,4.287945
quercetin,8.721649485,5.790797
(+)-catechin hydrate,5.690721649,5.790797
pentoxifylline,0.927835052,5.212178
naringin,7.81443299,6.563493
(-)-epicatechin,6.288659794,5.790797
(+)-catechin,9.680412371,5.790797
propyl gallate,10.37113402,5.7827578
folinic acid sodium salt,11.04123711,6.5515594
riboflavin,0.505154639,6.5305405
L-(+)-ascorbic acid,0.381443299,3.4694848
hydrochloridethiazide,4.505154639,3.4392323
5-5-diphenylhydantoin,16.92783505,8.816313
antipyrine,1.847826087,3.4392323
eugenol,4.010309278,3.4392323
L-(-)-carvone,2.804123711,3.4392323
vanillin,1.979381443,3.4392323
(+)-carvone,2.845360825,3.4392323
geraniol,4.639175258,8.796955
camphor,2.082474227,3.4392323
o-methylanisole,3.371134021,3.4392323
cinnamaldehyde,2.845360825,3.4392323
cinnamyl alcohol,2.275510204,3.4392323
dimethyl phthalate,1.886597938,3.4392323
diethyl phthalate,3.918367347,3.4694848
isopropyl isocyanate,0.757575758,3.4392323
methylparaben,3.363636364,3.4392323
ethylparaben,5.693877551,4.93252
butylparaben,19.56565657,9.038319
myclobutanil,12.58762887,14.378679
(+)-griseofulvin,9.37755102,7.211589
hippuric acid,5.581632653,5.5191803
3-nitrophenol,3.360824742,3.4392323
thymine,0.142857143,3.4392323
carbamazepine,5.142857143,6.554691
abiraterone,2.826530612,13.625318
estriol,12.51020408,12.339398
2-hydroxypyridine,0.336734694,3.4392323
piroxicam,4.673469388,6.5305405
methyl-p-toluene sulfonate,3.278350515,3.4392323
tropolone,2.908163265,3.4392323
tropic acid,1.96969697,3.4392323
PyBOP,3.252525253,5.235055
p-toluenesulfonyl isocyanate,1.643564356,3.996718
rifampicin,9.0,9.656255
thiamethoxam,0.826530612,4.113533
4-(dimethylamino)benzoic acid,3.469387755,3.4392323
