Importance,Molecular Descriptor
0.06659551,Mor21v
0.060015325,ICR
0.059439264,ALOGP2
0.0592489,VE3sign_B(v)
0.058155466,Mor22u
0.057946246,SpMin2_Bh(s)
0.056045726,CATS3D_06_AL
0.05469455,ALOGP
0.054061454,P_VSA_i_3
0.0522344,Mor12s
0.045388933,CATS3D_07_AL
0.043614294,ESOL
0.03716266,CATS3D_08_AL
0.03702297,phLevel2
0.032065585,Mor23u
0.030155791,VE1sign_G
0.028265487,SM03_EA(dm)
0.026923073,CIC1
0.026396904,Mor27u
0.0263815,Mor31s
0.024138361,Mor22s
0.023153096,SHED_NL
0.021021545,SIC0
0.019872922,SpMin1_Bh(s)
