Compound_name,y_test,y_pred
sulfamethizole,4.348351648,3.1437922
sulfathiazole,2.728571429,3.129655
sulfacetamide,1.331868132,3.0970435
sulfadiazine,1.530769231,3.3029156
sulfaguanidine,0.442391304,3.0970435
sulfaquinoxaline,19.30326087,6.517979
sulfamethoxazole,6.345652174,3.129655
testosterone,15.95913978,13.998914
prednisone,3.193548387,8.429319
estrone,33.35698925,14.9605055
17-alpha-hydroxyprogesterone acetate,19.41595745,13.773248
cortisone,3.185106383,8.463482
betamethasone,7.075531915,8.530912
dehydroepiandrosterone,19.3,13.773248
corticosterone,4.681914894,8.642544
norethisterone,16.71382979,13.7058115
progesterone,29.96382979,13.773248
pyridine,3.085106383,3.101624
methyl benzoate,2.666666667,3.0970435
nitrocyclohexane,1.905208333,3.179544
anisole,2.066666667,3.2184577
phenol,1.61875,3.0970435
benzamide,0.952083333,3.0970435
cumene,7.367708333,9.165833
2-4-dichlorophenol,11.84583333,8.976058
nandrolone,10.375,13.882079
mesterolone,30.30208333,14.066348
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,14.066348
purpurin,22.71875,7.202396
ketoprofen,30.03125,16.12476
ibuprofen,31.625,14.286281
aspirin,6.354166667,3.0970435
ethisterone,12.35416667,13.773248
testosterone isocaproate,45.0,14.406973
Caffeine,0.35106383,3.0970435
propylparaben,11.88421053,4.27078
benzene,1.694736842,3.101624
toluene,2.894736842,3.129664
1-cloro-4-nitrobenzene,3.526315789,3.7321715
naphthalene,10.81052632,6.3831725
2-ethoxybenzoic acid,4.947368421,3.101624
3-(2-furyl)acrylic acid,4.473684211,3.0970435
phthalide,1.463157895,3.0970435
diphenylmethanol,5.589473684,9.389615
m-cresol,2.652631579,3.101624
p-benzoquinone,1.357894737,3.101624
catechol,1.252631579,3.0970435
3-4-dihydroxy benzoic acid,4.884210526,3.0970435
4-hydroxy benzoic acid,4.957894737,3.0970435
benzyl alcohol,0.821052632,3.0970435
3-(5-methylfuran-2-yl)-propionic acid,2.642105263,4.0844913
syringic acid,4.894736842,3.791881
pyrogallol,0.968421053,3.0970435
acetophenone,1.791666667,3.0970435
propiophenone,2.9375,3.2741776
butyrophenone,4.635416667,3.9678764
valerophenone,7.854166667,9.189639
hexanophenone,14.34375,9.249976
4-tert-butylphenol,9.072916667,9.4065275
2-7-dihydroxy naphthalene,12.88541667,3.767385
1-2-4-trimethyl benzene,7.614583333,9.0393095
gibberellic acid,1.65625,7.968492
4-Phenyl-1-3-Dioxane,1.40625,3.2648554
vanillic acid,4.71875,3.101624
benzoin methyl ether,5.96875,9.530379
diphenyl carbonate,9.75,9.24672
trans-2-hexenyl acetate,2.25,4.098762
4-tert-butylbenzoic acid,35.4375,13.234386
bisphenol A,53.55208333,16.12838
butyl phenyl ether,8.947916667,9.112721
toluic acid,6.729166667,3.0970435
equiline,31.66666667,14.632637
aldicarb,1.010416667,3.3226566
MCPB,21.32291667,12.872643
indole-3-butyric acid,11.4375,5.1106744
ATRAZIN-DESETHYL-2-HYDROXY,1.520833333,4.081614
mecoprop-P,45.85416667,15.09209
cyanazin,4.9375,4.228086
metamitron,0.78125,3.0970435
terbutylazine,9.5625,8.6832695
linuron,10.71875,7.628249
1-3-butanediol diacrylate,1.541666667,6.163134
nortriptyline,2.458333333,11.1993265
3-4-dichloro aniline,3.645833333,3.7804694
trans-ferulic acid,2.948453608,4.4779735
quercetin,8.721649485,5.759146
formononetin,0.886597938,7.4451284
(+)-catechin hydrate,5.690721649,5.7732825
pentoxifylline,0.927835052,4.9933457
naringin,7.81443299,8.203528
(-)-epicatechin,6.288659794,5.7732825
(+)-catechin,9.680412371,5.7732825
tert-butylhydroquinone,10.07216495,6.728666
propyl gallate,10.37113402,5.062082
folinic acid sodium salt,11.04123711,7.633612
riboflavin,0.505154639,6.605245
L-(+)-ascorbic acid,0.381443299,3.7873006
hydrochloridethiazide,4.505154639,3.1373582
5-5-diphenylhydantoin,16.92783505,8.02688
antipyrine,1.847826087,3.1739645
acetaminophen,0.979381443,3.0970435
isoeugenol,6.381443299,3.8255448
L-(-)-carvone,2.804123711,3.0970435
vanillin,1.979381443,3.0970435
(+)-carvone,2.845360825,3.0970435
camphor,2.082474227,3.4193969
o-methylanisole,3.371134021,3.101624
cinnamaldehyde,2.845360825,3.101624
cinnamyl alcohol,2.275510204,3.101624
dimethyl phthalate,1.886597938,3.0970435
diethyl phthalate,3.918367347,4.089128
isopropyl isocyanate,0.757575758,3.0970435
methylparaben,3.363636364,3.0970435
ethylparaben,5.693877551,4.22613
butylparaben,19.56565657,10.815564
cefamandole,33.05102041,8.322205
myclobutanil,12.58762887,14.335545
fmoc chloride,0.288659794,10.584844
(+)-griseofulvin,9.37755102,7.6853366
hippuric acid,5.581632653,4.2293506
3-nitrophenol,3.360824742,3.0970435
thymine,0.142857143,3.0970435
carbamazepine,5.142857143,4.734736
abiraterone,2.826530612,13.76019
estriol,12.51020408,13.588977
chlorambucil,24.94897959,14.386303
2-hydroxypyridine,0.336734694,3.0970435
piroxicam,4.673469388,7.202456
methyl-p-toluene sulfonate,3.278350515,3.1111808
tropolone,2.908163265,3.0970435
tropic acid,1.96969697,3.1111808
PyBOP,3.252525253,6.350573
p-toluenesulfonyl isocyanate,1.643564356,3.1165352
rifampicin,9.0,10.241776
thiamethoxam,0.826530612,4.066069
4-(dimethylamino)benzoic acid,3.469387755,3.101624
