Compound_name,y_test,y_pred
sulfamethizole,4.348351648,4.234535175933537
sulfathiazole,2.728571429,3.884699571063247
sulfamerazine,1.446153846,4.165961134394416
sulfacetamide,1.331868132,3.7931011632591183
sulfadiazine,1.530769231,3.7331467167029486
sulfaguanidine,0.442391304,3.777368108383224
sulfaquinoxaline,19.30326087,6.817070263213494
sulfamethoxazole,6.345652174,4.556617969956471
testosterone,15.95913978,15.15392028974664
prednisone,3.193548387,8.837721144676763
estrone,33.35698925,14.658309993013743
exemestane,11.53723404,13.010227322120839
17-alpha-hydroxyprogesterone acetate,19.41595745,13.599115473648245
cortisone,3.185106383,9.362239075285302
betamethasone,7.075531915,9.379353582162357
dehydroepiandrosterone,19.3,15.572339986891329
corticosterone,4.681914894,11.318321799857355
norethisterone,16.71382979,13.96682391680317
progesterone,29.96382979,16.284730681778107
pyridine,3.085106383,2.7046925762208867
methyl benzoate,2.666666667,3.335153030287049
nitrocyclohexane,1.905208333,3.706929713972931
anisole,2.066666667,2.9489909555585276
phenol,1.61875,2.4925628259170725
benzamide,0.952083333,2.9076716761720607
cumene,7.367708333,4.567237052296758
2-4-dichlorophenol,11.84583333,4.222490087489703
nandrolone,10.375,14.284440247685207
mesterolone,30.30208333,16.367038411688686
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,12.55208333,13.479304860707874
purpurin,22.71875,7.934864343051174
ketoprofen,30.03125,12.436937023937057
naproxen,30.40625,11.868238259008525
ibuprofen,31.625,12.540099762241441
aspirin,6.354166667,5.236795344847613
ethisterone,12.35416667,14.032511132422886
testosterone cypionate,30.46875,18.562933719203137
testosterone isocaproate,45.0,18.655427146297836
testosterone undecanoate,36.32291667,18.348625318122565
Caffeine,0.35106383,3.845743394643525
propylparaben,11.88421053,7.6233099243850155
benzene,1.694736842,2.9375199044138225
toluene,2.894736842,2.955769479475887
1-cloro-4-nitrobenzene,3.526315789,3.7595762088682307
naphthalene,10.81052632,4.889083242801463
