Importance,Molecular Descriptor
0.012326356437689031,nArNH2
0.010137165600781773,B05_N-S_
0.008711442710406678,B01_N-S_
0.008392588305531613,N-069
0.007257539624366438,B06_N-N_
0.007118792885050898,CATS2D_02_PL
0.006513501319184727,CATS3D_02_PL
0.006231489899295114,B01_C-S_
0.005755774514309218,B08_N-N_
0.005567892624157298,Mor14v
0.005273643872189013,CATS2D_03_PL
0.005187891413350183,minsNH2
0.005103825317683544,F06_N-N_
0.0047240396936657145,B05_C-S_
0.004688491588590808,F05_N-S_
0.004580021610268953,nSO2N
0.00437252595996305,B03_N-S_
0.004295432431301672,nCq
0.004243572834270501,nCt
0.0041780389344611875,S-110
0.0040827039472144935,MATS1m
0.004039255997981534,SHED_AP
0.0040316147147114794,CATS3D_07_PL
0.00400102298890617,B06_N-O_
0.0038560134714070555,F03_C-S_
0.00383344587867788,WiA_D/Dt
0.0038025568285577904,Chi_D/Dt
0.0037573107115118497,CATS2D_06_AP
0.003738537969855741,F04_C-S_
0.0037139524467347555,Eta_sh_x
0.0036943302080228208,CATS2D_06_DP
0.003669903656707068,P_VSA_charge_13
0.0035031460107688176,R1m+
0.003447841539649997,Mor04v
0.0034206924766509742,P_VSA_ppp_P
0.0033492120302401106,RDF025s
0.003345568315096922,R5u
0.0033332183933644064,RDF030v
0.003328181199756891,nR10
0.003321447937651779,MAXDN
0.0032992108421861905,SpMax_B(m)
0.003268696190130878,CATS3D_06_AP
0.0032612802883229238,VE1_Coulomb
0.0032471039913608423,F08_N-N_
0.0032245584070124855,CATS2D_08_AP
0.0032132952575634993,R4v
0.003176706158157594,nCrs
0.0031636226863405404,Mor10v
0.0031485447170467727,SpDiam_B(m)
0.0031161241189167307,J_D/Dt
0.0030718222563615293,NsssCH
0.0030473561441880887,F03_N-S_
0.0030154062183498603,RDF035u
0.002963141344503484,Eta_betaP_A
0.00291633665412256,B10_O-O_
0.0028800251820780072,VE3sign_D
0.0028389497821439016,F02_C-S_
0.002795243438371579,P_VSA_s_1
0.002789761377830631,SRW05
0.0027821481794332403,nS
0.0027593599308025933,Mor06v
0.002728710249296129,Mor14u
0.00264970867609204,Mor12u
0.0026115897550791248,T(N..S)
0.0025936191855314805,Mor27m
0.0025759187897095655,Mor22v
0.002570397288848302,Eta_L_A
0.002525822034829587,s3_numSharedNeighbors
0.002500181774336227,CATS3D_05_LL
0.002480847910162881,Hypertens-50
0.0024401442950932072,nRCO
0.002438862549797425,RDF030m
0.0024163687623982148,nCsp3
0.002392056169709605,SpMax_AEA(dm)
0.0023006614141446295,B04_N-O_
0.0022899434702890135,Mor24u
0.0022529008790161853,B09_C-N_
0.0022462872995853336,Mor29u
0.002241092660076417,SHED_DP
0.0021494781858613335,HATS1m
0.0021471150667664272,s4_numSharedNeighbors
0.002125196728990754,nCIR
0.002117772400038478,HOMT
0.002107742452932435,Mor06m
0.002083960407603782,NssssC
0.0020668873166492614,Mor20m
0.002057099554326984,SpDiam_AEA(dm)
0.001959336239611721,SM10_AEA(bo)
0.001949944953189384,Mor09v
0.001943089829330686,D/Dtr10
0.0019207574132560166,Mor14s
0.0019182715618314948,RDF035s
0.0018879690833060276,RDF065s
0.001872976339444765,PJI3
0.0018581512608679658,Mor19m
0.001845833633453628,D/Dtr09
0.0018387013560668235,Mor29v
0.0018283749715332718,SpMin1_Bh(v)
0.0018262274261458052,D/Dtr05
0.0018157669355313634,R4m
0.0018022084642195185,ChiA_B(m)
0.0017901657450155903,X3A
0.0017865682345437409,nLevel1
0.0017821802338524341,VE3sign_Dt
0.0017714529278736685,Mor24s
0.001762318947037691,Mor27u
0.0017616391379809818,SpMin1_Bh(m)
0.001761039293911734,RDF030u
0.0017567210469965316,CMBL
0.0017524747926535437,RFD
0.0017414178188692958,Mor22m
0.0017187136618989267,H-046
0.0016996650089268774,Mor19s
0.0016971577083260189,G(N..O)
0.0016960363531007875,R6u
0.0016811186173151234,Mor14m
0.0016682818569669583,NaasC
0.0016619222397380089,Mor31u
0.0016262428206318574,Mor12v
0.0016039898775198202,ARR
0.001601985564092589,B07_C-N_
0.0015953561111176613,SPAM
0.0015873373136901696,AVS_RG
0.0015834374958710422,B07_C-O_
0.0015789131876715338,SpMin1_Bh(s)
0.0015751794744608232,Mor09s
0.001570747755656816,Mor02m
0.0015587008554045388,VE3_RG
0.0015538762688064227,SpMin4_Bh(s)
0.0015511647836214085,minaaN
0.001540704900168507,SpMin3_Bh(s)
0.0015301985217494299,Mor04u
0.0015173363411036512,Mor05s
0.0015144372888412174,SHED_PL
0.0015071982651903152,B06_C-N_
0.0015027368140583853,VE1sign_B(v)
0.0015018596405291522,Mor10m
0.0014847594860954794,DLS_04
0.0014783626110792577,ATS7m
0.0014733758149153991,Fsp3
0.0014621063919989718,R3v
0.0014570990111673462,nCIC
0.0014409122093813186,H6u
0.0014361793336765804,Mor03m
0.0014326777784748105,TDB09u
0.0014314386107167052,Mor08u
0.00143070319558304,N-075
0.0014271726566322653,s3_phRelSize
0.001425583201277403,Mor25m
0.001412629844543985,B10_C-N_
0.0014007045760922158,Mor24m
0.0013956917383758937,RTs+
0.0013893704199124126,SpMAD_AEA(dm)
0.0013872892244424363,Mor23m
0.0013809530470422504,RTm+
0.0013798253773397036,NssCH2
0.0013766819408950882,nLevel6
0.0013747721224578997,VR2_A
0.001369916235167816,s1_size
0.0013628761240867275,Mor11u
0.0013621864991980102,Mor19u
0.001359958319504882,Mor29m
0.0013542368421167396,SpPosA_D/Dt
0.0013510990513453545,TDB01m
0.0013479901027865927,G2m
0.0013427179873244138,RDF055u
0.0013382136066035855,VE3sign_Dz(Z)
0.001333468921305331,C-002
0.0013269139216353723,MaxdssC
0.0013189172708425064,AVS_Coulomb
0.0013108458686000917,Chi_Coulomb
0.0013105984258697332,SM5_X
0.0012942314961157436,Eig03_AEA(dm)
0.0012786397569926379,HOMA
0.001278008422079121,F10_O-O_
0.0012729501623334842,Mor25v
0.00127195879746593,F06_N-O_
0.0012716786578962653,nLevel5
0.001268186392902947,IVDE
0.0012661139508716593,P_VSA_charge_4
0.0012643120201043664,Eta_F_A
0.0012557974420691113,GATS8v
0.001249607004146812,VE1sign_D
0.0012412607842387272,Chi_Dz(Z)
0.0012402809657399204,Mor03u
0.0012382863218323842,MaxsssCH
0.0012327028380346736,Mor21u
0.0012325434033851749,PW4
0.0012251925044765753,R4s
0.001214180079496451,minsCH3
0.0012136333010579483,R2v
0.0012135972024878482,RDF080u
0.0012097855873227346,P_VSA_i_4
0.0012071842861420513,RDF060u
0.0012041128801535915,Ds
0.001200654748954919,J_Dz(v)
0.0011989366971684233,Mor15u
0.0011923853555582968,Mor32m
0.0011860906268990566,JGI6
0.0011831090398023263,MDEC-12
0.0011792612563556264,Mor09u
0.001177532154716934,SpMax_B(p)
0.0011758762073643158,R2m
0.0011718297711671175,G2u
0.0011683430910120586,B05_C-C_
0.001166648825568031,R2e
0.001153107318629736,MATS6p
0.0011486260887080336,R3u
0.001145576681351978,X2A
0.0011454874527245817,VE3sign_Dz(i)
0.0011453616967416352,H5s
0.001132535753829561,RDF045v
0.0011268153110473504,SpMin3_Bh(m)
0.0011267338266339614,P_VSA_i_1
0.0011228560270144779,Mor32v
0.0011216263611264982,ZM1Mad
0.0011208723427658003,Chi_G/D
0.0011125372898849125,CATS3D_07_AL
0.0011068537495965319,Mor24v
0.00109808854185273,R7u
0.0010963440203338734,s2_phRelSize
0.0010908493541267512,RDF030s
0.0010856666583880137,RDF045s
0.0010850446278195453,MATS1v
0.0010849017148776162,Inflammat-80
0.0010831540278065264,GATS8e
0.0010798307629713213,minssO
0.0010769079942896439,Eta_D_beta
0.001074707745081935,Mor05m
0.0010656329695226286,P_VSA_charge_8
0.0010594044784289255,nAA
0.0010579159824283062,ATSC4e
0.0010564466624752244,SpMax1_Bh(p)
0.0010558148589882325,nR06
0.001055018472875499,CATS2D_06_AA
0.0010506184283828146,s2_numSharedNeighbors
0.001046914665517393,s2_size
0.0010445869863238847,N-070
0.0010416426829549694,P_VSA_i_3
0.001035332324997961,DLS_05
0.0010352575846432823,Mor26v
0.0010309073244472707,GATS4i
0.0010306829180957338,P_VSA_ppp_ar
0.001029921357198773,nHet
0.0010251849184603344,RBF
0.0010233697683731551,SpMax2_Bh(m)
0.0010228936397301883,SM14_AEA(bo)
0.0010212583918999738,ATS3s
0.0010191298915589024,GGI1
