Compound_name,y_test,y_pred
estrone,13.17692308,13.176923181079673
cefamandole,23.8,23.799996774908283
equiline,14.51578947,14.51578994512467
ibuprofen,11.17582418,11.175824173857647
mesterolone,6.241758242,6.241758243317707
ketoprofen,23.86813187,23.868131886905367
progesterone,12.87802198,12.878021776035377
purpurin,0.0,-4.450570118238965e-09
MCPB,15.27173913,15.271739138050377
butylparaben,8.150537634,8.15053759307029
17-alpha-hydroxyprogesterone acetate,5.520879121,5.520879200339015
sulfaquinoxaline,16.79782609,16.797826061024963
dehydroepiandrosterone,6.230769231,6.230769232458595
5-5-diphenylhydantoin,8.688172043,8.688172050828111
norethisterone,6.102197802,6.102197809891529
testosterone,5.67032967,5.670329680108586
hexanophenone,8.989473684,8.989473683249841
2-7-dihydroxy naphthalene,12.25263158,12.252631676274245
myclobutanil,6.580645161,6.580645165481652
estriol,5.095744681,5.095744651836306
propylparaben,5.770833333,5.770833364503918
2-4-dichlorophenol,9.203296703,9.203296711149434
indole-3-butyric acid,10.27173913,10.271739173943944
folinic acid sodium salt,17.97849462,17.978494715849745
naphthalene,13.21052632,13.210526315812048
nandrolone,4.142857143,4.142857191105946
propyl gallate,7.691489362,7.691489346969706
tert-butylhydroquinone,4.333333333,4.333333327213227
Rutin Hydrate,9.020833333,9.020833574928092
diphenyl carbonate,6.073684211,6.073684113955455
(+)-catechin,9.391304348,9.391304382283055
terbutylazine,5.510869565,5.510869592003944
(+)-griseofulvin,9.957446809,9.95744682253674
alpha-resorcylic acid,7.968421053,7.968421029256844
rifampicin,6.452631579,6.452631539451769
butyl phenyl ether,6.094736842,6.094736840507542
quercetin,7.8125,7.8124999408061235
valerophenone,5.968421053,5.968421056625444
naringin,8.554347826,8.55434779806462
1-2-4-trimethyl benzene,5.663157895,5.66315788630606
cumene,5.808791209,5.808791198865248
toluic acid,6.357894737,6.357894771948975
isoeugenol,5.59375,5.593749974123633
aspirin,9.186813187,9.186813186792618
sulfamethoxazole,5.819565217,5.819565214653504
Sebuthylazine,3.813186813,3.8131868297625546
(-)-epicatechin,9.752688172,9.752688189853291
benzoin methyl ether,5.084210526,5.084210485115218
ethylparaben,3.731182796,3.7311828086163965
hippuric acid,8.840425532,8.840425524869628
alachlor,3.252747253,3.2527473481055877
4-hydroxy benzoic acid,3.536842105,3.53684214563729
cyanazin,3.282608696,3.2826087107561266
syringic acid,5.315789474,5.315789495827538
ISOPROTURON,5.391304348,5.391304343979301
vanillic acid,4.084210526,4.084210501988805
corticosterone,2.526373626,2.5263736385876387
piroxicam,7.904255319,7.90425530030829
butyrophenone,4.136842105,4.136842145515071
hydrochloridethiazide,4.924731183,4.924731231073274
3-(2-furyl)acrylic acid,4.621052632,4.62105262118262
sulfamethizole,4.192391304,4.19239131925506
eugenol,3.861702128,3.861702175498485
diethyl phthalate,3.602150538,3.6021505043172874
3-4-dichloro aniline,0.958762887,0.9587630143007416
4-(dimethylamino)benzoic acid,3.776595745,3.7765956493662776
o-methylanisole,3.276595745,3.276595781538002
methylparaben,2.559139785,2.5591397673007563
3-nitrophenol,2.329787234,2.3297872529301507
prednisone,1.665934066,1.6659340239293596
cortisone,1.612222222,1.6122224449268527
pyridine,0.0,1.6585058219432584e-07
trans-ferulic acid,1.865979381,1.8659807085088385
tropolone,2.670212766,2.670212859604014
toluene,2.71875,2.7187494294267087
cinnamaldehyde,4.634408602,4.634408570417092
abiraterone,0.340425532,0.34042554033541805
L-(-)-carvone,3.692307692,3.6923076978360796
methyl benzoate,2.993406593,2.993406687929251
m-cresol,2.094736842,2.0947367475500083
3-(5-methylfuran-2-yl)-propionic acid,2.115789474,2.11579026214923
nortriptyline,-0.131868132,-0.13186812044767235
cinnamyl alcohol,2.451612903,2.4516129279020826
trans-2-hexenyl acetate,0.968421053,0.9684210595096915
anisole,2.620879121,2.620879115713851
nitrocyclohexane,2.189010989,2.1890109885436595
dimethyl phthalate,2.150537634,2.150537639516797
acetophenone,1.926315789,1.9263157702114695
benzene,1.625,1.6250000302056344
gibberellic acid,0.505263158,0.5052631802407972
phenol,1.547252747,1.5472527284093922
1-3-butanediol diacrylate,1.010989011,1.0109889970998263
sulfadiazine,1.275,1.2749999836353698
ATRAZIN-DESETHYL-2-HYDROXY,1.402173913,1.4021738735386156
phthalide,2.305263158,2.305263185121655
4-Phenyl-1-3-Dioxane,1.431578947,1.4315790035559153
p-benzoquinone,1.084210526,1.0842105229386978
sulfacetamide,1.115217391,1.1152173341564064
catechol,1.168421053,1.1684209298740618
aldicarb,1.282608696,1.2826087338928567
acetaminophen,1.075268817,1.0752688123419911
pyrogallol,1.0,0.9999999620331387
benzamide,1.483516484,1.4835163786372727
pentoxifylline,2.731182796,2.731182896626974
formononetin,2.369565217,2.3695652824453286
thiamethoxam,2.255319149,2.2553191817007323
metamitron,1.130434783,1.1304347503632883
riboflavin,1.161290323,1.1612902986597824
sulfaguanidine,0.44673913,0.44673919467558393
L-(+)-ascorbic acid,0.290322581,0.29032261510571844
Caffeine,0.541666667,0.5416667863085741
2-hydroxypyridine,0.819148936,0.8191489832843589
