Compound_name,y_test,y_pred
bisphenol A,14.26315789,5.4131894617477485
mecoprop-P,0.0,5.4131894617477485
4-tert-butylbenzoic acid,17.53052632,5.4131894617477485
cefamandole,23.8,5.4131894617477485
naproxen,32.76923077,5.4131894617477485
ketoprofen,23.86813187,5.4131894617477485
progesterone,12.87802198,5.4131894617477485
purpurin,0.0,5.4131894617477485
MCPB,15.27173913,5.4131894617477485
butylparaben,8.150537634,5.4131894617477485
dehydroepiandrosterone,6.230769231,5.4131894617477485
5-5-diphenylhydantoin,8.688172043,5.4131894617477485
norethisterone,6.102197802,5.4131894617477485
testosterone,5.67032967,5.4131894617477485
hexanophenone,8.989473684,5.4131894617477485
BHA (3-tert-Butyl-4-hydroxyanisole),5.368421053,5.4131894617477485
2-7-dihydroxy naphthalene,12.25263158,5.4131894617477485
myclobutanil,6.580645161,5.4131894617477485
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,4.351648352,5.4131894617477485
estriol,5.095744681,5.4131894617477485
ethisterone,4.791208791,5.4131894617477485
2-4-dichlorophenol,9.203296703,5.4131894617477485
exemestane,5.857142857,5.4131894617477485
indole-3-butyric acid,10.27173913,5.4131894617477485
naphthalene,13.21052632,5.4131894617477485
linuron,10.25,5.4131894617477485
nandrolone,4.142857143,5.4131894617477485
propyl gallate,7.691489362,5.4131894617477485
tert-butylhydroquinone,4.333333333,5.4131894617477485
Rutin Hydrate,9.020833333,5.4131894617477485
(+)-catechin,9.391304348,5.4131894617477485
terbutylazine,5.510869565,5.4131894617477485
(+)-griseofulvin,9.957446809,5.4131894617477485
4-tert-butylphenol,3.726315789,5.4131894617477485
rifampicin,6.452631579,5.4131894617477485
quercetin,7.8125,5.4131894617477485
valerophenone,5.968421053,5.4131894617477485
naringin,8.554347826,5.4131894617477485
1-2-4-trimethyl benzene,5.663157895,5.4131894617477485
cumene,5.808791209,5.4131894617477485
betamethasone,2.984615385,5.4131894617477485
toluic acid,6.357894737,5.4131894617477485
isoeugenol,5.59375,5.4131894617477485
aspirin,9.186813187,5.4131894617477485
sulfamethoxazole,5.819565217,5.4131894617477485
Sebuthylazine,3.813186813,5.4131894617477485
(-)-epicatechin,9.752688172,5.4131894617477485
benzoin methyl ether,5.084210526,5.4131894617477485
ethylparaben,3.731182796,5.4131894617477485
diphenylmethanol,3.968421053,5.4131894617477485
hippuric acid,8.840425532,5.4131894617477485
5-7-dimethoxycoumarin,5.758241758,5.4131894617477485
carbamazepine,8.436170213,5.4131894617477485
alachlor,3.252747253,5.4131894617477485
2-ethoxybenzoic acid,7.968421053,5.4131894617477485
cyanazin,3.282608696,5.4131894617477485
3-4-dihydroxy benzoic acid,4.168421053,5.4131894617477485
ISOPROTURON,5.391304348,5.4131894617477485
vanillic acid,4.084210526,5.4131894617477485
corticosterone,2.526373626,5.4131894617477485
piroxicam,7.904255319,5.4131894617477485
butyrophenone,4.136842105,5.4131894617477485
hydrochloridethiazide,4.924731183,5.4131894617477485
3-(2-furyl)acrylic acid,4.621052632,5.4131894617477485
sulfamethizole,4.192391304,5.4131894617477485
eugenol,3.861702128,5.4131894617477485
diethyl phthalate,3.602150538,5.4131894617477485
3-4-dichloro aniline,0.958762887,5.4131894617477485
1-cloro-4-nitrobenzene,4.526315789,5.4131894617477485
4-(dimethylamino)benzoic acid,3.776595745,5.4131894617477485
o-methylanisole,3.276595745,5.4131894617477485
methylparaben,2.559139785,5.4131894617477485
3-nitrophenol,2.329787234,5.4131894617477485
cortisone,1.612222222,5.4131894617477485
trans-ferulic acid,1.865979381,5.4131894617477485
propiophenone,2.978947368,5.4131894617477485
tropolone,2.670212766,5.4131894617477485
(+)-carvone,3.946236559,5.4131894617477485
cinnamaldehyde,4.634408602,5.4131894617477485
abiraterone,0.340425532,5.4131894617477485
L-(-)-carvone,3.692307692,5.4131894617477485
sulfathiazole,2.989130435,5.4131894617477485
m-cresol,2.094736842,5.4131894617477485
3-(5-methylfuran-2-yl)-propionic acid,2.115789474,5.4131894617477485
cinnamyl alcohol,2.451612903,5.4131894617477485
trans-2-hexenyl acetate,0.968421053,5.4131894617477485
camphor,1.720430108,5.4131894617477485
anisole,2.620879121,5.4131894617477485
vanillin,2.258064516,5.4131894617477485
tropic acid,2.115789474,5.4131894617477485
nitrocyclohexane,2.189010989,5.4131894617477485
dimethyl phthalate,2.150537634,5.4131894617477485
antipyrine,6.298969072,5.4131894617477485
benzene,1.625,5.4131894617477485
phenol,1.547252747,5.4131894617477485
sulfadiazine,1.275,5.4131894617477485
phthalide,2.305263158,5.4131894617477485
sulfamerazine,0.985869565,5.4131894617477485
4-Phenyl-1-3-Dioxane,1.431578947,5.4131894617477485
sulfacetamide,1.115217391,5.4131894617477485
catechol,1.168421053,5.4131894617477485
acetaminophen,1.075268817,5.4131894617477485
benzamide,1.483516484,5.4131894617477485
pentoxifylline,2.731182796,5.4131894617477485
thiamethoxam,2.255319149,5.4131894617477485
benzyl alcohol,0.642105263,5.4131894617477485
metamitron,1.130434783,5.4131894617477485
riboflavin,1.161290323,5.4131894617477485
L-(+)-ascorbic acid,0.290322581,5.4131894617477485
Caffeine,0.541666667,5.4131894617477485
thymine,0.234042553,5.4131894617477485
