Importance,Molecular Descriptor
0.2956369817368068,SpMax2_Bh(v)
0.09048513631376826,EE_B(s)
0.08737960142143068,phLevel1
0.07778731401665044,R8u+
0.060017336897275,WHALES70_Rem
0.054235614675370754,GATS7i
0.04362391664803839,SM12_AEA(ri)
0.03917016615443444,CATS3D_09_DA
0.03615707645024714,CATS2D_07_DL
0.027117807337685436,WHALES100_Rem
0.024166064646819342,MATS5e
0.023900057196285476,RDF020m
0.01807853822512361,Mor13v
0.01581298293106641,VE1sign_A
0.015065448520936359,VE1sign_G/D
0.015065448520936334,mindO
0.014765068756739934,DISPv
0.0120510043212583,Dv
0.009039269112561813,Mor06s
0.007147629652972303,HATS6u
0.005060613802177334,GATS4m
0.0047705840938667456,WiA_D/Dt
0.0039032051677091464,Chi_D/Dt
0.0029002685055591246,E1p
0.002885647019389696,R3p+
0.0008027434458588729,JGI4
0.0006732686965267967,HATS2u
0.0006716676210908001,SHED_AL
0.0004565026449795201,Mor13m
0.0003831112410140751,SpMax5_Bh(s)
0.0003804188708162668,CATS3D_04_AL
0.0003267215029410892,R5s
0.00030433509665301375,SAscore
0.000304335096653013,ISH
0.00028484444853056477,RDF065s
0.0002330545487977359,SHED_DL
0.00022825132248976016,RDF030m
0.0002282513224897601,SM10_AEA(bo)
0.00022825132248976006,RDF035s
0.00022825132248976,MATS2e
0.00022825132248976,R5u
0.00022825132248975995,Eig02_AEA(dm)
0.00022825132248975995,SIC4
0.00022825132248975992,Mor25s
0.00022825132248975992,R5m+
0.0002282513224897598,SpMax_AEA(dm)
0.0002282513224897598,R6s+
0.0002282513224897598,Mor32m
0.00022825132248975973,Mor13s
0.00019386465922925492,HATS6p
0.00019155562050703642,R5m
0.000161553882691045,Mor19s
0.00015216754832650677,ATSC6e
0.00015216754832650677,MATS6e
0.0001521675483265067,TDB05s
0.00015216754832650658,TDB06s
0.00015216754832650644,GATS6e
0.0001378582526318587,SpMax6_Bh(s)
0.00013785825263185744,SpAbs_Coulomb
0.00013785825263185734,G1
0.00013516588243405025,GATS2s
0.0001181642165415941,EE_B(m)
0.00011816421654159153,SIC2
0.0001181642165415876,Wap
9.847018045133139e-05,Ges
9.847018045132886e-05,SIC3
9.847018045132706e-05,IC3
9.847018045132664e-05,piPC08
9.440681686216389e-05,SaasC
8.9008084778537e-05,Mor15m
8.391717054414573e-05,Qmean
8.391717054414565e-05,Eta_D_epsiD
7.877614436106293e-05,IC2
7.877614436106122e-05,EE_Dt
7.608377416325346e-05,SpDiam_AEA(dm)
7.608377416325344e-05,JGI5
7.608377416325344e-05,MATS2m
7.608377416325341e-05,ZM1V
7.60837741632534e-05,G2m
7.608377416325338e-05,ATS4s
7.608377416325334e-05,Mor25m
7.608377416325333e-05,Mor20m
7.608377416325333e-05,Mor15s
7.608377416325333e-05,Mor11s
7.60837741632533e-05,Psi_i_t
7.60837741632533e-05,CIC2
7.608377416325325e-05,Mor25v
7.608377416325323e-05,GGI5
7.60837741632532e-05,TDB06e
7.60837741632532e-05,HATS5m
7.608377416325318e-05,TDB05e
7.608377416325318e-05,RDF025s
7.608377416325317e-05,Mor04s
7.608377416325315e-05,CATS2D_05_AL
6.29378779081093e-05,Me
6.293787790810926e-05,Eta_psi1
6.293787790810923e-05,GATS4p
6.293787790810923e-05,QEDu
5.908210827079785e-05,IDDE
5.908210827079702e-05,SpMax3_Bh(m)
5.9082108270795095e-05,ZM1Mad
5.908210827079452e-05,rGes
5.2448231590091095e-05,Psi_i_A
5.244823159009107e-05,Mor31u
5.244823159009106e-05,minaaCH
5.244823159009105e-05,R3s
5.2448231590091034e-05,TDB01s
4.195858527207286e-05,Eta_epsi_2
4.1958585272072845e-05,Mor23u
4.195858527207284e-05,SpMAD_B(s)
4.1958585272072825e-05,MaxaasC
3.938807218052943e-05,VE1_B(m)
3.2310776538209475e-05,VE1sign_X
3.146893895405467e-05,Mor10u
3.1468938954054635e-05,TDB03s
2.097929263603643e-05,QED
2.09792926360364e-05,MDEC-22
1.9694036090266014e-05,piPC06
1.938646592292597e-05,ChiA_B(s)
1.9386465922925763e-05,Mor28v
1.9386465922925692e-05,E1e
1.9386465922925692e-05,Mor19u
1.9386465922925462e-05,P_VSA_charge_8
1.2924310615283923e-05,Mor28u
1.2924310615283913e-05,Mor14m
1.2924310615283877e-05,GATS1p
1.2924310615283796e-05,SIC1
1.2924310615283754e-05,Mor19m
1.292431061528375e-05,GATS1v
1.2924310615283515e-05,HATS3m
6.462155307642063e-06,AMW
6.462155307641963e-06,nCb-
6.462155307641917e-06,TDB04e
6.462155307641902e-06,Mor17u
6.4621553076419005e-06,SpPosA_Coulomb
6.46215530764189e-06,VE2sign_X
6.462155307641888e-06,H%
6.462155307641888e-06,TDB01m
