Importance,Molecular Descriptor
1.3385996457779261,Hypertens-50
1.186032254606302,B08_C-C_
1.033171442690067,B03_N-N_
0.9692829789763853,CATS2D_09_AP
0.9091772502939505,B02_O-O_
0.9080947040600889,C-029
0.8522896850158839,s2_numRotBonds
0.8317700914538685,nArCOOH
0.8290930699033353,B04_N-S_
0.8212833891795109,B05_N-O_
0.8128484192567496,B10_C-N_
0.7985593691717728,minaaN
0.7949767619192178,VE3sign_A
0.7515436800767933,Mor09s
0.7371885861967966,X5A
0.7312627755203313,B09_N-N_
0.7312627755203313,F09_N-N_
0.7298481809994101,Mor23p
0.6733300673199716,Mor26p
0.6579918570622328,CATS3D_06_LL
0.65293507152394,B03_O-O_
0.6486380367251364,Mor23v
0.6483688164437711,VE1sign_G/D
0.6478267623255004,CATS3D_08_PL
0.6376635083299527,Mor26v
0.637348524677534,VE3sign_Coulomb
0.6289107292595275,HOMA
0.6222838917217469,SM04_AEA(dm)
0.6099365040723698,N-075
0.6069571680313075,CATS3D_06_AP
0.6066134287946678,CATS2D_04_DL
0.5829374564226315,CATS2D_01_NL
0.5808300158469792,Mor26m
0.5746189845524851,nRCOOR
0.5744867888607524,CATS3D_07_PL
0.5738845114341043,MaxssCH2
0.5495915378921383,MATS8i
0.5415397618353044,C-027
0.54069748978399,F04_N-O_
0.5310910292452761,B07_C-Cl_
0.5220311344406238,nPyrazines
0.5220311344406238,CATS3D_08_AP
0.5214267008745282,s2_numAroBonds
0.5125522546713462,SM08_AEA(dm)
0.5036527130110243,MATS8p
0.5030033014868688,nPyridines
0.5023137489467798,F03_N-S_
0.5005400904710864,B04_N-O_
0.4993263045032914,CATS2D_07_DD
0.4901813315835951,nLevel5
0.4859669462942468,nCq
0.48392715575552114,P_VSA_MR_7
0.48287776407732674,Eig10_EA(dm)
0.4826939880193779,CATS3D_04_AL
0.48118228327718526,C-028
0.48013635970092466,Neoplastic-80
0.4768598176893325,DISPs
0.47644271701286195,CATS3D_02_AN
0.47213159617481554,B03_N-S_
0.47213159617481554,B01_C-S_
0.47190650988050636,GATS6m
0.47167921008223535,VE3sign_Dz(p)
0.46771824784086724,B06_C-C_
0.4663915246441632,B08_C-N_
0.46319536475142026,ARR
0.4605224177006662,CATS3D_09_DL
0.46047919828215267,B09_O-Cl_
0.46047919828215267,F09_O-Cl_
0.46047919828215267,nCconjX
0.46047919828215267,nR03
0.4589664323790027,minsOH
0.4580963853552913,B03_C-C_
0.45522189883463837,MATS4s
0.45138865646083093,Mor23m
0.45026546998091743,N-073
0.44985451945580057,CATS2D_05_AL
0.44843922176216544,B04_C-O_
0.4475074382082164,F08_N-N_
0.44484792219588837,R8u+
0.4408318702525218,H-049
0.4337410008579875,CATS2D_09_AL
0.4129097136735138,CATS2D_01_AA
0.4084581198280217,CATS3D_09_AL
0.40491384194368396,F03_N-N_
0.4031048713678236,Mor13p
0.40105149593362793,Mor26u
0.3996026255909187,B10_O-O_
0.3978479470711467,CATS2D_03_NL
0.39657029767914065,TDB08u
0.39586323948351587,F03_C-S_
0.39500554667576826,DLS_07
0.39379955085229107,F04_C-Cl_
0.3913937116133245,MATS4e
0.389090027404153,VE1sign_RG
0.3875371927941392,B09_C-Cl_
0.3875371927941392,B07_O-Cl_
0.3875371927941392,F08_C-Cl_
0.3875371927941392,F09_C-Cl_
0.3875371927941392,B08_C-Cl_
0.38364920239841205,piPC10
0.38118034004702434,CATS3D_04_NL
0.38113165522624237,nTB
0.38113165522624237,nR#CH/X
0.3785643297920143,Mor28u
0.3781594200112316,B01_N-S_
0.3781594200112316,B05_N-S_
0.3758021426530744,NaaaC
0.3732993076253451,F05_C-Cl_
0.3721283705244324,B06_C-O_
0.3700469642885878,HATS8u
0.36742158525950414,s2_numSharedNeighbors
0.3668331104843762,F03_C-Cl_
0.36537933873687506,P_VSA_LogP_8
0.36433242868521154,nCsp
0.36251897469768884,B08_N-N_
0.36241325523409196,Mor23s
0.3589076938237861,B05_C-S_
0.35834477876272774,VE1sign_Dz(p)
0.3575192391855241,Mor26s
0.35424911679410853,B08_C-O_
0.35090746447274357,qnmax
0.3472240297358813,CATS2D_03_AL
0.3447308548960313,X4A
0.3399178310692742,B07_C-N_
0.339346626660599,CATS2D_03_AN
0.3389194112641847,B01_N-N_
0.3384447350502735,s1_phSize
0.33731085146978573,SIC3
0.3370979495376945,CATS2D_06_AP
0.33630293930021815,CATS2D_07_AL
0.33498537846520227,CATS2D_03_DL
0.3346628319308496,CATS3D_02_DL
0.3288840037307252,CATS3D_15_AL
0.32572264741131446,P_VSA_ppp_con
0.3247588165115698,B05_O-Cl_
0.32442397525841954,G2m
0.3239194618768486,SHED_NL
0.32245166935438535,P_VSA_charge_6
0.32168827920352466,MAXDN
0.32068854298074784,RDF050s
0.32052148280439974,MATS8v
0.32018238302260676,VE1sign_Dt
0.3151793235605308,Mor10u
0.3123684566355424,HOMT
0.3113726375643018,DISPm
0.3109203670681785,B04_Cl-Cl_
0.3096220099604833,GATS6v
0.3094125152601299,TDB10u
0.3093371688426568,Eig04_EA(dm)
0.3092001049409749,Mor04m
0.30891854761186355,CATS3D_04_DL
0.3074687924419611,CATS3D_02_AL
0.30706193546271154,C-043
0.30543136536434623,RDF040m
0.30342587835731977,JGI6
0.30148986352217233,VE3sign_RG
0.2985849500108038,Mor28v
0.29792169551904824,SM05_AEA(dm)
0.29784882420472547,B04_N-N_
