Importance,Molecular Descriptor
0.005640225009582975,nArNH2
0.0034984968023681314,CATS2D_09_AP
0.003446108251847881,B01_N-S_
0.0032193573800963493,CATS2D_02_PL
0.0031034928113379623,B05_N-S_
0.0027573120794807037,CATS3D_02_PL
0.0026453543831555563,B08_N-N_
0.0026264807870776245,C-027
0.0026010675552372237,S-110
0.0025522819446281383,B05_C-S_
0.0023998696620766047,B10_C-N_
0.0023854393698495594,B06_N-N_
0.002357603833769074,s2_numAroBonds
0.002340250694475215,CATS2D_03_PL
0.0023385293066348145,F05_N-S_
0.002260740577354357,N-069
0.0022604408699114583,P_VSA_s_1
0.0021859206878493158,F02_C-S_
0.002114783252069279,H-049
0.0020913783267452473,F03_N-S_
0.0020815508006103924,s1_phSize
0.0020481198079230975,F08_N-N_
0.0020283888711262353,CATS2D_08_AP
0.0020182587915950206,B06_C-C_
0.001952992256886232,nR#CH/X
0.0019159177825128898,mindsCH
0.001875133908029526,CATS3D_06_AP
0.0018706628047235163,CATS2D_06_DP
0.0018652377564097493,F03_C-S_
0.0018213593102333844,B04_N-S_
0.001820561340130093,B01_C-N_
0.001797605117050764,CATS2D_06_AP
0.0017514048795089394,CATS3D_08_AP
0.0017481922529153388,N-075
0.0017412806446777973,CATS3D_07_PL
0.001735731301402769,F05_C-S_
0.0017332418645823965,SpMax_B(m)
0.0016877026556919891,SpDiam_B(m)
0.0016667171124419113,H-048
0.0016469596607290092,TDB09u
0.0016467969103109304,nPyrazines
0.001625925023194788,SpMax1_Bh(p)
0.0016082361948924586,nCsp2
0.0015662127035857183,CATS3D_08_PL
0.0015550365929685758,GATS7p
0.0015383264300464431,ATS7m
0.001528412871359329,minaaN
0.0015226784920912585,nPyridines
0.0015137798251142398,B05_C-C_
0.0015115482176400515,C-029
0.001504299308571917,TDB04v
0.0015007416070475087,B07_C-O_
0.0014698002868521257,nBM
0.0014324381029960746,CATS2D_05_AL
0.0014231492770213337,R4u
0.0014153370465652397,TDB01m
0.001409684621900959,SpMax3_Bh(m)
0.0013996689325284093,F09_N-N_
0.0013919281548865402,B01_C-S_
0.0013740352479954282,S3K
0.0013715430755778313,P_VSA_LogP_5
0.001366341174475913,R5u
0.0013617782000459407,P_VSA_charge_13
0.001342669696534362,B03_N-S_
0.0013418098464007652,Mor07v
0.0013392553644984893,nPyrimidines
0.0013354441522337337,Mor07s
0.001330776627131597,RDF035s
0.001330182609884863,B07_C-N_
0.001317904081722368,minsssN
0.0013169270990746622,RTm+
0.0013165397257284919,CATS3D_06_LL
0.001312276126606781,VE1sign_B(v)
0.0013095898072749022,nR=Cs
0.0013053766118741163,GATS7i
0.0012981912593157613,Mor06m
0.001287356242218734,Eta_L_A
0.0012813417735957771,HATS8v
0.0012796891509942985,Mor24m
0.0012785469695801503,WHALES60_Rem
0.0012771202588388606,HOMA
0.0012744337756919175,Mor09s
0.0012638653098888315,H-047
0.0012631798450728129,Dv
0.0012596749506173786,MDEC-22
0.0012540538813215652,Eig02_AEA(dm)
0.0012538753326267783,C-005
0.0012460350481132243,E3u
0.0012389511382780163,HATS8s
0.0012380168241734619,P_VSA_ppp_P
0.001237146093838625,SpMin1_Bh(s)
0.0012274506569611686,P_VSA_ppp_con
0.0012199452417005565,R6u
0.0011899749551991827,Mor18s
0.0011861877189313706,PW5
0.0011812502207678166,Uc
0.001179450008157295,RCI
0.0011709486618974062,AVS_RG
0.0011675323818946927,SM14_AEA(bo)
0.0011644806499832233,HATS2m
0.001163339257922948,MCD
0.0011612777355705524,P_VSA_s_5
0.0011593326078113745,GATS8v
0.0011556579050339662,VE2_D/Dt
0.001154344509808279,SpMax_AEA(dm)
0.0011523657854485482,B04_C-N_
0.001148812316862699,SHED_PL
0.0011409273138068407,HATS3m
0.0011390714717222524,VE3sign_Dz(p)
0.0011356935765240524,H6v
0.0011352623122436339,H0u
0.0011349956754655042,SpDiam_AEA(dm)
0.0011348558948081836,nCrs
0.0011327562608619613,MATS5i
0.0011253341944644421,H0i
0.0011251678349405568,max_conj_path
0.0011243803313643014,AVS_B(m)
0.0011215305646484952,nAA
0.001117331438173364,ChiA_D/Dt
0.0011160830740915841,HATS5u
0.0011138887824229265,nIsoxazoles
0.0011127315866627484,P_VSA_m_2
0.0011106216464780137,ICR
0.0011056705170203567,TDB08u
0.001097042448389305,C-025
0.0010956724619480618,P_VSA_charge_9
0.00109523788412156,SIC0
0.0010950748661525428,GATS7v
0.0010931383160117877,Mi
0.0010899326000296397,P_VSA_MR_7
0.0010894125626850517,Fsp3
0.0010880435106699854,C-028
0.001085430402593937,SpMax_B(p)
0.0010846048779187209,Mor22v
0.0010823042802692465,F04_C-S_
0.001080931347863453,B02_N-O_
0.001080791451548896,P_VSA_charge_3
0.0010781490727748613,NssssC
0.0010779903071836958,TDB06p
0.0010773598240681687,HOMT
0.0010744062156799112,T(N..S)
0.00107294229955721,Eta_betaP_A
0.001072838809857965,TDB07m
0.0010721553133788875,s2_numRotBonds
0.001069270962882607,WiA_D/Dt
0.0010677714285566079,P_VSA_i_4
0.001065120653190447,SpMin1_Bh(v)
0.0010645311706620221,GATS7e
0.0010615892768907923,CATS2D_04_AL
0.0010603846223101083,nCq
0.0010601075505898483,HATSe
0.00105772406862261,X5A
0.0010576714382080049,SpMaxA_Coulomb
0.0010568426132402714,Mor31u
0.0010554770690579538,MATS8v
0.0010554014329539267,H6u
0.001053154486006752,IDDE
0.0010517366870555333,HATS8u
0.001048545743708871,Acon
0.0010447781997550308,Mor24u
0.0010423747500950254,nSO2N
0.0010407521366425383,Mor14m
0.0010393509489364362,PW4
0.0010386871779801648,SpMin4_Bh(m)
0.001034202669763254,R2s+
0.0010306541630942941,Mor22m
0.0010281361989514467,EE_G
0.0010262240825798115,P_VSA_i_1
0.0010259584813290994,C-016
0.001020607174761752,Eta_beta
0.0010176242890615316,CATS2D_05_DL
0.0010174241347258074,SpDiam_EA(bo)
0.0010157898648103763,TDB01p
0.001014977577571272,Mor06s
0.0010142419839450376,SHED_AP
0.0010090649921979118,Eig09_EA(dm)
0.001008053542496503,ChiA_RG
0.0010074383730323121,nLevel7
0.0010071839888592823,HATS4v
0.0010070802877126157,R4v
0.001005388188961492,B09_N-N_
0.0010046714813575033,J_Dt
0.000997926485398468,B05_C-N_
0.0009974683903139112,Eta_F_A
0.0009973336988023725,TDB07v
0.0009965835455705186,CATS2D_08_LL
0.0009963036672656607,nTB
0.0009926533548528969,MAXDN
0.0009909716485684982,Eta_FL
0.000989970278354526,CMBL
0.0009881714957760783,nRCO
0.0009861906333099983,Eta_alpha_A
0.0009854509310061993,C-002
0.0009849679712072572,Mor29u
0.0009844712994843143,Mor14v
0.0009839070980004637,D/Dtr05
0.0009835670277452116,SpMAD_EA(dm)
0.0009820770847362838,HATS4p
0.0009819012171755727,Eig02_EA(dm)
0.0009809737626148623,IC1
0.0009777816694009598,Mor03u
0.0009773483513014181,Mor23s
0.0009766395945154415,WHALES70_Isol
0.0009718613892296601,GATS8i
0.0009718227128033573,VE3_RG
0.0009717248684224243,Mor30s
0.000970119001016333,nCIC
0.0009700904642274413,Chi_Dz(Z)
0.0009617915652416409,Mor14s
0.0009611071169552283,N%
0.0009606267046741974,RDF045m
0.0009599335163509032,Chi_Dz(v)
0.0009582849559088483,AVS_B(v)
0.0009526894530298272,Eig03_AEA(dm)
0.0009521240490561547,piPC08
0.0009494976592026421,TI2_L
0.0009485212533028284,CATS2D_01_AA
0.0009482806334141848,NssCH2
0.0009460395480880858,F04_C-N_
0.0009423343527552329,SM11_AEA(dm)
0.0009396965854110407,VE1_B(m)
0.00093906942194087,H2s
0.0009385667830512999,MATS5p
0.0009385560283925439,R4e+
0.000938310801004163,s2_size
0.0009371960918382292,R7m+
0.0009343341833147978,RDF025s
0.000933783381506618,R2s
0.0009329158277783913,AAC
0.0009316641811384849,R8s+
0.0009308452404052091,MATS3i
0.0009283915801202447,SM5_X
0.000926789827215569,nCt
0.0009265793302639283,ATSC8e
0.0009230949650435203,WHALES70_Rem
0.0009181040932353484,RDF045v
0.0009179257506007277,ChiA_D
0.0009163898334248297,F03_C-N_
0.0009161248062078049,GGI1
0.0009160764793311524,SpMAD_EA(ri)
0.000915580048566712,SpMin1_Bh(m)
0.0009155254396657649,RDF035u
0.0009153864814008472,AVS_B(e)
0.0009150499067524956,J_D/Dt
0.0009149733580586204,CIC0
0.0009146867623978909,DLS_04
0.0009133390138354436,Mor24s
0.0009129231873490425,Mp
0.0009117649236790596,ChiA_B(m)
0.0009098066065323439,Mor23v
0.0009094786183689673,NNRS
0.0009090983513589685,Mor04m
0.0009090609715419759,SpMin4_Bh(s)
0.000908126825161701,NRS
0.0009067178307460941,ESOL
0.0009064407560692981,CATS3D_05_AL
0.0009056127096402539,SpPosA_G/D
0.0008985760013849876,Xt
0.0008948522787452615,nR=Ct
0.000894247315772389,Mor18m
0.0008937213088841885,Mor09m
0.00089341994781048,SpMin3_Bh(m)
0.0008929085894045715,nDB
0.000892195980752438,B08_O-O_
0.0008915531435646156,B07_C-C_
0.0008886349675346538,H1m
0.0008875877898571754,Mor21v
0.0008857551618655901,R8m+
0.0008850562304336736,RDF020u
0.0008846200660434731,RDF045s
0.0008841372592109679,Dm
0.0008835088595971996,WHALES90_Rem
0.0008818182109716321,SpPosA_B(m)
0.000880850119714822,P_VSA_ppp_ar
0.0008805913082988086,CATS2D_04_AP
0.0008792757545690938,Mor32m
0.0008783929032219344,SHED_DP
0.0008775870125526236,R2m
0.0008749054899337666,Mor26m
0.0008748274351230602,ChiA_B(v)
0.0008746843443975407,B04_O-S_
0.0008744922549675319,Mor03m
0.0008727709412262929,EE_Coulomb
0.0008725484833558362,G2u
0.0008719460814014489,TDB03m
0.0008716936599222494,CATS2D_09_LL
0.0008716105792231779,MATS5v
0.0008714612864495951,HATS4m
0.0008714111221000306,GATS1i
0.0008691776740837805,GATS5i
0.0008690738589668836,R8u+
0.00086819488701556,C-043
0.0008663734499513433,VE1_D/Dt
0.0008659302179566756,MATS7p
0.000864191477122987,GATS6m
0.0008641101450180432,G(N..O)
0.0008634818934537369,VE2_Dz(Z)
0.000863077826170843,SpPosA_Coulomb
0.0008628888549818396,TDB04e
0.0008628678818817808,SHP2
0.0008602179614983949,SpMaxA_EA(dm)
0.0008560862597839147,R3u
0.0008558754058119861,DBI
0.0008543107442577943,B06_C-N_
0.0008541176579084854,MATS2v
0.0008513097392879428,X1A
0.0008499608715077265,MSD
0.0008496556623607051,TDB10v
0.0008491779246677722,H0v
0.0008480012995751743,minssNH
0.0008478257268424771,PBF
0.0008473576667218515,SssssC
0.000846024165284777,Ui
0.0008458658276843182,TDB05i
0.0008447697700642652,SpMax_B(v)
0.0008444569253896571,Mor31m
0.0008429503683645978,C-018
0.0008410393507895406,Mor20m
0.0008390500940740316,T(N..O)
0.0008382874811392736,SdssC
0.0008376501799445016,B09_C-N_
0.0008374176961691988,HATS2v
0.0008368174018786603,SAscore
0.0008362312269479795,SpMax1_Bh(v)
0.0008361740815586558,minsCH3
0.0008360342902984077,P_VSA_LogP_6
0.0008359592859740832,VE3sign_B(p)
0.0008337028182624436,R6s+
0.000833442312326226,CATS3D_10_DL
0.0008310302525713223,Mor10v
0.0008305903003219239,R2p+
0.0008303824345798692,Eta_F
0.0008286931602129016,R3v
0.0008272129163810711,P_VSA_LogP_2
0.0008267696270580473,Mor08m
0.0008252106002102166,E2e
0.0008246821950968073,RDF055v
0.0008242037767378553,P_VSA_e_3
0.0008236921359713192,WHALES00_Rem
0.0008236427595893054,Eta_D_AlphaB
0.0008232254058101897,RDF065s
0.0008231498669071455,F10_C-N_
0.0008226495078954967,JGI2
0.0008225680139828436,Mor12u
0.000820832595495967,MATS4p
0.0008201152152293914,Mor27u
0.0008199802551059746,H7s
0.0008158856545597926,S2K
0.0008157272360136832,VE3sign_X
0.0008153897117203773,nS
0.0008147380133130408,TDB05v
0.0008143299315022189,F05_C-O_
0.000813894146267979,Mor22u
0.0008126893487966138,SpMAD_AEA(ed)
0.0008123762125722055,TDB04p
0.0008122986218015137,R3u+
0.0008120482915680125,CIC2
0.0008116429314430349,F06_C-S_
0.0008094913217830021,CATS2D_02_DA
0.0008093406672186937,Eta_sh_x
0.0008093400019839102,nCsp
0.0008088842626108797,R2e
0.0008087027046651005,SpMax3_Bh(v)
0.0008083737268323452,Chi_D/Dt
0.000808344365870588,P_VSA_MR_6
0.0008082562556309996,H0e
0.0008077781241567493,ARR
0.0008066883841099669,TDB06s
0.000804868980122829,IVDE
0.0008046146356812903,R1m+
0.0008040744414497689,R5v
0.0008040425672246889,Mor25v
0.0008026306240651994,GATS2i
0.0008012984556587182,P_VSA_charge_6
0.0008012008781855313,Mor13u
0.0008004743232480259,F01_C-N_
0.0008004657666901805,Eta_D_beta
0.0007989967262774318,nN
0.0007988947815018399,R8v
0.0007987784454732173,F07_C-S_
0.0007973075886468816,WHALES80_Isol
0.000797120169269761,Ges
0.0007960913900871405,F08_C-N_
0.0007958928751557992,H-046
0.000794920702459545,GATS7m
0.0007943858554403279,Mor06v
0.0007932618624473429,TDB08v
0.000793184574335757,Mor09v
0.0007924060962233253,MATS6p
0.0007918614179155842,VR2_G
0.0007915706795476289,nOHt
0.0007905190532707094,SpMin2_Bh(s)
0.0007901803231131189,CATS3D_12_DA
0.0007900320126080386,SM10_AEA(bo)
0.000789923571080571,H4m
0.0007898128741851272,VE3sign_B(v)
0.000789174749811693,nRNHR
0.0007882674717530887,CATS2D_03_NL
0.0007878769301539544,MATS4m
0.0007872475766863123,GATS8m
0.0007869861699870767,Mor23m
0.0007855201315406869,Mor24v
0.000785499322645934,F03_C-O_
0.000784496530016121,Hypnotic-80
0.0007828520204947794,VE1sign_D
0.000781946640216194,Mor10u
0.0007814026579152655,H4s
0.0007807754049827648,E1e
0.0007801251926979199,B04_Cl-Cl_
0.000780054939021897,nCsp3
0.0007795877016432151,RBN
0.0007794045650723694,TDB05s
0.000778444535039522,P_VSA_charge_11
0.000778357631460558,SRW05
0.0007775080052268353,WHALES60_Isol
0.0007771399467310262,WHALES00_Isol
0.0007769842799680719,PJI3
0.0007767419921623772,TDB01e
0.0007754050827990552,RDF040m
0.0007749738836212241,Mor29v
0.0007722172022513967,L2u
0.0007720976681695721,RARS
0.0007717933905746797,MATS6m
0.000771548293769702,TDB02p
0.000769491527829397,HATS2s
0.0007685995463424398,CATS2D_03_AL
0.0007682736382017388,nCb-
0.0007682725219321942,MATS4e
0.0007678437107888205,TDB03p
0.0007677199112882761,Mor14u
0.0007661030199866547,Mor07m
0.000765508749895492,SM13_AEA(bo)
0.0007642471617106213,EE_B(m)
0.0007631239167937489,SpMax2_Bh(m)
0.000762535705976876,B07_C-S_
0.0007619825409152688,VE2sign_Dz(p)
0.0007617007549042265,WHALES80_Rem
0.0007614762666935828,SpPosA_D/Dt
0.0007606606379660455,P_VSA_charge_5
0.0007590265952151035,VE2_D
0.0007585369987490938,RDF095m
0.0007579355102675001,E1v
0.0007575828749437229,VE1_Coulomb
0.0007569468319687128,Mor19u
0.0007561175075053996,TDB05m
0.0007542680144560245,SpMax_EA(dm)
0.000753934427668322,GATS8p
0.0007532758061910903,Psi_i_t
0.0007523716547618747,Mor11s
0.0007517216438386251,MATS1m
0.000749569185300247,nCconj
0.000748724890206088,WHALES10_Isol
0.0007483310064240313,HATS5p
0.0007476957607233364,SpMin2_Bh(m)
0.0007470240638575779,SpMax4_Bh(s)
0.0007469601732699907,RDF020s
0.0007464351490264735,CATS3D_15_AL
0.0007463513622429999,Mor10s
0.0007456092933859507,H1v
0.0007453376868065225,HATS7m
0.000743820910717356,WHALES10_IR
0.0007434611586682017,R6s
0.0007425723526233992,SM12_AEA(ri)
0.0007419627379505953,GATS3i
0.0007418009005932181,minsNH2
0.0007409422797015631,P_VSA_v_3
0.0007402209703875679,VE1_D
0.0007398431755245719,ATSC1s
0.0007396949290645609,GATS5v
0.0007394715406991691,arLevel1
0.0007375364185537616,WHALES00_IR
0.0007370770708047992,SpMax3_Bh(s)
0.0007365499630345148,F07_C-N_
0.00073629792857017,Mor25m
0.0007353529803097927,MDEC-23
0.0007349672540795922,MDEC-33
0.0007345613841440112,GATS5m
0.0007323444965937654,VR2_D/Dt
0.0007319753326045874,EE_Dt
0.000731874009997257,P_VSA_ppp_cyc
0.0007318013658342626,Eta_sh_p
0.0007305407285145397,HATS3s
0.0007298815737248059,SpMax_L
0.0007294371668552231,CATS3D_02_AN
0.0007289497127561418,PJI2
0.0007284137251157855,H8v
0.0007269934582751734,VE3sign_A
0.0007266579493870573,G2m
0.000725672462760882,TDB06e
0.0007256677362296211,s3_phSize
0.0007251752658585853,CATS2D_02_DD
0.000724998457013025,piPC09
0.000723867543563283,nCIR
0.0007236690747197113,Mor19m
0.0007226855480889546,MATS5m
0.0007223797440166612,Chi0_EA(dm)
0.0007222461353730049,GATS6p
0.0007192941625159623,VR2_Dz(Z)
0.0007191689809548011,R4s
0.0007190319920348632,TDB01r
0.000718133307104104,RDF075u
0.0007170876033462456,WHALES100_Isol
0.0007159146668116444,MATS1i
0.000715174185038456,Wap
0.0007143780813332449,VE3sign_D/Dt
0.0007130070471028171,H0p
0.0007121785258236808,Mor11v
0.0007116900572353594,RDF030m
0.0007105104037283697,X3A
0.0007100658398857588,QED
0.0007096996445239861,RDF030s
0.0007095852462588938,HATS3p
0.0007094726509711036,GATS4m
0.0007094059901119885,F02_C-N_
0.0007093398362401774,GATS3m
0.0007090021751441849,Infective-80
