Compound_name,y_test,y_pred
bisphenol A,14.26315789,14.26315783657525
mecoprop-P,0.0,1.3970091045382618e-07
4-tert-butylbenzoic acid,17.53052632,17.530525875293662
estrone,13.17692308,13.176923132282948
cefamandole,23.8,23.80000003138726
equiline,14.51578947,14.515789567281129
ibuprofen,11.17582418,11.175824392507671
naproxen,32.76923077,32.76921375692092
mesterolone,6.241758242,6.2417604701855565
progesterone,12.87802198,12.87802260390131
purpurin,0.0,1.1978853523527388e-07
MCPB,15.27173913,15.27174001243741
17-alpha-hydroxyprogesterone acetate,5.520879121,5.520879335958245
sulfaquinoxaline,16.79782609,16.797826192623226
dehydroepiandrosterone,6.230769231,6.230769190345308
5-5-diphenylhydantoin,8.688172043,8.688171760007087
norethisterone,6.102197802,6.102197760261662
testosterone,5.67032967,5.670329612192754
hexanophenone,8.989473684,8.989473565346369
BHA (3-tert-Butyl-4-hydroxyanisole),5.368421053,5.368421260133003
2-7-dihydroxy naphthalene,12.25263158,12.252631757976673
myclobutanil,6.580645161,6.580647272198111
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,4.351648352,4.3516481291066595
estriol,5.095744681,5.095744374032229
ethisterone,4.791208791,4.791208676699857
propylparaben,5.770833333,5.770834145967429
2-4-dichlorophenol,9.203296703,9.203296897909125
exemestane,5.857142857,5.857142932904532
folinic acid sodium salt,17.97849462,17.978494166341804
naphthalene,13.21052632,13.210526195450205
linuron,10.25,10.249998399611512
nandrolone,4.142857143,4.142860640216112
propyl gallate,7.691489362,7.691489163811098
Rutin Hydrate,9.020833333,9.02083322574553
diphenyl carbonate,6.073684211,6.073684341473243
terbutylazine,5.510869565,5.510870017487923
(+)-griseofulvin,9.957446809,9.95744673661048
alpha-resorcylic acid,7.968421053,7.9684212584467105
4-tert-butylphenol,3.726315789,3.7263158452523895
butyl phenyl ether,6.094736842,6.0947368252850795
quercetin,7.8125,7.812499728409506
naringin,8.554347826,8.554347808371922
1-2-4-trimethyl benzene,5.663157895,5.663157850238208
cumene,5.808791209,5.808791463663212
betamethasone,2.984615385,2.9846156153315517
isoeugenol,5.59375,5.593750114844762
aspirin,9.186813187,9.186813121490252
Sebuthylazine,3.813186813,3.813186684042749
(-)-epicatechin,9.752688172,9.752688157936761
benzoin methyl ether,5.084210526,5.084210564334317
diphenylmethanol,3.968421053,3.9684214227273014
5-7-dimethoxycoumarin,5.758241758,5.758241953136472
carbamazepine,8.436170213,8.436170310947993
alachlor,3.252747253,3.2527471816673623
4-hydroxy benzoic acid,3.536842105,3.5368430295065023
2-ethoxybenzoic acid,7.968421053,7.968421167951589
cyanazin,3.282608696,3.2826087006439453
syringic acid,5.315789474,5.315789789028019
3-4-dihydroxy benzoic acid,4.168421053,4.1684210679989855
ISOPROTURON,5.391304348,5.391304473764243
vanillic acid,4.084210526,4.084210675658788
corticosterone,2.526373626,2.5263770860794588
piroxicam,7.904255319,7.904255462463929
butyrophenone,4.136842105,4.136842537115637
3-(2-furyl)acrylic acid,4.621052632,4.621052544357081
eugenol,3.861702128,3.861701973676871
diethyl phthalate,3.602150538,3.6021505538166614
3-4-dichloro aniline,0.958762887,0.9587628370244985
1-cloro-4-nitrobenzene,4.526315789,4.526315908155761
o-methylanisole,3.276595745,3.2765956745546188
methylparaben,2.559139785,2.5591397104899527
3-nitrophenol,2.329787234,2.3297875029782857
prednisone,1.665934066,1.6659341000778352
cortisone,1.612222222,1.612222094108379
pyridine,0.0,-9.977314793580189e-08
propiophenone,2.978947368,3.806678379230017
toluene,2.71875,2.718750454066368
(+)-carvone,3.946236559,3.946235976161983
cinnamaldehyde,4.634408602,3.806678379230017
L-(-)-carvone,3.692307692,3.6923075268091723
sulfathiazole,2.989130435,2.989130059284132
methyl benzoate,2.993406593,2.9934063142423972
3-(5-methylfuran-2-yl)-propionic acid,2.115789474,2.115789773106219
nortriptyline,-0.131868132,-0.1318676139137421
camphor,1.720430108,1.7204300776031705
vanillin,2.258064516,2.258066084423124
tropic acid,2.115789474,2.1157893466581617
nitrocyclohexane,2.189010989,2.189009103138865
dimethyl phthalate,2.150537634,2.150537390000446
antipyrine,6.298969072,6.298970418738174
acetophenone,1.926315789,1.9263158666476887
benzene,1.625,1.6250001949030708
gibberellic acid,0.505263158,0.5052632087355322
phenol,1.547252747,1.547252600174727
1-3-butanediol diacrylate,1.010989011,1.0109889551790892
ATRAZIN-DESETHYL-2-HYDROXY,1.402173913,1.4021738632354481
sulfamerazine,0.985869565,0.9858694921253985
p-benzoquinone,1.084210526,1.084210472185942
catechol,1.168421053,1.1684208924969088
aldicarb,1.282608696,1.282608990945275
acetaminophen,1.075268817,1.0752690623605083
pyrogallol,1.0,1.0000003724585618
benzamide,1.483516484,1.4835164622396313
formononetin,2.369565217,2.3695651114269434
benzyl alcohol,0.642105263,0.6421050916338101
riboflavin,1.161290323,1.1612901774244122
sulfaguanidine,0.44673913,0.44673961307313836
L-(+)-ascorbic acid,0.290322581,0.2903225578558782
Caffeine,0.541666667,0.5416666449865893
2-hydroxypyridine,0.819148936,0.8191492640215535
thymine,0.234042553,0.23404274763420202
