Compound_name,y_test,y_pred
bisphenol A,14.26315789,5.5121191215405405
mecoprop-P,0.0,5.5121191215405405
4-tert-butylbenzoic acid,17.53052632,5.5121191215405405
estrone,13.17692308,5.5121191215405405
cefamandole,23.8,5.5121191215405405
equiline,14.51578947,5.5121191215405405
ibuprofen,11.17582418,5.5121191215405405
naproxen,32.76923077,5.5121191215405405
mesterolone,6.241758242,5.5121191215405405
ketoprofen,23.86813187,5.5121191215405405
progesterone,12.87802198,5.5121191215405405
purpurin,0.0,5.5121191215405405
MCPB,15.27173913,5.5121191215405405
butylparaben,8.150537634,5.5121191215405405
17-alpha-hydroxyprogesterone acetate,5.520879121,5.5121191215405405
sulfaquinoxaline,16.79782609,5.5121191215405405
5-5-diphenylhydantoin,8.688172043,5.5121191215405405
testosterone,5.67032967,5.5121191215405405
BHA (3-tert-Butyl-4-hydroxyanisole),5.368421053,5.5121191215405405
2-7-dihydroxy naphthalene,12.25263158,5.5121191215405405
myclobutanil,6.580645161,5.5121191215405405
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,4.351648352,5.5121191215405405
estriol,5.095744681,5.5121191215405405
ethisterone,4.791208791,5.5121191215405405
propylparaben,5.770833333,5.5121191215405405
exemestane,5.857142857,5.5121191215405405
indole-3-butyric acid,10.27173913,5.5121191215405405
folinic acid sodium salt,17.97849462,5.5121191215405405
linuron,10.25,5.5121191215405405
nandrolone,4.142857143,5.5121191215405405
propyl gallate,7.691489362,5.5121191215405405
tert-butylhydroquinone,4.333333333,5.5121191215405405
diphenyl carbonate,6.073684211,5.5121191215405405
(+)-catechin,9.391304348,5.5121191215405405
terbutylazine,5.510869565,5.5121191215405405
(+)-griseofulvin,9.957446809,5.5121191215405405
alpha-resorcylic acid,7.968421053,5.5121191215405405
4-tert-butylphenol,3.726315789,5.5121191215405405
rifampicin,6.452631579,5.5121191215405405
butyl phenyl ether,6.094736842,5.5121191215405405
valerophenone,5.968421053,5.5121191215405405
cumene,5.808791209,5.5121191215405405
betamethasone,2.984615385,5.5121191215405405
toluic acid,6.357894737,5.5121191215405405
isoeugenol,5.59375,5.5121191215405405
sulfamethoxazole,5.819565217,5.5121191215405405
(-)-epicatechin,9.752688172,5.5121191215405405
benzoin methyl ether,5.084210526,5.5121191215405405
ethylparaben,3.731182796,5.5121191215405405
diphenylmethanol,3.968421053,5.5121191215405405
hippuric acid,8.840425532,5.5121191215405405
5-7-dimethoxycoumarin,5.758241758,5.5121191215405405
carbamazepine,8.436170213,5.5121191215405405
4-hydroxy benzoic acid,3.536842105,5.5121191215405405
2-ethoxybenzoic acid,7.968421053,5.5121191215405405
cyanazin,3.282608696,5.5121191215405405
syringic acid,5.315789474,5.5121191215405405
3-4-dihydroxy benzoic acid,4.168421053,5.5121191215405405
ISOPROTURON,5.391304348,5.5121191215405405
corticosterone,2.526373626,5.5121191215405405
piroxicam,7.904255319,5.5121191215405405
hydrochloridethiazide,4.924731183,5.5121191215405405
3-(2-furyl)acrylic acid,4.621052632,5.5121191215405405
sulfamethizole,4.192391304,5.5121191215405405
1-cloro-4-nitrobenzene,4.526315789,5.5121191215405405
4-(dimethylamino)benzoic acid,3.776595745,5.5121191215405405
o-methylanisole,3.276595745,5.5121191215405405
methylparaben,2.559139785,5.5121191215405405
prednisone,1.665934066,5.5121191215405405
pyridine,0.0,5.5121191215405405
trans-ferulic acid,1.865979381,5.5121191215405405
propiophenone,2.978947368,5.5121191215405405
tropolone,2.670212766,5.5121191215405405
toluene,2.71875,5.5121191215405405
(+)-carvone,3.946236559,5.5121191215405405
abiraterone,0.340425532,5.5121191215405405
sulfathiazole,2.989130435,5.5121191215405405
methyl benzoate,2.993406593,5.5121191215405405
m-cresol,2.094736842,5.5121191215405405
3-(5-methylfuran-2-yl)-propionic acid,2.115789474,5.5121191215405405
nortriptyline,-0.131868132,5.5121191215405405
cinnamyl alcohol,2.451612903,5.5121191215405405
trans-2-hexenyl acetate,0.968421053,5.5121191215405405
camphor,1.720430108,5.5121191215405405
anisole,2.620879121,5.5121191215405405
vanillin,2.258064516,5.5121191215405405
tropic acid,2.115789474,5.5121191215405405
nitrocyclohexane,2.189010989,5.5121191215405405
antipyrine,6.298969072,5.5121191215405405
acetophenone,1.926315789,5.5121191215405405
gibberellic acid,0.505263158,5.5121191215405405
phenol,1.547252747,5.5121191215405405
1-3-butanediol diacrylate,1.010989011,5.5121191215405405
sulfadiazine,1.275,5.5121191215405405
ATRAZIN-DESETHYL-2-HYDROXY,1.402173913,5.5121191215405405
phthalide,2.305263158,5.5121191215405405
sulfamerazine,0.985869565,5.5121191215405405
4-Phenyl-1-3-Dioxane,1.431578947,5.5121191215405405
p-benzoquinone,1.084210526,5.5121191215405405
sulfacetamide,1.115217391,5.5121191215405405
catechol,1.168421053,5.5121191215405405
aldicarb,1.282608696,5.5121191215405405
pyrogallol,1.0,5.5121191215405405
pentoxifylline,2.731182796,5.5121191215405405
formononetin,2.369565217,5.5121191215405405
thiamethoxam,2.255319149,5.5121191215405405
benzyl alcohol,0.642105263,5.5121191215405405
metamitron,1.130434783,5.5121191215405405
sulfaguanidine,0.44673913,5.5121191215405405
2-hydroxypyridine,0.819148936,5.5121191215405405
thymine,0.234042553,5.5121191215405405
