Importance,Molecular Descriptor
0.3961103418375511,Mor19s
0.10879984693678338,Mor11m
0.09380547176976528,Eta_L_A
0.05341191278896675,SHP2
0.04709577216179549,WHALES10_IR
0.04360719644610706,TDB07m
0.043607196446106986,WHALES00_IR
0.04011862073041847,TDB08m
0.03839794259560431,ATSC1e
0.0313360182470838,IDDE
0.025407387741284412,VE1sign_B(s)
0.01472539465848552,TDB10s
0.013534056130515136,VE3sign_Dt
0.011464747651053432,WHALES100_Rem
0.006855990472359199,MATS4p
0.004561539269240442,Mor16m
0.004471195824921002,SpMax2_Bh(v)
0.004203612203877099,RDF075m
0.003896848654808653,VE3sign_G
0.0035864582410188132,G1
0.002304690576084893,Mor29m
0.0011464396919664722,VE1sign_B(v)
0.0011315301246255446,Mor22v
0.0009515139684351168,Mor22m
0.0007642931279776519,R4s+
0.0005734769701918704,F02_C-O_
0.0004886152810883026,P_VSA_charge_9
0.000437023809070487,R8u+
0.00038214656398882356,VE3sign_X
0.00038214656398882297,VE3sign_B(v)
0.0002731398806690535,R1u+
0.00027313988066905335,Eta_betaP_A
0.00024582589260215037,HATS3u
0.00016388392840143164,R3u+
5.462797613381094e-05,HATS3p
5.462797613381094e-05,Mor07v
5.4627976133810715e-05,RDF090u
5.462797613381061e-05,RDF045v
5.462797613381061e-05,QXXm
5.462797613381057e-05,J_RG
5.462797613381018e-05,HATS4u
2.7313988066905994e-05,Hypnotic-80
2.7313988066905486e-05,ATSC2e
2.731398806690547e-05,BAC
2.7313988066905384e-05,H6v
2.731398806690537e-05,R2e
2.7313988066905323e-05,HyWi_G
2.731398806690527e-05,RDF130m
2.7313988066905208e-05,RDF110s
2.7313988066905198e-05,H6u
2.7313988066905188e-05,ARR
2.7313988066905178e-05,Mor02m
2.7313988066905168e-05,RDF020m
2.7313988066905168e-05,RDF100u
2.731398806690514e-05,RDF120m
2.7313988066905124e-05,G2m
2.73139880669051e-05,Eig04_EA(dm)
2.7313988066905066e-05,SM1_Dz(v)
2.731398806690505e-05,SpMax2_Bh(s)
2.731398806690504e-05,RDF035m
2.731398806690503e-05,Eig03_AEA(dm)
2.731398806690503e-05,H4s
2.731398806690503e-05,RDF110u
2.7313988066904985e-05,RARS
2.731398806690497e-05,Eig02_AEA(dm)
2.731398806690496e-05,RDF045m
2.7313988066904927e-05,L2u
2.7313988066904924e-05,DBI
2.73139880669049e-05,CATS2D_00_AA
2.7313988066904863e-05,ESOL
2.7313988066904836e-05,RDF055u
2.7313988066904785e-05,RDF095u
2.7313988066904775e-05,SpMin4_Bh(m)
2.7313988066904744e-05,PCWTE1
2.731398806690472e-05,J_Coulomb
2.731398806690472e-05,Au
2.1929627582341492e-05,ATSC1s
2.046765241018543e-05,WHALES80_Isol
1.9005677238029266e-05,Qmean
1.7543702065873083e-05,HATS4s
1.608172689371704e-05,ATSC4s
1.4619751721560926e-05,EE_B(s)
1.0233826205092563e-05,E1p
7.309875860780481e-06,WHALES10_Rem
5.847900688624263e-06,P_VSA_ppp_L
4.385925516468229e-06,VE1_Coulomb
2.9239503443121797e-06,Mor04v
2.9239503443121547e-06,Mor16u
1.4619751721560786e-06,SHED_LL
1.4619751721560468e-06,H5m
