Compound_name,y_test,y_pred
bisphenol A,14.26315789,10.187121936882017
mecoprop-P,0.0,8.012501509664434
4-tert-butylbenzoic acid,17.53052632,10.68939701741024
estrone,13.17692308,8.960613269965684
equiline,14.51578947,10.525930606135885
ibuprofen,11.17582418,9.947771700863093
naproxen,32.76923077,12.018138128749595
mesterolone,6.241758242,9.925711826179368
ketoprofen,23.86813187,16.43700939190992
butylparaben,8.150537634,10.85360822305486
17-alpha-hydroxyprogesterone acetate,5.520879121,10.254247999841056
sulfaquinoxaline,16.79782609,8.780738280849846
dehydroepiandrosterone,6.230769231,4.192080445168143
norethisterone,6.102197802,4.192895136788156
hexanophenone,8.989473684,5.439514667200621
BHA (3-tert-Butyl-4-hydroxyanisole),5.368421053,4.216570724009684
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,4.351648352,9.957943788795966
ethisterone,4.791208791,5.454317494430366
propylparaben,5.770833333,5.995037202704138
2-4-dichlorophenol,9.203296703,6.208099530353769
exemestane,5.857142857,5.690460379785645
indole-3-butyric acid,10.27173913,5.604365169500379
folinic acid sodium salt,17.97849462,11.21377056911572
naphthalene,13.21052632,11.867179925027536
linuron,10.25,10.765165586293037
tert-butylhydroquinone,4.333333333,3.72511454221992
Rutin Hydrate,9.020833333,7.880576784751204
diphenyl carbonate,6.073684211,5.241544028018003
(+)-catechin,9.391304348,8.155859249913057
alpha-resorcylic acid,7.968421053,5.7333306038955225
4-tert-butylphenol,3.726315789,5.918304062718494
rifampicin,6.452631579,4.306066313841412
butyl phenyl ether,6.094736842,4.626206749174774
quercetin,7.8125,6.872822544984816
valerophenone,5.968421053,4.912767217014225
naringin,8.554347826,5.886392401207805
1-2-4-trimethyl benzene,5.663157895,5.977993074875611
betamethasone,2.984615385,4.188682787218299
toluic acid,6.357894737,5.105247694430081
aspirin,9.186813187,5.621760073788728
sulfamethoxazole,5.819565217,4.973451633622245
Sebuthylazine,3.813186813,3.8398904055864365
ethylparaben,3.731182796,4.285402386606313
diphenylmethanol,3.968421053,5.224169313124379
hippuric acid,8.840425532,9.07999285333178
5-7-dimethoxycoumarin,5.758241758,4.522103350314756
carbamazepine,8.436170213,5.215985736993351
alachlor,3.252747253,4.937147964316126
4-hydroxy benzoic acid,3.536842105,4.422858854104378
2-ethoxybenzoic acid,7.968421053,3.8046089054963135
syringic acid,5.315789474,5.173313934382339
3-4-dihydroxy benzoic acid,4.168421053,3.561800459434724
vanillic acid,4.084210526,5.961260641463354
butyrophenone,4.136842105,5.732241460165301
hydrochloridethiazide,4.924731183,3.858094419363255
sulfamethizole,4.192391304,5.1526482623632495
eugenol,3.861702128,4.200251416622134
diethyl phthalate,3.602150538,2.7104317196704155
3-4-dichloro aniline,0.958762887,3.555980402856668
1-cloro-4-nitrobenzene,4.526315789,4.362438690412476
4-(dimethylamino)benzoic acid,3.776595745,3.9232272981258336
3-nitrophenol,2.329787234,2.3146819895021955
prednisone,1.665934066,3.2649875543935987
cortisone,1.612222222,3.2631412640802955
pyridine,0.0,2.8821677152808842
trans-ferulic acid,1.865979381,2.371792112983718
propiophenone,2.978947368,4.527962653164628
tropolone,2.670212766,2.4665525274405478
toluene,2.71875,3.506025462577643
(+)-carvone,3.946236559,4.734544914455458
cinnamaldehyde,4.634408602,4.527962653164628
abiraterone,0.340425532,4.056197104537067
L-(-)-carvone,3.692307692,2.926518814803028
sulfathiazole,2.989130435,3.5436142194827376
methyl benzoate,2.993406593,1.7668868149424575
m-cresol,2.094736842,2.7662503136393726
nortriptyline,-0.131868132,3.2126505821153453
cinnamyl alcohol,2.451612903,3.3247106590969633
trans-2-hexenyl acetate,0.968421053,2.252552391324887
camphor,1.720430108,2.699755603371862
anisole,2.620879121,2.6644828690210707
vanillin,2.258064516,4.7122685367937365
tropic acid,2.115789474,3.9609407353916963
dimethyl phthalate,2.150537634,2.380242849288206
antipyrine,6.298969072,7.7523648023814555
acetophenone,1.926315789,3.870821409005132
benzene,1.625,4.036898479817791
gibberellic acid,0.505263158,3.1263607975884495
1-3-butanediol diacrylate,1.010989011,2.1214996832430857
sulfadiazine,1.275,3.1511146042951745
ATRAZIN-DESETHYL-2-HYDROXY,1.402173913,3.4429634183031683
phthalide,2.305263158,3.836264734067188
sulfamerazine,0.985869565,3.666462285563516
4-Phenyl-1-3-Dioxane,1.431578947,5.149650094461952
p-benzoquinone,1.084210526,3.4608213341419716
sulfacetamide,1.115217391,2.30254032628177
aldicarb,1.282608696,3.653799391377854
acetaminophen,1.075268817,3.6948354969529285
pyrogallol,1.0,2.510665840846115
benzamide,1.483516484,2.4230157364828124
pentoxifylline,2.731182796,2.574292834582292
formononetin,2.369565217,3.2136791637864315
thiamethoxam,2.255319149,3.1547191176567275
benzyl alcohol,0.642105263,3.0611537733543353
metamitron,1.130434783,1.3019124001005467
riboflavin,1.161290323,3.5317873185198723
sulfaguanidine,0.44673913,2.227716562703253
L-(+)-ascorbic acid,0.290322581,2.1264140707850667
Caffeine,0.541666667,1.968080016710116
2-hydroxypyridine,0.819148936,2.5223440619143855
thymine,0.234042553,1.7146506901376695
