Importance,Molecular Descriptor
0.0269345,CATS2D_05_AA
0.024225349,SpMax1_Bh(p)
0.021007773,RDF010s
0.017401459,RDF025s
0.016309844,ChiA_B(m)
0.015997197,Mor21u
0.0156445,Mor06m
0.014484278,ChiA_B(v)
0.0143870525,Mor08s
0.013037528,Mor05s
0.012466929,TDB01p
0.011107271,RDF060m
0.010250581,HATS5s
0.010141129,Mor06v
0.009801856,HATS6v
0.009613323,Mor02u
0.009297355,RDF065m
0.009270899,SpMax_L
0.0082872715,N-075
0.008153217,mindO
0.007771807,WHALES40_Rem
0.007242172,R8m
0.0071444483,TDB10m
0.007118796,RDF080m
0.006778984,Mor19m
0.0067523974,WHALES50_IR
0.006652658,Mor19s
0.00641468,SpPosA_G/D
0.0063054874,TDB03p
0.0062471563,SpMax2_Bh(v)
0.006188341,WHALES50_Isol
0.005817358,SpMAD_AEA(ed)
0.0055728275,R4s+
0.005523014,HATS6m
0.005478829,R1u+
0.0054325503,R5s
0.005428552,TDB03v
0.005206008,s2_size
0.0050973995,J_RG
0.004682871,SpMax_AEA(dm)
0.0046115397,P_VSA_MR_7
0.004568971,Chi_Dz(v)
0.0045613977,SM14_AEA(bo)
0.004510577,SpPosA_X
0.004336448,Mor27m
0.0042764805,Q2
0.0042096227,WHALES60_Isol
0.004154506,SpMin1_Bh(s)
0.004018256,VE3sign_Dz(Z)
0.0039738263,MATS2m
0.0039492548,LOGP99
0.0038922452,ChiA_B(e)
0.00386109,QXXm
0.0037936957,Mor21v
0.0037642508,s3_numSharedNeighbors
0.0037639167,HATS8u
0.0037533399,RDF050s
0.0037327164,SpMin4_Bh(s)
0.0037230088,ATSC4e
0.0036888279,Mor26p
0.0036765966,Qmean
0.0036213822,SpPosA_B(i)
0.0035989317,TDB02p
0.0034847464,E2p
0.0034648306,SM10_AEA(bo)
0.0034166286,SpMax_B(v)
0.0034008177,R3m+
0.003352675,SpMax4_Bh(s)
0.0033423104,VE3sign_D
0.003336716,BLI
0.0033268828,MATS7p
0.0032711106,R1s+
0.003181635,WHALES10_Isol
0.003178523,R1s
0.003105318,R8s
0.003044134,Mor21m
0.0030436064,TDB08m
0.0030190842,SpDiam_B(m)
0.0029669425,Eta_F_A
0.002924173,F03_N-S_
0.0029113165,CATS2D_09_DL
0.0028458266,HATS4p
0.0027964783,CATS3D_10_DL
0.0027806067,RDF075m
0.0027738586,Mor08m
0.0026890764,GATS5v
0.0026475955,C-027
0.0026253504,SpMax6_Bh(s)
0.0026158541,TDB10v
0.0025910807,R5v
0.002557424,HATS5m
0.0025209384,Infective-50
0.0024698782,WHALES70_Rem
0.0024330213,CATS2D_06_DA
0.002363198,DLS_04
0.0023518007,GATS7v
0.0023478006,ATSC8e
0.0023135236,ATSC7e
0.0023083675,Eta_L_A
0.0022576947,Mor25u
0.0022523599,WiA_Coulomb
0.0022148292,AVS_B(m)
0.0022129721,Mor26u
0.002128559,P_VSA_ppp_N
0.0021092833,SpMax3_Bh(s)
0.00210127,piPC08
0.0020787686,VE2_RG
0.0020678292,GATS7i
0.002057271,MAXDN
0.0020386493,R2p+
0.0020003626,Mor03u
0.0019816132,B07_C-O_
0.0019761182,WHALES50_Rem
0.0019337971,Mor20u
0.0019336854,G2m
0.0019183485,SpMin2_Bh(s)
0.00189654,VE1sign_B(v)
0.0018873977,P_VSA_charge_7
0.0018730351,VR2_G
0.0018699095,SpMax_B(p)
0.0018406076,WHALES60_Rem
0.0018172329,CATS3D_03_AA
0.0018002229,TDB01v
0.0017890804,GATS1v
0.0017827009,TDB04v
0.0017796962,ESOL
0.0017632609,P_VSA_s_3
0.0017505137,Mor13u
0.0017278161,MATS7i
0.0017212544,GATS6m
0.0017197349,VE1sign_G/D
0.0017152829,MaxsssCH
0.0016986949,RDF110s
0.0016943292,Mor15s
0.0016875119,VE3sign_Dz(i)
0.0016868463,R2v+
0.0016612561,CIC3
0.0016610252,VE1sign_Dz(e)
0.0016542227,C%
0.0016455506,Mor13v
0.0016377432,H3m
0.001613242,WHALES10_IR
0.0016116564,SpPosA_B(p)
0.0016087941,Mor09s
0.0015665682,WHALES10_Rem
0.0015650376,R2m
0.0015623763,HNar
0.0015327755,Mor22v
0.0015272051,VR2_A
0.0015096561,nS
0.0014866955,R3v
0.0014805924,Mor13m
0.0014762399,CATS2D_00_LL
0.0014743075,SpMin4_Bh(m)
0.001459467,R4u
0.0014538681,TDB04u
0.001449578,G1u
0.0014471107,SpMax1_Bh(v)
0.001440629,Eig03_AEA(dm)
0.0014391725,SM12_AEA(ri)
0.0014351672,ChiA_B(s)
0.0014276716,VE3sign_G/D
0.0014164535,Mor26m
0.0014149521,SHED_DL
0.0014088696,AAC
0.0013997764,Mor24m
0.0013963503,H1v
0.0013840399,Mi
0.0013697225,TDB04m
0.0013641081,R5u
0.0013564321,RDF020s
0.0013524939,VE3sign_X
0.0013523607,SpMAD_B(v)
0.0013453249,Eta_betaS_A
0.0013437538,SpDiam_EA(bo)
0.0013425151,VR2_Dz(Z)
0.0013422103,piPC09
0.001341043,SIC2
0.0013329836,TDB04s
0.0013242866,CIC2
0.0012946912,MLOGP
0.0012905145,R2e+
0.0012849118,WHALES80_IR
0.0012726886,H-047
0.0012608868,HATS5v
0.0012533591,HATS7s
0.0012527009,P_VSA_ppp_con
0.0012396335,GATS3v
0.0012391531,SpMAD_EA(ri)
0.0012327554,H0v
0.0012315066,SpDiam_AEA(dm)
0.0012313618,MATS2s
0.0012299408,Mor17m
0.0012183471,VE3sign_Dz(p)
0.0012139811,piPC10
0.0012138872,H7m
0.0012131569,MATS1m
0.0012089298,Mor02v
0.001175672,HOMT
0.0011600261,C-005
0.0011575096,MATS4e
0.0011569262,SpMaxA_EA(dm)
0.0011497088,F02_N-O_
0.0011487029,RDF115m
0.001139197,IDDE
0.0011276288,TDB09m
0.00111903,R4e+
0.0011174828,AVS_RG
0.0011128178,Mv
0.0011065955,Psi_i_1d
0.0011053619,J_D
0.0011004547,SAscore
0.0010981294,HATS3u
0.0010780124,Mor25v
0.0010692792,P_VSA_m_2
0.0010672521,VE1_RG
0.001062346,MATS5v
0.0010543149,WHALES20_Rem
0.0010402459,L2u
0.0010346875,SdssC
0.0010281503,CATS3D_07_DA
0.0010218952,MATS8i
0.000995408,WHALES60_IR
0.0009833485,MATS2i
0.0009803487,P_VSA_e_3
0.0009802538,GATS1e
0.0009761675,AMW
0.000974696,R4v
0.0009705446,SIC1
0.0009680963,VE3sign_Coulomb
0.0009632233,F02_C-O_
0.0009623195,RDF090m
0.0009576914,TDB01m
0.00095380674,HATS0s
0.00094521116,nAA
0.0009375413,VE1sign_D/Dt
0.000930655,R7m+
0.0009256051,HyWi_G
0.0009239965,nCIC
0.0009178849,SM1_Dz(v)
0.00091014,TDB01s
0.00090768206,RDF130u
0.0009064075,RDF105m
0.0009050829,RDF045m
0.000904422,Mor10m
0.00090191065,RDF040m
0.0008873388,minsOH
0.0008844226,SssNH
0.0008823607,RDF070m
