Compound_name,y_test,y_pred
bisphenol A,14.26315789,12.98671636264852
mecoprop-P,0.0,8.93826728529307
4-tert-butylbenzoic acid,17.53052632,13.144523873640303
estrone,13.17692308,11.624998299349604
cefamandole,23.8,14.919812850908484
equiline,14.51578947,13.095094925651647
ibuprofen,11.17582418,7.088256480111023
naproxen,32.76923077,11.279786524125175
mesterolone,6.241758242,6.32935882678691
progesterone,12.87802198,11.762287470755982
purpurin,0.0,5.316351405616171
MCPB,15.27173913,12.04386917677565
17-alpha-hydroxyprogesterone acetate,5.520879121,6.778351483922052
sulfaquinoxaline,16.79782609,10.090641628609225
dehydroepiandrosterone,6.230769231,5.305677243914469
5-5-diphenylhydantoin,8.688172043,6.903991414997908
norethisterone,6.102197802,5.663897977529297
testosterone,5.67032967,6.00301450509549
hexanophenone,8.989473684,7.252997111541654
BHA (3-tert-Butyl-4-hydroxyanisole),5.368421053,4.981558867565514
2-7-dihydroxy naphthalene,12.25263158,10.388703158962496
myclobutanil,6.580645161,6.504087110236885
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,4.351648352,5.795966456466849
estriol,5.095744681,6.174591093874798
ethisterone,4.791208791,4.454500476804134
propylparaben,5.770833333,5.047991170088998
2-4-dichlorophenol,9.203296703,6.1139982304945075
exemestane,5.857142857,5.099482821452447
folinic acid sodium salt,17.97849462,10.652089356974088
naphthalene,13.21052632,10.488158264770213
linuron,10.25,9.815793638462681
nandrolone,4.142857143,7.673713139481712
propyl gallate,7.691489362,6.13368701917062
Rutin Hydrate,9.020833333,8.424643025995072
diphenyl carbonate,6.073684211,5.973304846795853
terbutylazine,5.510869565,5.619583879893756
(+)-griseofulvin,9.957446809,6.395929147180022
alpha-resorcylic acid,7.968421053,6.51656633238726
4-tert-butylphenol,3.726315789,4.480823739938632
butyl phenyl ether,6.094736842,5.721202725303799
quercetin,7.8125,6.773563336825512
naringin,8.554347826,7.162381457657607
1-2-4-trimethyl benzene,5.663157895,5.961502188103441
cumene,5.808791209,5.693247509284136
betamethasone,2.984615385,3.425926194508976
isoeugenol,5.59375,5.626921130747216
aspirin,9.186813187,6.4619349365603105
Sebuthylazine,3.813186813,4.442632431791383
(-)-epicatechin,9.752688172,5.570378340212053
benzoin methyl ether,5.084210526,5.010968488080341
diphenylmethanol,3.968421053,4.418087905314153
5-7-dimethoxycoumarin,5.758241758,4.909741362154821
carbamazepine,8.436170213,6.442294238270713
alachlor,3.252747253,3.3889249707503484
4-hydroxy benzoic acid,3.536842105,3.5442930743786025
2-ethoxybenzoic acid,7.968421053,5.041646899360389
cyanazin,3.282608696,3.689675995354845
syringic acid,5.315789474,4.592902404194836
3-4-dihydroxy benzoic acid,4.168421053,3.947746738766922
ISOPROTURON,5.391304348,4.81029945016793
vanillic acid,4.084210526,4.863310128317229
corticosterone,2.526373626,4.367263308626558
piroxicam,7.904255319,5.52080047171589
butyrophenone,4.136842105,3.9805868412420833
3-(2-furyl)acrylic acid,4.621052632,4.550268658425527
eugenol,3.861702128,4.237143332988263
diethyl phthalate,3.602150538,3.515235849844152
3-4-dichloro aniline,0.958762887,2.3577084362196437
1-cloro-4-nitrobenzene,4.526315789,4.497737835022408
o-methylanisole,3.276595745,3.35134504171725
methylparaben,2.559139785,2.705959753084137
3-nitrophenol,2.329787234,1.521568538840682
prednisone,1.665934066,2.6123904009279215
cortisone,1.612222222,2.6086673081648337
pyridine,0.0,1.6024130607437934
propiophenone,2.978947368,3.5642634840351763
toluene,2.71875,3.212153146330695
(+)-carvone,3.946236559,3.640330728462767
cinnamaldehyde,4.634408602,3.5642634840351763
L-(-)-carvone,3.692307692,3.5865736399569204
sulfathiazole,2.989130435,3.8994761390406962
methyl benzoate,2.993406593,2.912040843915522
3-(5-methylfuran-2-yl)-propionic acid,2.115789474,5.359560280200336
nortriptyline,-0.131868132,1.7107824930955244
camphor,1.720430108,2.546298050737938
vanillin,2.258064516,2.5945926634234464
tropic acid,2.115789474,3.4925895223744767
nitrocyclohexane,2.189010989,2.594975326199998
dimethyl phthalate,2.150537634,2.739409323430707
antipyrine,6.298969072,5.700613223324447
acetophenone,1.926315789,3.793450915995526
benzene,1.625,2.8719097372196565
gibberellic acid,0.505263158,2.4108654542638037
phenol,1.547252747,2.5537759148210446
1-3-butanediol diacrylate,1.010989011,2.01347611741174
ATRAZIN-DESETHYL-2-HYDROXY,1.402173913,2.833220421102065
sulfamerazine,0.985869565,1.9234681347441407
p-benzoquinone,1.084210526,3.2813231414786177
catechol,1.168421053,1.7712119882662036
aldicarb,1.282608696,1.8861485978727446
acetaminophen,1.075268817,2.7455621257627647
pyrogallol,1.0,2.1533429969124107
benzamide,1.483516484,2.0350229958755084
formononetin,2.369565217,2.673619058980333
benzyl alcohol,0.642105263,1.949561487516547
riboflavin,1.161290323,2.330551670833083
sulfaguanidine,0.44673913,1.3377919525824047
L-(+)-ascorbic acid,0.290322581,1.3902860849827652
Caffeine,0.541666667,2.156681820609991
2-hydroxypyridine,0.819148936,2.0295737270403498
thymine,0.234042553,1.2761363129258616
