Compound_name,y_test,y_pred
sulfamethizole,4.192391304,5.474258160191177
sulfathiazole,2.989130435,5.474258160191177
sulfamerazine,0.985869565,5.474258160191177
sulfacetamide,1.115217391,5.474258160191177
sulfadiazine,1.275,5.474258160191177
sulfaguanidine,0.44673913,5.474258160191177
sulfaquinoxaline,16.79782609,5.474258160191177
sulfamethoxazole,5.819565217,5.474258160191177
testosterone,5.67032967,5.474258160191177
prednisone,1.665934066,5.474258160191177
estrone,13.17692308,5.474258160191177
exemestane,5.857142857,5.474258160191177
17-alpha-hydroxyprogesterone acetate,5.520879121,5.474258160191177
cortisone,1.612222222,5.474258160191177
betamethasone,2.984615385,5.474258160191177
dehydroepiandrosterone,6.230769231,5.474258160191177
corticosterone,2.526373626,5.474258160191177
norethisterone,6.102197802,5.474258160191177
progesterone,12.87802198,5.474258160191177
pyridine,0.0,5.474258160191177
methyl benzoate,2.993406593,5.474258160191177
nitrocyclohexane,2.189010989,5.474258160191177
anisole,2.620879121,5.474258160191177
phenol,1.547252747,5.474258160191177
benzamide,1.483516484,5.474258160191177
cumene,5.808791209,5.474258160191177
2-4-dichlorophenol,9.203296703,5.474258160191177
nandrolone,4.142857143,5.474258160191177
mesterolone,6.241758242,5.474258160191177
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,4.351648352,5.474258160191177
purpurin,0.0,5.474258160191177
ketoprofen,23.86813187,5.474258160191177
naproxen,32.76923077,5.474258160191177
ibuprofen,11.17582418,5.474258160191177
aspirin,9.186813187,5.474258160191177
ethisterone,4.791208791,5.474258160191177
testosterone cypionate,9.582417582,5.474258160191177
testosterone isocaproate,10.7032967,5.474258160191177
testosterone undecanoate,10.61538462,5.474258160191177
Caffeine,0.541666667,5.474258160191177
propylparaben,5.770833333,5.474258160191177
benzene,1.625,5.474258160191177
toluene,2.71875,5.474258160191177
1-cloro-4-nitrobenzene,4.526315789,5.474258160191177
naphthalene,13.21052632,5.474258160191177
2-ethoxybenzoic acid,7.968421053,5.474258160191177
3-(2-furyl)acrylic acid,4.621052632,5.474258160191177
phthalide,2.305263158,5.474258160191177
diphenylmethanol,3.968421053,5.474258160191177
m-cresol,2.094736842,5.474258160191177
catechol,1.168421053,5.474258160191177
3-4-dihydroxy benzoic acid,4.168421053,5.474258160191177
4-hydroxy benzoic acid,3.536842105,5.474258160191177
benzyl alcohol,0.642105263,5.474258160191177
3-(5-methylfuran-2-yl)-propionic acid,2.115789474,5.474258160191177
alpha-resorcylic acid,7.968421053,5.474258160191177
pyrogallol,1.0,5.474258160191177
acetophenone,1.926315789,5.474258160191177
propiophenone,2.978947368,5.474258160191177
butyrophenone,4.136842105,5.474258160191177
valerophenone,5.968421053,5.474258160191177
hexanophenone,8.989473684,5.474258160191177
4-tert-butylphenol,3.726315789,5.474258160191177
2-7-dihydroxy naphthalene,12.25263158,5.474258160191177
1-2-4-trimethyl benzene,5.663157895,5.474258160191177
gibberellic acid,0.505263158,5.474258160191177
4-Phenyl-1-3-Dioxane,1.431578947,5.474258160191177
benzoin methyl ether,5.084210526,5.474258160191177
diphenyl carbonate,6.073684211,5.474258160191177
trans-2-hexenyl acetate,0.968421053,5.474258160191177
4-tert-butylbenzoic acid,17.53052632,5.474258160191177
bisphenol A,14.26315789,5.474258160191177
BHA (3-tert-Butyl-4-hydroxyanisole),5.368421053,5.474258160191177
butyl phenyl ether,6.094736842,5.474258160191177
toluic acid,6.357894737,5.474258160191177
equiline,14.51578947,5.474258160191177
Sebuthylazine,3.813186813,5.474258160191177
MCPB,15.27173913,5.474258160191177
indole-3-butyric acid,10.27173913,5.474258160191177
ATRAZIN-DESETHYL-2-HYDROXY,1.402173913,5.474258160191177
mecoprop-P,0.0,5.474258160191177
ISOPROTURON,5.391304348,5.474258160191177
metamitron,1.130434783,5.474258160191177
terbutylazine,5.510869565,5.474258160191177
linuron,10.25,5.474258160191177
alachlor,3.252747253,5.474258160191177
1-3-butanediol diacrylate,1.010989011,5.474258160191177
nortriptyline,-0.131868132,5.474258160191177
3-4-dichloro aniline,0.958762887,5.474258160191177
5-7-dimethoxycoumarin,5.758241758,5.474258160191177
trans-ferulic acid,1.865979381,5.474258160191177
quercetin,7.8125,5.474258160191177
formononetin,2.369565217,5.474258160191177
Rutin Hydrate,9.020833333,5.474258160191177
(+)-catechin hydrate,4.301075269,5.474258160191177
pentoxifylline,2.731182796,5.474258160191177
naringin,8.554347826,5.474258160191177
(-)-epicatechin,9.752688172,5.474258160191177
(+)-catechin,9.391304348,5.474258160191177
tert-butylhydroquinone,4.333333333,5.474258160191177
propyl gallate,7.691489362,5.474258160191177
riboflavin,1.161290323,5.474258160191177
hydrochloridethiazide,4.924731183,5.474258160191177
5-5-diphenylhydantoin,8.688172043,5.474258160191177
antipyrine,6.298969072,5.474258160191177
acetaminophen,1.075268817,5.474258160191177
isoeugenol,5.59375,5.474258160191177
eugenol,3.861702128,5.474258160191177
L-(-)-carvone,3.692307692,5.474258160191177
(+)-carvone,3.946236559,5.474258160191177
geraniol,2.32967033,5.474258160191177
o-methylanisole,3.276595745,5.474258160191177
cinnamaldehyde,4.634408602,5.474258160191177
cinnamyl alcohol,2.451612903,5.474258160191177
diethyl phthalate,3.602150538,5.474258160191177
isopropyl isocyanate,0.0,5.474258160191177
methylparaben,2.559139785,5.474258160191177
ethylparaben,3.731182796,5.474258160191177
butylparaben,8.150537634,5.474258160191177
cefamandole,23.8,5.474258160191177
myclobutanil,6.580645161,5.474258160191177
fmoc chloride,0.29787234,5.474258160191177
(+)-griseofulvin,9.957446809,5.474258160191177
3-nitrophenol,2.329787234,5.474258160191177
carbamazepine,8.436170213,5.474258160191177
dansyl chloride,7.723404255,5.474258160191177
abiraterone,0.340425532,5.474258160191177
estriol,5.095744681,5.474258160191177
chlorambucil,7.446808511,5.474258160191177
2-hydroxypyridine,0.819148936,5.474258160191177
piroxicam,7.904255319,5.474258160191177
methyl-p-toluene sulfonate,4.106382979,5.474258160191177
tropolone,2.670212766,5.474258160191177
PyBOP,4.357894737,5.474258160191177
thiamethoxam,2.255319149,5.474258160191177
4-(dimethylamino)benzoic acid,3.776595745,5.474258160191177
