Importance,Molecular Descriptor
0.04534970251770282,R2s+
0.039794726800624444,nLevel8
0.025374050740097825,CATS2D_04_NL
0.018667595444590877,RDF145v
0.017851738079497168,minsssCH
0.016387691053519567,SM12_AEA(bo)
0.015603551083415186,R1u+
0.014648847168870978,Ui
0.014509324790770791,H1s
0.013780938751237523,TDB07s
0.013614789252721908,SHED_LL
0.012438032604091593,PCWTE2
0.012094113924491098,RDF065m
0.01089578710653748,SM1_Dz(Z)
0.010854763663752282,HyWi_G
0.010629836569866942,MDEC-23
0.0101966143386573,Mor13m
0.00986287380150077,HATS0e
0.009823670761151176,RDF045v
0.00948941573090968,Mor16m
0.009475114404063439,RDF140u
0.009429055400821843,Eta_D_beta
0.008958298239906407,RDF030u
0.00860441601581033,VR2_G
0.008305818428043638,D/Dtr10
0.007925327755181143,CATS3D_07_DL
0.007861541143885587,SM14_AEA(bo)
0.0071874890724834195,Eta_sh_y
0.0067723142954373245,HATS5u
0.006665389476300943,Mor32v
0.006588393285655841,E1p
0.00656108922596405,R6v
0.006464843568323711,CATS3D_05_LL
0.006406427796041411,VE3sign_G
0.006374475593093021,H8v
0.006159363749474361,ALOGP2
0.006023989987302794,TDB10m
0.005965875098153582,IC3
0.005837545237864619,Mor30m
0.005519340023175607,SpMax_B(s)
0.005424227845597647,Mor31m
0.00521251789083603,MDEC-13
0.0051901845099497365,s34_phRelSize
0.00517729766788283,RDF040m
0.005135215131914664,F01_C-N_
0.005129998756426295,P_VSA_i_4
0.005075554613261792,SpMin4_Bh(s)
0.005023898586706125,Mor19s
0.004919576215456019,R3m
0.004816698268580711,Mor03s
0.004735971424585987,Mor26v
0.004707612211251212,minaasC
0.0046248654814955515,ATSC3s
0.004593247496152278,CATS3D_02_DL
0.004591830714582499,RBN
0.00448306767019682,TDB06e
0.004406156588356713,Mor26m
0.00434005505922825,TDB03s
0.004203346673356012,RDF070u
0.004100540006102058,P_VSA_ppp_cyc
0.004007612254495361,JGI6
0.003971342299981755,T(N..N)
0.003920220556210773,P_VSA_e_2
0.0038880160795601183,SpMAD_EA(bo)
0.0037789291118363088,P_VSA_s_4
0.0037534429841151098,LOC
0.0036747138662035017,AVS_Coulomb
0.0036083698982522514,minssCH2
0.00355757553587412,Mor23p
0.0034636901555557546,SpMax_B(m)
0.003400144011157129,R2u+
0.003364704685663985,Psi_i_0d
0.003298209440474151,VE1_D/Dt
0.0032842560487642346,TDB01m
0.0032373337838318954,VE1sign_B(s)
0.0031991682833318494,CATS3D_02_AL
0.003109039961664395,Mor14s
0.003077378023526898,Mp
0.0030500816677180003,Eta_beta
0.003043224193561501,R7u+
0.00299875363265596,P1u
0.0029384873007883986,R6m
0.0029016063908406295,MATS2p
0.002901190592765255,F08_C-N_
0.0028042321958894373,SpMax4_Bh(s)
0.0027851065649412386,TDB07m
0.0026764312047335673,SpDiam_EA(bo)
0.0026617852750672978,Mor23s
0.002657067650723484,SpMAD_B(v)
0.0026417025239434144,H0s
0.002639201444424084,SM09_AEA(dm)
0.0025995064892280163,Mor19u
0.002571666368616026,CATS2D_09_DA
0.0025359103512841937,SM11_AEA(dm)
0.002526948019767863,SaaaC
0.0025047947717505583,GATS8p
0.0025003966314752235,SpMAD_B(m)
0.00246432915293176,MSD
0.0024556537234285292,TDB01v
0.0024264834867519024,ChiA_B(s)
0.0023797833729718217,MDEC-33
0.002354078172383997,MATS1i
0.0023337949933574867,CATS3D_02_DA
0.0023112518662847495,R7m+
0.0022763754312725704,E2v
0.0022655998260214696,EE_Coulomb
0.002261521949199266,ASP
0.002207307578035365,nCIC
0.002179951852799851,G2u
0.0021695679080587704,GATS4v
0.0021447638516587726,mindssC
0.0021327712996651437,WHALES30_Rem
0.0020562442767573415,GATS1m
0.0020373040354729802,R3p+
0.0020007389493736103,WHALES80_Rem
0.001958556656464113,SHED_AL
0.0019472721327935694,R8s+
0.0019417085704170718,Mor25v
0.0018973087039506962,X2A
0.0018866839029822663,H4s
0.0018806914960983793,H7m
0.0018650800210848893,TDB08m
0.0018631420618848533,ChiA_D
0.0018560852338909586,HATS7s
0.0018519054041082525,H_Dt
0.0018340622504318246,TDB09u
0.0018283345508429284,WHALES00_Isol
0.0017937246002178674,RDF045m
0.0017236466491662627,HATS0p
0.001718524192846408,Mor06m
0.0017178943382564866,SpMax_EA(dm)
0.0017117905307574032,Mor04u
0.0017076148263334356,nO
0.0016853412755722867,Mor11p
0.0016840451892937965,Mor11s
0.0016812471255736104,TE1
0.0016797754456494536,HATS4s
0.0016773783801396775,ATSC1s
0.0016768885131919226,ATSC2s
0.001634772750637904,GATS7e
0.0016275296976809889,RDF135m
0.0016075142098055423,CATS2D_08_LL
0.0016073623839321525,Mor18v
0.001603884918703573,Eta_L_A
0.001599671043230317,GATS8i
0.0015993097952548036,Mor05s
0.0015901840160749078,CATS2D_04_AN
0.0015785773153569591,GATS2s
0.0015696358642935573,P_VSA_LogP_5
0.0015472207809254606,H6m
0.0015421475336775473,H1m
0.0015399975904788405,R8v
0.001512712168743314,GATS4m
0.0015004642955651272,R1u
0.0014937326495323756,Mor29u
0.0014702594359312705,RDF075m
0.00141636843669987,HATS5p
0.0014083671200369589,R3s+
0.001407122091125625,nAA
0.0013536960756182406,CMBL
0.001351922832060403,PCR
0.001346987816591629,max_conj_path
0.0013355479330708657,GATS2m
0.0013285236553545413,RTs+
0.0013262692559479663,SM10_AEA(bo)
0.001295498768400562,Mor22u
0.0012875301494099044,Mor15m
0.0012713614767828577,DISPi
0.0012664510883555586,GATS6i
0.0012638584077807513,GATS5i
0.0012611460092605982,TDB03m
0.0012566018199463775,Mor03m
0.0012542144294455007,RDF045s
0.0012539887579202725,SpMax3_Bh(s)
0.001235019871039337,MATS7e
0.001231337806343814,SpPosA_B(p)
0.0012307226491269118,Eta_F
0.0012264580035015857,P_VSA_ppp_P
0.0012188148776089494,LOGP99
0.0012009223780895613,CATS2D_02_AL
0.0011999411700730673,SpMaxA_EA(dm)
0.0011991452667287085,RNCG
0.001180827760787875,P_VSA_LogP_1
0.0011600924582560851,SpPosA_B(v)
0.001150078428575722,Eta_B_A
0.001147843001598309,Mor06u
0.0011473503922734335,MATS8m
0.0011472079813242902,ATSC6e
0.0011427395970302493,piPC08
0.001137862432556718,SM1_Dz(v)
0.0011227416266272907,X0Av
0.0011225317258705206,P_VSA_m_2
0.0011145608181149988,GATS3m
0.0011099780353608733,ATSC2e
0.0011018144663468901,R4s+
0.001098510497577524,MATS4m
0.0010793390673243027,P_VSA_i_3
0.0010684685387856022,Mor24m
0.0010640536089455695,Mor02v
0.0010502008553301212,TDB04v
0.0010407500484641095,HATS5m
0.0010236650183992528,RDF140m
0.0010132730885775477,ChiA_B(v)
0.0009959560618235485,Dv
0.000993559117196625,SHP2
0.0009796458494255444,VE2sign_A
0.0009756698401886254,SM07_AEA(dm)
0.000973843955333086,qnmax
0.0009680297173022907,CATS2D_01_DN
0.0009518534630232527,CATS2D_07_DL
0.0009392952593414029,s4_phSize
0.0009392398765990622,H3u
0.0009334577864419067,BAC
0.0009314193931893345,TDB01e
0.0009285250402770198,R1v+
0.0009261042824146323,SpMax2_Bh(v)
0.0009158313482177292,DISPv
0.0009155717305145141,P2u
0.0009150120353693266,ZM1V
0.0009127190107003454,MATS4e
0.0009015457652644308,Mor21v
0.0008939338196870931,R2m
0.0008855231543402854,SpMAD_AEA(ed)
0.0008828171622514137,R4m+
0.000882459524869291,VE3sign_B(s)
0.0008822751937270338,VE2_G/D
0.0008719607062720354,RDF050s
0.0008706555336348833,MATS5m
0.0008664470369438375,R1s+
0.0008593570562476186,Mor22s
0.0008544617006715458,H7u
0.0008514247565409842,SAscore
0.000849813996706416,HATS8s
0.0008487397994789653,CATS3D_07_AL
0.0008241191008172121,SpMax3_Bh(m)
0.0008172733786869927,E1u
0.0008160000416320271,VE1_B(m)
0.0008149329222131678,E1m
0.000808768100981398,VE1sign_Coulomb
0.0007996868130365696,TDB01i
0.0007979435998487986,Mor02u
0.000794826464399494,VE3sign_Dt
0.0007923665097267203,Psi_i_1s
0.0007858042659397197,Acon
0.0007844387100127144,Mor17v
0.0007696692896279969,Mor31u
0.0007695585647306844,RDF020m
0.0007690352056385455,GATS8e
0.000758580013761695,phLevel3
0.000755789484579738,RDF095m
0.0007507034750362082,RDF115m
0.0007502698745670475,R7m
0.0007420737551566433,MATS8v
0.0007413232084058593,HATS1s
0.0007392255897827411,Mor18s
0.000738453835021602,JGI4
0.0007364842811918224,TDB08u
0.0007214579314918866,R3e+
0.0007075662136119285,VE3sign_B(m)
0.0006982956359262367,VE3sign_Dz(p)
0.0006964364408796101,VR2_Dz(Z)
0.0006926869257893589,Mor13s
0.000680658046248899,Mor04s
0.0006797964151422628,TDB05e
0.0006745095872830825,X3A
0.000663384585390524,GATS4p
0.0006576252659986524,HATSe
0.0006521315911578676,Mor08m
0.0006481410258718437,RBF
0.0006474927399575801,MATS6e
0.0006441376235030065,RDF035u
0.0006376056052690401,VE3sign_X
0.0006289701568633984,R7v
0.0006246625557437245,GD
0.0006211683528972073,WHALES90_Rem
0.0006180445589695438,CATS2D_03_AL
0.0006177917163559812,SM13_AEA(bo)
0.0006106266586311977,MATS1m
0.0006013435437275622,DISPe
0.0005984575948391928,WHALES00_IR
0.0005908118105696535,C%
0.0005904399937875983,H5s
0.0005885698552742614,CIC1
0.0005864519904417589,minsCH3
0.000585740790567691,TDB09m
0.0005835213192918628,HATS0u
0.0005828761716219815,VE2_D
0.0005827167864191136,B04_O-O_
0.0005815318024084661,H3m
0.0005810786041095667,WHALES50_IR
0.000573119457200401,TDB06s
0.0005706308102150026,Mor03u
0.0005671211738344493,CIC2
0.0005643591524993252,HATS2m
0.0005617097366742695,nHet
0.0005607902638603942,SpMaxA_EA(ed)
0.0005571243544874009,ChiA_B(e)
0.000556519246514878,RDF155u
0.0005557351573528672,P_VSA_charge_7
0.0005527948157093205,RDF080u
0.0005519628730335558,MLOGP
0.0005485759604831732,Mor21m
0.0005459993840997954,Mor24u
0.0005363394847033814,H1u
0.0005330375768056547,EE_G
0.000531936068688369,ChiA_RG
0.0005226795312215826,H4m
0.000521416354534727,J_Dz(e)
0.0005195832062271683,SpPosA_X
0.0005129144107265067,VE1sign_Dz(p)
0.0005119581425253465,RDF055s
0.0005103117227691847,H-047
0.0005069268142093289,GATS3e
0.0005068370194109022,R3m+
0.0004976721179902183,R1s
0.0004957699357607305,Eta_FL
0.0004862683960946484,WHALES80_IR
0.00048371526584501404,HATS0s
0.0004797429674428123,WHALES70_IR
0.00047738455018641544,VE1sign_B(v)
0.00047651650549430713,Chi_G/D
0.00047612478604898087,HATS3u
0.00047394923707720193,QEDu
0.00047341138426009415,SpMAD_AEA(dm)
0.0004723390028903568,nLevel10
0.00047213230439672934,Chi_Dz(v)
0.0004702041248211488,ZM1Mad
0.00046830297562765167,CATS2D_01_NL
0.00046620623796633803,GATS3s
0.0004586588048579977,HATS1m
0.00045386373672620406,SpDiam_AEA(dm)
0.00045159951120331976,VE3sign_Dz(Z)
0.0004513984496855736,GATS5p
0.000450390283184449,HATS1v
0.00043045097034645274,SpMax6_Bh(s)
0.00042948313223253556,VE1sign_X
0.0004280807149962028,Eig12_AEA(bo)
0.00042733806197040595,TDB02p
0.000427057772838951,WHALES90_Isol
0.0004174936937083628,O-057
0.0004168595508956991,Mor06v
0.00041292048465412906,MATS2i
0.00041216125974078387,CATS2D_07_AL
0.0004115232244204249,TDB09s
0.00040278237074374486,MATS8i
0.0004019152890670419,Wap
