Compound_name,y_test,y_pred
sulfamethizole,4.192391304,5.330881133183824
sulfathiazole,2.989130435,5.330881133183824
sulfamerazine,0.985869565,5.330881133183824
sulfacetamide,1.115217391,5.330881133183824
sulfadiazine,1.275,5.330881133183824
sulfaguanidine,0.44673913,5.330881133183824
sulfaquinoxaline,16.79782609,5.330881133183824
sulfamethoxazole,5.819565217,5.330881133183824
testosterone,5.67032967,5.330881133183824
prednisone,1.665934066,5.330881133183824
estrone,13.17692308,5.330881133183824
exemestane,5.857142857,5.330881133183824
17-alpha-hydroxyprogesterone acetate,5.520879121,5.330881133183824
cortisone,1.612222222,5.330881133183824
betamethasone,2.984615385,5.330881133183824
dehydroepiandrosterone,6.230769231,5.330881133183824
corticosterone,2.526373626,5.330881133183824
norethisterone,6.102197802,5.330881133183824
progesterone,12.87802198,5.330881133183824
methyl benzoate,2.993406593,5.330881133183824
nitrocyclohexane,2.189010989,5.330881133183824
anisole,2.620879121,5.330881133183824
phenol,1.547252747,5.330881133183824
benzamide,1.483516484,5.330881133183824
2-4-dichlorophenol,9.203296703,5.330881133183824
nandrolone,4.142857143,5.330881133183824
mesterolone,6.241758242,5.330881133183824
purpurin,0.0,5.330881133183824
ketoprofen,23.86813187,5.330881133183824
naproxen,32.76923077,5.330881133183824
ibuprofen,11.17582418,5.330881133183824
aspirin,9.186813187,5.330881133183824
ethisterone,4.791208791,5.330881133183824
testosterone cypionate,9.582417582,5.330881133183824
testosterone isocaproate,10.7032967,5.330881133183824
testosterone undecanoate,10.61538462,5.330881133183824
Caffeine,0.541666667,5.330881133183824
propylparaben,5.770833333,5.330881133183824
benzene,1.625,5.330881133183824
toluene,2.71875,5.330881133183824
1-cloro-4-nitrobenzene,4.526315789,5.330881133183824
naphthalene,13.21052632,5.330881133183824
2-ethoxybenzoic acid,7.968421053,5.330881133183824
3-(2-furyl)acrylic acid,4.621052632,5.330881133183824
phthalide,2.305263158,5.330881133183824
diphenylmethanol,3.968421053,5.330881133183824
