Importance,Molecular Descriptor
2.796522836680333,NaaaC
2.0337550210365416,CATS2D_06_NL
1.9353753370230016,CATS2D_08_AN
1.6324422921542678,s4_numAroBonds
1.5800062124464294,B10_C-O_
1.5615943934363083,SaaaC
1.5453776341366465,Inflammat-80
1.4776374558354846,B09_O-O_
1.4439582627269445,G3u
1.4383780693218158,Eig03_EA(dm)
1.353394472305466,Infective-50
1.3527440475342614,Inflammat-50
1.3358544002279797,piPC10
1.2468594745718076,Depressant-80
1.130878822049252,Hypnotic-80
1.1283002005714873,C-019
1.0575636008385045,CATS2D_09_NL
1.0543509744325137,B06_C-O_
0.9913584039645367,VE3sign_Dz(Z)
0.9895511732359338,nBnz
0.9783565268733275,Eig12_EA(dm)
0.9708802867124765,CMC-50
0.9686096925382871,VE1sign_RG
0.9625508707981376,nArCOOH
0.9526977093570164,CATS3D_03_AN
0.9467585758463071,Mor30v
0.9347428248137678,B02_N-O_
0.9234867658373153,Eig14_EA(dm)
0.9226038271057966,CATS2D_02_NL
0.915956398207334,P_VSA_charge_7
0.9101862922351462,CATS3D_08_NL
0.8860942602023991,B08_C-C_
0.8642621306914398,B03_N-O_
0.8505128789672248,nLevel8
0.8428454480347635,phLevel3
0.8315340587921553,SM03_EA(dm)
0.8277398932199356,B06_C-C_
0.8081067961023328,CATS3D_06_NL
0.806859706632621,PJI3
0.8045547514326463,C-033
0.769216336467625,CATS2D_01_NL
0.768884243717781,Hypnotic-50
0.7638005900734459,CATS3D_04_DD
0.7569320058022807,E2s
0.7554183922510922,GATS7i
0.7552998842826343,Eig09_EA(dm)
0.7500547973340793,MaxdssC
0.7497941600333465,nRCO
0.7334718933391053,GATS4m
0.7255599060819089,CATS3D_08_AP
0.7255599060819089,nPyrazines
0.7124791758961067,C-029
0.6952302146138531,B03_O-Cl_
0.6950785029368439,VE1sign_A
0.6937354747214025,CATS3D_07_NL
0.6800037658218604,Mor03s
0.6791681528796931,HOMA
0.6757812394450162,SpMax2_Bh(s)
0.6712629843930937,VE3sign_RG
0.6703857729544552,s4_phRelSize
0.6662569160595777,nLevel7
0.6599639567056428,SHED_NL
0.6581029207905635,CATS3D_06_AN
0.6451945477572891,Mor25v
0.6424481641006948,B06_O-Cl_
0.6422530172192328,SpMax_EA(dm)
0.6408487552965091,CATS3D_06_DD
0.6397995723706406,MATS7e
0.627867442589439,B04_Cl-Cl_
0.6258632949960881,Mor25m
0.6186884457612845,nN-N
0.6183410462518504,Mor22s
0.6116936123818459,B09_C-C_
0.6048953903097705,TDB07u
0.6044883253697361,VE1sign_G
0.5852332197734824,nLevel6
0.5823080030179417,VE3sign_Dz(i)
0.5743338175995252,B09_C-Cl_
0.5687695528822567,B01_N-O_
0.5656002055128309,B07_C-C_
0.5651925720018379,B02_N-N_
0.5650407165054208,nLevel5
0.5588310030766884,GATS7p
0.5581935070097823,arLevel1
0.5560414442795991,piPC09
0.5553670975207086,P_VSA_LogP_4
0.5530058471235249,RDF030m
0.5480387912754909,Mor25s
0.5439359621858595,CATS3D_04_NL
0.5358248649547173,piPC07
0.5298869040209954,MATS7m
0.5293348623164772,R6e+
0.5285279840479136,B01_C-O_
0.528010296085245,SpAD_EA(dm)
0.5233029333462336,nRNHO
0.5210851845108189,Eig10_EA(dm)
0.5182919553605487,CATS3D_08_PL
0.5173615522902277,R7s+
0.5138527334459653,WHALES90_IR
0.5122208304423855,R7u+
0.5014690904911171,GATS8e
0.499533262385696,O-057
0.49849669639606553,Mor30m
0.4951942150144656,Mor29m
0.49442453185383983,minsCH3
0.49234521860279656,RDF040m
0.48796977264141783,H-046
0.48464724254906,nCbH
0.4817331096799292,E2m
0.47507832776758324,F03_O-Cl_
0.47383740534790253,nArX
0.46846546864757777,s2_numRotBonds
0.4660488080092821,F06_C-S_
0.46418364040722315,B06_N-Cl_
0.4626147612301555,B06_C-S_
0.449169217583245,Infective-80
0.44915821818941903,HOMT
0.4486943497752523,H8m
