Compound_name,y_test,y_pred
sulfamethizole,4.192391304,5.351504597669117
sulfathiazole,2.989130435,5.351504597669117
sulfamerazine,0.985869565,5.351504597669117
sulfacetamide,1.115217391,5.351504597669117
sulfaguanidine,0.44673913,5.351504597669117
sulfaquinoxaline,16.79782609,5.351504597669117
sulfamethoxazole,5.819565217,5.351504597669117
testosterone,5.67032967,5.351504597669117
prednisone,1.665934066,5.351504597669117
estrone,13.17692308,5.351504597669117
exemestane,5.857142857,5.351504597669117
17-alpha-hydroxyprogesterone acetate,5.520879121,5.351504597669117
cortisone,1.612222222,5.351504597669117
betamethasone,2.984615385,5.351504597669117
dehydroepiandrosterone,6.230769231,5.351504597669117
corticosterone,2.526373626,5.351504597669117
norethisterone,6.102197802,5.351504597669117
progesterone,12.87802198,5.351504597669117
methyl benzoate,2.993406593,5.351504597669117
nitrocyclohexane,2.189010989,5.351504597669117
anisole,2.620879121,5.351504597669117
benzamide,1.483516484,5.351504597669117
cumene,5.808791209,5.351504597669117
2-4-dichlorophenol,9.203296703,5.351504597669117
nandrolone,4.142857143,5.351504597669117
mesterolone,6.241758242,5.351504597669117
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,4.351648352,5.351504597669117
purpurin,0.0,5.351504597669117
ketoprofen,23.86813187,5.351504597669117
naproxen,32.76923077,5.351504597669117
ibuprofen,11.17582418,5.351504597669117
testosterone cypionate,9.582417582,5.351504597669117
testosterone isocaproate,10.7032967,5.351504597669117
testosterone undecanoate,10.61538462,5.351504597669117
Caffeine,0.541666667,5.351504597669117
propylparaben,5.770833333,5.351504597669117
benzene,1.625,5.351504597669117
toluene,2.71875,5.351504597669117
1-cloro-4-nitrobenzene,4.526315789,5.351504597669117
naphthalene,13.21052632,5.351504597669117
3-(2-furyl)acrylic acid,4.621052632,5.351504597669117
phthalide,2.305263158,5.351504597669117
diphenylmethanol,3.968421053,5.351504597669117
m-cresol,2.094736842,5.351504597669117
catechol,1.168421053,5.351504597669117
3-4-dihydroxy benzoic acid,4.168421053,5.351504597669117
4-hydroxy benzoic acid,3.536842105,5.351504597669117
benzyl alcohol,0.642105263,5.351504597669117
3-(5-methylfuran-2-yl)-propionic acid,2.115789474,5.351504597669117
syringic acid,5.315789474,5.351504597669117
alpha-resorcylic acid,7.968421053,5.351504597669117
pyrogallol,1.0,5.351504597669117
acetophenone,1.926315789,5.351504597669117
propiophenone,2.978947368,5.351504597669117
butyrophenone,4.136842105,5.351504597669117
valerophenone,5.968421053,5.351504597669117
hexanophenone,8.989473684,5.351504597669117
4-tert-butylphenol,3.726315789,5.351504597669117
2-7-dihydroxy naphthalene,12.25263158,5.351504597669117
1-2-4-trimethyl benzene,5.663157895,5.351504597669117
gibberellic acid,0.505263158,5.351504597669117
4-Phenyl-1-3-Dioxane,1.431578947,5.351504597669117
vanillic acid,4.084210526,5.351504597669117
benzoin methyl ether,5.084210526,5.351504597669117
diphenyl carbonate,6.073684211,5.351504597669117
trans-2-hexenyl acetate,0.968421053,5.351504597669117
bisphenol A,14.26315789,5.351504597669117
BHA (3-tert-Butyl-4-hydroxyanisole),5.368421053,5.351504597669117
butyl phenyl ether,6.094736842,5.351504597669117
toluic acid,6.357894737,5.351504597669117
equiline,14.51578947,5.351504597669117
Sebuthylazine,3.813186813,5.351504597669117
aldicarb,1.282608696,5.351504597669117
MCPB,15.27173913,5.351504597669117
indole-3-butyric acid,10.27173913,5.351504597669117
cyanazin,3.282608696,5.351504597669117
ISOPROTURON,5.391304348,5.351504597669117
metamitron,1.130434783,5.351504597669117
terbutylazine,5.510869565,5.351504597669117
linuron,10.25,5.351504597669117
alachlor,3.252747253,5.351504597669117
1-3-butanediol diacrylate,1.010989011,5.351504597669117
nortriptyline,-0.131868132,5.351504597669117
3-4-dichloro aniline,0.958762887,5.351504597669117
5-7-dimethoxycoumarin,5.758241758,5.351504597669117
trans-ferulic acid,1.865979381,5.351504597669117
formononetin,2.369565217,5.351504597669117
Rutin Hydrate,9.020833333,5.351504597669117
(+)-catechin hydrate,4.301075269,5.351504597669117
pentoxifylline,2.731182796,5.351504597669117
(-)-epicatechin,9.752688172,5.351504597669117
(+)-catechin,9.391304348,5.351504597669117
tert-butylhydroquinone,4.333333333,5.351504597669117
