Compound_name,y_test,y_pred
sulfamethizole,4.192391304,5.259538330338236
sulfathiazole,2.989130435,5.259538330338236
sulfamerazine,0.985869565,5.259538330338236
sulfacetamide,1.115217391,5.259538330338236
sulfadiazine,1.275,5.259538330338236
sulfaguanidine,0.44673913,5.259538330338236
sulfaquinoxaline,16.79782609,5.259538330338236
sulfamethoxazole,5.819565217,5.259538330338236
testosterone,5.67032967,5.259538330338236
prednisone,1.665934066,5.259538330338236
estrone,13.17692308,5.259538330338236
exemestane,5.857142857,5.259538330338236
17-alpha-hydroxyprogesterone acetate,5.520879121,5.259538330338236
cortisone,1.612222222,5.259538330338236
betamethasone,2.984615385,5.259538330338236
dehydroepiandrosterone,6.230769231,5.259538330338236
corticosterone,2.526373626,5.259538330338236
norethisterone,6.102197802,5.259538330338236
pyridine,0.0,5.259538330338236
nitrocyclohexane,2.189010989,5.259538330338236
anisole,2.620879121,5.259538330338236
phenol,1.547252747,5.259538330338236
benzamide,1.483516484,5.259538330338236
cumene,5.808791209,5.259538330338236
2-4-dichlorophenol,9.203296703,5.259538330338236
nandrolone,4.142857143,5.259538330338236
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,4.351648352,5.259538330338236
purpurin,0.0,5.259538330338236
ketoprofen,23.86813187,5.259538330338236
naproxen,32.76923077,5.259538330338236
ibuprofen,11.17582418,5.259538330338236
aspirin,9.186813187,5.259538330338236
ethisterone,4.791208791,5.259538330338236
testosterone cypionate,9.582417582,5.259538330338236
testosterone isocaproate,10.7032967,5.259538330338236
testosterone undecanoate,10.61538462,5.259538330338236
Caffeine,0.541666667,5.259538330338236
propylparaben,5.770833333,5.259538330338236
benzene,1.625,5.259538330338236
toluene,2.71875,5.259538330338236
1-cloro-4-nitrobenzene,4.526315789,5.259538330338236
naphthalene,13.21052632,5.259538330338236
2-ethoxybenzoic acid,7.968421053,5.259538330338236
3-(2-furyl)acrylic acid,4.621052632,5.259538330338236
phthalide,2.305263158,5.259538330338236
diphenylmethanol,3.968421053,5.259538330338236
p-benzoquinone,1.084210526,5.259538330338236
catechol,1.168421053,5.259538330338236
3-4-dihydroxy benzoic acid,4.168421053,5.259538330338236
4-hydroxy benzoic acid,3.536842105,5.259538330338236
3-(5-methylfuran-2-yl)-propionic acid,2.115789474,5.259538330338236
alpha-resorcylic acid,7.968421053,5.259538330338236
pyrogallol,1.0,5.259538330338236
acetophenone,1.926315789,5.259538330338236
