Compound_name;y_test;y_pred
sulfamethizole;4.192391304;4.192391304
sulfathiazole;2.989130435;2.989130435
sulfamerazine;0.985869565;0.985869565
sulfacetamide;1.115217391;1.115217391
sulfadiazine;1.275;1.275
sulfaguanidine;0.44673913;0.44673913
sulfaquinoxaline;16.79782609;16.79782609
sulfamethoxazole;5.819565217;5.819565217
prednisone;1.665934066;1.665934066
estrone;13.17692308;13.17692308
exemestane;5.857142857;5.857142857
17-alpha-hydroxyprogesterone acetate;5.520879121;5.520879121
cortisone;1.612222222;1.612222222
betamethasone;2.984615385;2.984615385
dehydroepiandrosterone;6.230769231;6.230769231
corticosterone;2.526373626;2.526373626
progesterone;12.87802198;12.87802198
pyridine;0;9.57E-12
methyl benzoate;2.993406593;2.993406593
nitrocyclohexane;2.189010989;2.189010989
phenol;1.547252747;1.547252747
cumene;5.808791209;5.808791209
2-4-dichlorophenol;9.203296703;9.203296703
mesterolone;6.241758242;6.241758242
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-;4.351648352;4.351648352
purpurin;0;2.10E-12
ketoprofen;23.86813187;23.86813187
naproxen;32.76923077;32.76923077
ibuprofen;11.17582418;11.17582418
aspirin;9.186813187;9.186813187
ethisterone;4.791208791;4.791208791
testosterone cypionate;9.582417582;9.582417582
testosterone isocaproate;10.7032967;10.7032967
testosterone undecanoate;10.61538462;10.61538462
Caffeine;0.541666667;0.541666667
propylparaben;5.770833333;5.770833333
toluene;2.71875;2.71875
1-cloro-4-nitrobenzene;4.526315789;4.526315789
naphthalene;13.21052632;13.21052632
2-ethoxybenzoic acid;7.968421053;7.968421053
3-(2-furyl)acrylic acid;4.621052632;4.621052632
phthalide;2.305263158;2.305263158
diphenylmethanol;3.968421053;3.968421053
m-cresol;2.094736842;2.094736842
p-benzoquinone;1.084210526;1.084210526
3-4-dihydroxy benzoic acid;4.168421053;4.168421053
4-hydroxy benzoic acid;3.536842105;3.536842105
benzyl alcohol;0.642105263;0.642105263
3-(5-methylfuran-2-yl)-propionic acid;2.115789474;2.115789474
syringic acid;5.315789474;5.315789474
alpha-resorcylic acid;7.968421053;7.968421053
acetophenone;1.926315789;1.926315789
propiophenone;2.978947368;2.978947368
butyrophenone;4.136842105;4.136842105
valerophenone;5.968421053;5.968421053
hexanophenone;8.989473684;8.989473684
4-tert-butylphenol;3.726315789;3.726315789
2-7-dihydroxy naphthalene;12.25263158;12.25263158
1-2-4-trimethyl benzene;5.663157895;5.663157895
gibberellic acid;0.505263158;0.505263158
vanillic acid;4.084210526;4.084210526
benzoin methyl ether;5.084210526;5.084210526
diphenyl carbonate;6.073684211;6.073684211
trans-2-hexenyl acetate;0.968421053;0.968421053
4-tert-butylbenzoic acid;17.53052632;17.53052632
bisphenol A;14.26315789;14.26315789
BHA (3-tert-Butyl-4-hydroxyanisole);5.368421053;5.368421053
butyl phenyl ether;6.094736842;6.094736842
equiline;14.51578947;14.51578947
Sebuthylazine;3.813186813;3.813186813
aldicarb;1.282608696;1.282608696
MCPB;15.27173913;15.27173913
ATRAZIN-DESETHYL-2-HYDROXY;1.402173913;1.402173913
mecoprop-P;0;2.97E-12
cyanazin;3.282608696;3.282608696
ISOPROTURON;5.391304348;5.391304348
metamitron;1.130434783;1.130434783
terbutylazine;5.510869565;5.510869565
linuron;10.25;10.25
alachlor;3.252747253;3.252747253
