Compound_name,y_test,y_pred
sulfathiazole,2.989130435,5.214057009345588
sulfacetamide,1.115217391,5.214057009345588
sulfadiazine,1.275,5.214057009345588
sulfaguanidine,0.44673913,5.214057009345588
sulfaquinoxaline,16.79782609,5.214057009345588
sulfamethoxazole,5.819565217,5.214057009345588
testosterone,5.67032967,5.214057009345588
prednisone,1.665934066,5.214057009345588
estrone,13.17692308,5.214057009345588
exemestane,5.857142857,5.214057009345588
17-alpha-hydroxyprogesterone acetate,5.520879121,5.214057009345588
cortisone,1.612222222,5.214057009345588
betamethasone,2.984615385,5.214057009345588
dehydroepiandrosterone,6.230769231,5.214057009345588
corticosterone,2.526373626,5.214057009345588
norethisterone,6.102197802,5.214057009345588
progesterone,12.87802198,5.214057009345588
pyridine,0.0,5.214057009345588
methyl benzoate,2.993406593,5.214057009345588
anisole,2.620879121,5.214057009345588
phenol,1.547252747,5.214057009345588
benzamide,1.483516484,5.214057009345588
cumene,5.808791209,5.214057009345588
nandrolone,4.142857143,5.214057009345588
mesterolone,6.241758242,5.214057009345588
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,4.351648352,5.214057009345588
purpurin,0.0,5.214057009345588
ketoprofen,23.86813187,5.214057009345588
naproxen,32.76923077,5.214057009345588
ibuprofen,11.17582418,5.214057009345588
aspirin,9.186813187,5.214057009345588
ethisterone,4.791208791,5.214057009345588
testosterone cypionate,9.582417582,5.214057009345588
testosterone isocaproate,10.7032967,5.214057009345588
testosterone undecanoate,10.61538462,5.214057009345588
Caffeine,0.541666667,5.214057009345588
propylparaben,5.770833333,5.214057009345588
benzene,1.625,5.214057009345588
toluene,2.71875,5.214057009345588
1-cloro-4-nitrobenzene,4.526315789,5.214057009345588
naphthalene,13.21052632,5.214057009345588
2-ethoxybenzoic acid,7.968421053,5.214057009345588
3-(2-furyl)acrylic acid,4.621052632,5.214057009345588
phthalide,2.305263158,5.214057009345588
diphenylmethanol,3.968421053,5.214057009345588
m-cresol,2.094736842,5.214057009345588
p-benzoquinone,1.084210526,5.214057009345588
catechol,1.168421053,5.214057009345588
3-4-dihydroxy benzoic acid,4.168421053,5.214057009345588
4-hydroxy benzoic acid,3.536842105,5.214057009345588
benzyl alcohol,0.642105263,5.214057009345588
3-(5-methylfuran-2-yl)-propionic acid,2.115789474,5.214057009345588
syringic acid,5.315789474,5.214057009345588
alpha-resorcylic acid,7.968421053,5.214057009345588
pyrogallol,1.0,5.214057009345588
acetophenone,1.926315789,5.214057009345588
butyrophenone,4.136842105,5.214057009345588
valerophenone,5.968421053,5.214057009345588
hexanophenone,8.989473684,5.214057009345588
4-tert-butylphenol,3.726315789,5.214057009345588
2-7-dihydroxy naphthalene,12.25263158,5.214057009345588
gibberellic acid,0.505263158,5.214057009345588
4-Phenyl-1-3-Dioxane,1.431578947,5.214057009345588
vanillic acid,4.084210526,5.214057009345588
benzoin methyl ether,5.084210526,5.214057009345588
diphenyl carbonate,6.073684211,5.214057009345588
trans-2-hexenyl acetate,0.968421053,5.214057009345588
4-tert-butylbenzoic acid,17.53052632,5.214057009345588
bisphenol A,14.26315789,5.214057009345588
BHA (3-tert-Butyl-4-hydroxyanisole),5.368421053,5.214057009345588
butyl phenyl ether,6.094736842,5.214057009345588
toluic acid,6.357894737,5.214057009345588
equiline,14.51578947,5.214057009345588
Sebuthylazine,3.813186813,5.214057009345588
aldicarb,1.282608696,5.214057009345588
indole-3-butyric acid,10.27173913,5.214057009345588
ATRAZIN-DESETHYL-2-HYDROXY,1.402173913,5.214057009345588
mecoprop-P,0.0,5.214057009345588
cyanazin,3.282608696,5.214057009345588
ISOPROTURON,5.391304348,5.214057009345588
metamitron,1.130434783,5.214057009345588
terbutylazine,5.510869565,5.214057009345588
linuron,10.25,5.214057009345588
alachlor,3.252747253,5.214057009345588
1-3-butanediol diacrylate,1.010989011,5.214057009345588
nortriptyline,-0.131868132,5.214057009345588
5-7-dimethoxycoumarin,5.758241758,5.214057009345588
trans-ferulic acid,1.865979381,5.214057009345588
quercetin,7.8125,5.214057009345588
formononetin,2.369565217,5.214057009345588
Rutin Hydrate,9.020833333,5.214057009345588
(+)-catechin hydrate,4.301075269,5.214057009345588
pentoxifylline,2.731182796,5.214057009345588
naringin,8.554347826,5.214057009345588
(-)-epicatechin,9.752688172,5.214057009345588
(+)-catechin,9.391304348,5.214057009345588
tert-butylhydroquinone,4.333333333,5.214057009345588
propyl gallate,7.691489362,5.214057009345588
L-(+)-ascorbic acid,0.290322581,5.214057009345588
hydrochloridethiazide,4.924731183,5.214057009345588
5-5-diphenylhydantoin,8.688172043,5.214057009345588
antipyrine,6.298969072,5.214057009345588
acetaminophen,1.075268817,5.214057009345588
isoeugenol,5.59375,5.214057009345588
eugenol,3.861702128,5.214057009345588
L-(-)-carvone,3.692307692,5.214057009345588
vanillin,2.258064516,5.214057009345588
(+)-carvone,3.946236559,5.214057009345588
geraniol,2.32967033,5.214057009345588
o-methylanisole,3.276595745,5.214057009345588
cinnamaldehyde,4.634408602,5.214057009345588
cinnamyl alcohol,2.451612903,5.214057009345588
dimethyl phthalate,2.150537634,5.214057009345588
diethyl phthalate,3.602150538,5.214057009345588
isopropyl isocyanate,0.0,5.214057009345588
methylparaben,2.559139785,5.214057009345588
ethylparaben,3.731182796,5.214057009345588
butylparaben,8.150537634,5.214057009345588
myclobutanil,6.580645161,5.214057009345588
(+)-griseofulvin,9.957446809,5.214057009345588
hippuric acid,8.840425532,5.214057009345588
3-nitrophenol,2.329787234,5.214057009345588
thymine,0.234042553,5.214057009345588
carbamazepine,8.436170213,5.214057009345588
dansyl chloride,7.723404255,5.214057009345588
estriol,5.095744681,5.214057009345588
chlorambucil,7.446808511,5.214057009345588
2-hydroxypyridine,0.819148936,5.214057009345588
methyl-p-toluene sulfonate,4.106382979,5.214057009345588
tropolone,2.670212766,5.214057009345588
tropic acid,2.115789474,5.214057009345588
PyBOP,4.357894737,5.214057009345588
p-toluenesulfonyl isocyanate,2.168421053,5.214057009345588
rifampicin,6.452631579,5.214057009345588
thiamethoxam,2.255319149,5.214057009345588
4-(dimethylamino)benzoic acid,3.776595745,5.214057009345588
