Compound_name,y_test,y_pred
sulfamethizole,4.192391304,4.192329406738281
sulfathiazole,2.989130435,2.9890670776367188
sulfamerazine,0.985869565,0.9858474731445312
sulfacetamide,1.115217391,1.11517333984375
sulfadiazine,1.275,1.2749252319335938
sulfaquinoxaline,16.79782609,16.797698974609375
sulfamethoxazole,5.819565217,5.819427490234375
testosterone,5.67032967,5.670249938964844
prednisone,1.665934066,1.66583251953125
estrone,13.17692308,13.176895141601562
exemestane,5.857142857,5.8570404052734375
17-alpha-hydroxyprogesterone acetate,5.520879121,5.5208282470703125
cortisone,1.612222222,1.6121826171875
dehydroepiandrosterone,6.230769231,6.2306976318359375
corticosterone,2.526373626,2.526275634765625
norethisterone,6.102197802,6.1020660400390625
progesterone,12.87802198,12.87799072265625
pyridine,0.0,-4.57763671875e-05
methyl benzoate,2.993406593,2.9933013916015625
nitrocyclohexane,2.189010989,2.1888885498046875
anisole,2.620879121,2.6207351684570312
phenol,1.547252747,1.547149658203125
benzamide,1.483516484,1.4834442138671875
cumene,5.808791209,5.808738708496094
2-4-dichlorophenol,9.203296703,9.203208923339844
nandrolone,4.142857143,4.142768859863281
mesterolone,6.241758242,6.24169921875
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,4.351648352,4.351554870605469
purpurin,0.0,-0.0001068115234375
ketoprofen,23.86813187,23.868118286132812
naproxen,32.76923077,32.76914978027344
ibuprofen,11.17582418,11.17584228515625
aspirin,9.186813187,9.186790466308594
ethisterone,4.791208791,4.791038513183594
testosterone cypionate,9.582417582,9.582374572753906
testosterone isocaproate,10.7032967,10.703262329101562
testosterone undecanoate,10.61538462,10.615386962890625
Caffeine,0.541666667,0.541595458984375
propylparaben,5.770833333,5.770820617675781
benzene,1.625,1.6249237060546875
1-cloro-4-nitrobenzene,4.526315789,4.526252746582031
naphthalene,13.21052632,13.21044921875
2-ethoxybenzoic acid,7.968421053,7.968391418457031
3-(2-furyl)acrylic acid,4.621052632,4.62103271484375
phthalide,2.305263158,2.3052825927734375
diphenylmethanol,3.968421053,3.9683456420898438
m-cresol,2.094736842,2.0946884155273438
p-benzoquinone,1.084210526,1.0842361450195312
catechol,1.168421053,1.168365478515625
3-4-dihydroxy benzoic acid,4.168421053,4.168342590332031
4-hydroxy benzoic acid,3.536842105,3.5368576049804688
benzyl alcohol,0.642105263,0.64208984375
3-(5-methylfuran-2-yl)-propionic acid,2.115789474,2.1157302856445312
syringic acid,5.315789474,5.315711975097656
pyrogallol,1.0,0.9998931884765625
acetophenone,1.926315789,1.9263229370117188
propiophenone,2.978947368,2.9788818359375
butyrophenone,4.136842105,4.136756896972656
valerophenone,5.968421053,5.968353271484375
hexanophenone,8.989473684,8.989418029785156
4-tert-butylphenol,3.726315789,3.7262725830078125
2-7-dihydroxy naphthalene,12.25263158,12.252525329589844
1-2-4-trimethyl benzene,5.663157895,5.663078308105469
4-Phenyl-1-3-Dioxane,1.431578947,1.4315719604492188
vanillic acid,4.084210526,4.084159851074219
benzoin methyl ether,5.084210526,5.0841217041015625
diphenyl carbonate,6.073684211,6.0736083984375
