Importance,Molecular Descriptor
0.011123285972118363,s4_numAroBonds
0.00895653999857535,TDB09v
0.007852127766044558,piPC09
0.0077030533682441735,Mor32s
0.007184993951056667,ALOGP2
0.007179852312901951,TDB10v
0.007006283743688891,Mor26p
0.006561579702921154,F10_C-O_
0.006483403744464464,SHED_NL
0.006479604775902696,Mor23s
0.006469706827431865,ESOL
0.006424576707949353,nCsp2
0.006155480040952843,Uc
0.005879250229667938,piPC07
0.005737131293061224,SHED_DL
0.005733141348153562,Mor02s
0.005537802659637953,J_D/Dt
0.005359562029094571,MDEC-23
0.005178731265116533,Mor22u
0.004902092183772717,NaaaC
0.004833017006457979,HyWi_G
0.0047545368293590105,SpMax_B(s)
0.004722356060902545,QED
0.004717048903982868,HOMA
0.004714020635975805,VR2_A
0.004697810224651258,CATS2D_07_AL
0.004685571053451511,Yindex
0.004668504758798997,R1s
0.004657400101547272,RDF080m
0.004498937675828905,Mor05s
0.004490626262015834,P_VSA_ppp_L
0.004483795131540345,CATS3D_06_NL
0.00429520975658535,R6v
0.004146474201992583,s34_phRelSize
0.004128287854668302,Chi_Coulomb
0.004051624813391719,TDB10m
0.004051213898222857,RDF080u
0.004002176822986767,nRCOOH
0.003993451625663513,Mor23p
0.0039649222718693014,Mor10m
0.003876582294422683,RDF100m
0.003735952196749799,Mor13p
0.0036961784951251497,arLevel1
0.003545551400266818,D/Dtr06
0.0035441744496051654,MATS2e
0.003527068891410899,Mor25u
0.0035190494490098395,CIC3
0.0035006653598124056,R2s
0.00346550717551552,Mor24u
0.0033998160852813115,SpMin1_Bh(m)
0.003396523505318615,SaaaC
0.003388348504047836,R8v
0.0033622423487353033,Mor05m
0.0033395698808958655,LOGP99
0.003303871839731713,VE3sign_Dz(p)
0.0032721036087007137,IC2
0.0032537288906753104,MLOGP2
0.0032204429871381893,VE3_RG
0.0031976830132653795,L1u
0.003171417027744478,R4e+
0.0031313736414595454,Wap
0.003129612017475134,G1m
0.003127143892195382,SPP
0.0030868779300136946,piPC10
0.003071189017858151,RDF060u
0.0030512443912941267,piPC08
0.003023312089857243,RDF035u
0.0029884016309670853,CATS2D_08_NL
0.0029847390997515167,SpMAD_B(s)
0.0029611928044550183,VE1_D/Dt
0.0029007887770818998,R1p+
0.0028615274025454696,GATS8m
0.002853610675550667,MATS6e
0.0028463041935051984,R3e+
0.002833954325966406,TDB07m
0.0028207067637220596,TDB06v
0.0028149997457517883,TDB09s
0.00280454281535132,CATS2D_00_LL
0.0027916160110951983,P_VSA_charge_7
0.0027696434264427934,Mor25v
0.002753562220824895,RDF085m
0.0027424541368726717,TDB07v
0.0027418472665687705,SpMax_B(v)
0.002740243959869677,Mor21m
0.0027339766185100235,RGyr
0.002724298161138948,Mor18v
0.0027167667601231786,IDDE
0.0027140035526244844,s3_phRelSize
0.0026609686604139923,R8s
0.0026607435863825334,Mor23u
0.0026239790816102258,MAXDP
0.0026137805920370934,Mor14s
0.0026130174096511295,SM10_AEA(bo)
0.00260830319924685,QEDu
0.002602350948387882,GATS2s
0.002581013603273647,RDF110s
0.002562525291087267,VE2_RG
0.0025571404210671302,Mor32m
0.0025453875184002633,Mor30m
0.0025188810751299484,R8u
0.0025161041649045795,PDI
0.0024848677844723265,CATS2D_01_NL
0.0024712142937742226,SpMax_B(p)
0.0024333227514545166,R7u
0.0024249365866145555,Mor29m
0.0024059733556634284,VE1sign_Dz(p)
0.0023888312030822976,VE1sign_G
0.002359220917166355,R2u
0.00235005286133781,Mor02u
0.002330063814794591,NaasC
0.00232966647645831,Mor23v
0.0023274354460677046,SpMin1_Bh(s)
0.0023234211687072053,Mor23m
0.0023187944845348926,Mor13s
0.0022948737813015823,nBM
0.0022940209649225446,Mor26v
0.0022938257364268338,P_VSA_MR_6
0.0022829124241278372,H1v
0.002281519198039145,CMBL
0.0022729583064853526,GATS2m
0.0022660009119696385,C-025
0.0022594125936195256,TDB02v
0.002249142092620419,RBF
0.002234381639754675,DISPs
0.002230224298731893,Mor25m
0.0022279791893289997,F06_C-O_
0.002203323666914849,AVS_RG
0.0021990353287796725,H%
0.002189707271621713,CATS2D_02_DA
0.002183434142199595,MATS3m
0.002179350384809439,GATS5i
0.0021668668321626226,WHALES20_Rem
0.0021489445978744486,H2u
0.0021369345217420355,SpMin1_Bh(v)
0.00213055238876079,Eta_beta
0.00211593641153251,ChiA_RG
0.002084442316969972,CIC0
0.002077064106675008,nLevel7
0.0020759736251525778,SpMaxA_EA(ed)
0.002071699742932531,Mor26m
0.0020656130689284246,MATS7e
0.002062970283118598,RDF105u
0.002044907387986348,RDF105s
0.002042917385199977,Mor14u
0.0020397003277353534,RDF145v
0.002032225051151486,RDF090m
0.0020234248087811326,VE3sign_Dt
0.00201921372750193,SIC3
0.002010005088246427,Mor20m
0.002004095880766196,qnmax
0.001995504258589531,P_VSA_i_3
0.0019909179847519623,B09_N-N_
0.001961513055144741,CATS2D_08_AL
0.001960734053215841,CATS3D_05_LL
0.001949690902352649,P_VSA_ppp_N
0.001942323019908766,CATS2D_04_AL
0.0019250628893746128,arLevel2
0.001905397749215203,SpMin4_Bh(s)
0.0019032102340166474,VE3sign_G
0.0018952690083674424,VE1sign_Dz(v)
0.001894111114927003,HATS2p
0.00189206818604224,H8s
0.001887761685985319,MDEC-22
0.0018859641466592622,CATS3D_07_AL
0.0018836819117955255,Mor16s
0.0018790781097546602,Mor21u
0.0018763210228661053,GATS4s
0.0018716576145608446,SM12_AEA(ri)
0.0018624723321028027,nBnz
0.0018523285444460042,TDB08v
0.0018444669491786288,HATS5u
0.0018402538499402233,AVS_B(m)
0.0018399345929246023,WHALES10_IR
0.001839479286130529,RDF090u
0.001836140700902272,Eta_psi1
0.0018195583258988086,RDF075u
0.001817726231904555,Mor11m
0.0017890252924290988,Chi_Dz(v)
0.001784252296353902,MATS8v
0.0017667716797470307,s4_numRotBonds
0.0017591083775277605,CIC2
0.0017471209970902513,Mor07v
0.001746297157624471,HNar
0.0017453604878021026,H1s
0.0017376472826092881,SpMin2_Bh(m)
0.0017328924198268716,SpMAD_B(m)
0.0017088139326296512,Au
0.0017063684447174918,MATS7m
0.0016773622797904761,CIC5
0.0016719911338274952,J_Dz(e)
0.0016663000589409562,P_VSA_v_3
0.0016510017750257667,E2m
0.0016503683151948706,R4u+
0.0016479483605204637,E1u
0.0016444441311446087,HATS3v
0.0016443268641074382,SIC4
0.0016438084565368577,R4v
0.0016386135598115065,P_VSA_LogP_4
0.0016371087014242808,HATS2m
0.0016295498328275102,SHED_DN
0.0016291829888371323,VE3sign_A
0.0016291326942311321,CATS2D_04_DA
0.001626676816149658,RDF130m
0.001624044182015193,SpMax5_Bh(s)
0.001612808915435896,ICR
0.001609995322932365,J_G/D
0.0016068088395188975,Eig06_EA(dm)
0.001606513543607903,Mor16m
0.001605975783598889,R2p
0.0016058810069240052,Eig05_AEA(dm)
0.0015978819979848543,VE1_RG
0.0015973008639686476,TDB06e
0.0015902510823901362,R7m
0.0015898346058786088,SHED_LL
0.0015863047855273708,HATS8v
0.0015637792268438596,GATS6p
0.001563284823132925,RDF055s
0.001535452421159709,Mor09u
0.001520230225804898,SM03_EA(dm)
0.0015197564788863326,JGI2
0.0015093049326459337,HyWi_Coulomb
0.0014821671763034904,F02_C-O_
0.0014631091122617814,MDEC-33
0.0014614687942559954,HOMT
0.0014569582743729382,CIC4
0.0014551882540553918,TDB04s
0.0014525386029995624,s2_relSize
0.001450439233140774,Eig12_AEA(bo)
0.0014469979802836674,SpMax_EA(dm)
0.0014452025850127464,GATS4e
0.0014405821721128179,WiA_Coulomb
0.0014350177457521827,SpMAD_EA(bo)
0.0014296685728290561,Infective-50
0.0014185619763082092,VE1sign_A
0.0014082553112015957,GATS6m
0.0014076128318422662,WHALES70_IR
0.0014059088386765056,SpPosA_B(i)
0.0013969933154429966,R5u+
0.001396788553540272,Mor20u
0.0013913324087810753,G1
0.0013847598679864882,R4m
0.0013825489281017555,R7s
0.0013819067263599635,meanDistFromCC
0.0013780937998555847,HATS0u
0.0013746030049103836,RDF035s
0.0013702699897039697,R3m+
0.0013697141390080633,RDF020s
0.0013604652010024874,RDF035m
0.0013494058025909838,ATSC1s
0.0013435730248794503,SHED_AN
0.0013385888174598693,CATS3D_10_DA
0.0013242272919887547,P_VSA_charge_10
0.0013223670909790716,R2e+
0.001317799961374912,ALOGP
0.0013173697549630236,AVS_B(e)
0.001313993952808268,Mor08u
0.0013139078567065085,GATS4i
0.001308581612276735,WHALES50_Rem
0.0013048754537835386,ChiA_B(s)
0.0013021016829248614,J_Dz(v)
0.0013008006093986118,Mor09m
0.0012970958327311246,GATS7p
0.0012964130680160784,GATS8i
0.0012949846375438726,MATS6m
0.001285619615480565,Mor18s
0.0012751299695813766,RDF145s
0.0012739576770346005,HATS1p
0.001271983399348693,MATS3v
0.0012697732328698869,RDF030s
0.0012630325562781428,SpDiam_AEA(dm)
0.0012505278789753035,minssssC
0.0012469763769001616,R6e+
0.0012457763072852481,RDF045s
0.0012429780895829611,nCb-
0.0012425441666490081,CATS2D_04_DL
0.0012295476296655,NsssCH
0.001227304523569846,CATS3D_08_DL
0.0012235210566005309,SpMin2_Bh(s)
0.00121943314166627,SsssCH
0.0012125298764019171,Eta_D_epsiB
0.001207819182043249,TDB10s
0.0012072693507894025,CATS3D_04_NL
0.0012057119833478618,HATS0s
0.0012020239857532284,E1e
0.0011981907431200015,Mor15m
0.0011978886234880197,SpMax3_Bh(v)
0.0011973998194988755,H0s
0.001193226119213422,R5v
0.001192040209161762,SpDiam_EA(bo)
0.0011915545337161993,RDF045v
0.0011872423781480721,VE3sign_D/Dt
0.0011843106857741712,TDB05v
0.0011795568460962616,nCIR
0.00117098894733778,J_RG
0.0011673707237314936,DISPi
0.0011630886180436792,EE_Coulomb
0.0011609577416287404,GATS1e
0.001156989125597948,PW4
0.0011530594711366285,WiA_G/D
0.0011492479588913443,MATS6p
0.001141856271429795,R3v
0.00114097751957592,Mor24m
0.001131710790932551,R6m
0.0011248924151258048,H7s
0.0011176654497724486,E2e
0.0011173716897902588,R2v
0.0011100081783451748,VE3sign_B(v)
0.0011046279009444633,ATSC3e
0.0011008322239217108,RDF050m
0.0011006589095762997,VE1_X
0.0010983992845110602,GATS7i
0.0010955896441432885,RDF030v
0.0010892346817096062,TDB01v
0.0010844114579334917,ASP
0.00108294880692371,EE_B(m)
0.001077250055687179,ATSC5e
0.001074390553386238,SPAM
0.00107046250935534,X0Av
0.0010589818659021049,R4s+
0.0010549257647620059,ISH
0.0010396658551988973,R5s
0.0010393596259321775,HATS2s
0.0010367451814533744,GATS6e
0.0010264409374916004,SpPosA_X
0.0010187386185378504,Mv
0.0010144196820476292,ATSC4e
0.0010121977324394026,J_Dt
0.0010051841629598497,MATS2v
0.0010051319251677794,ATS7m
0.0010016894167041422,R3v+
0.0009968712898795148,Mor17v
0.000996122606670885,Mor17u
0.000981351173646416,RNCG
0.000979414422501567,TDB02p
0.000977365436081384,B03_N-N_
0.0009760167323575006,HATS7v
0.0009703347167864233,CATS3D_02_AL
0.0009639345554121236,nCbH
0.0009599271081353485,VE2sign_Dz(p)
0.0009570322106428919,TDB08s
0.0009564259577381025,R7v
0.0009527955607873534,Chi0_EA(dm)
0.0009495189023676701,CATS3D_05_DL
0.0009433036977394504,EE_B(s)
0.0009365531910957041,WHALES90_Isol
0.000936503636313129,Du
0.0009341428422775516,Mor12m
0.0009321402495137287,X2A
0.000931650467453132,SpMax2_Bh(m)
0.0009301617023697262,HyWi_B(s)
0.0009282615333352369,GATS3v
0.0009273295236378895,GATS1i
0.0009268635893175001,RDF155u
0.0009261523160121471,Mor11u
0.0009215902351897926,WHALES80_Isol
0.0009037195202395411,E3s
0.0009027627036702285,H3s
0.0009025917067074656,Mor32u
0.0008806620929012277,JGT
0.0008782588508840666,NRS
0.0008742327728293997,Mor22v
0.000866256586962488,WHALES80_Rem
0.0008649404845150214,TDB06m
0.0008636156544165038,Mor29v
0.0008631211509212166,SpMax_B(m)
0.0008625800838766208,SM06_AEA(dm)
0.0008617650895073778,X3A
0.0008596874492712941,VE1sign_B(v)
0.0008580430825974188,SM02_AEA(dm)
0.0008555579514975045,VE3sign_Dz(v)
0.0008496024167847267,MATS4e
0.000844246713695303,H0m
0.0008385260747258773,WHALES90_IR
0.0008384286766174179,S3K
0.0008366227574045925,RDF055m
0.0008315188659815186,TDB01s
0.0008269836025069746,CATS3D_06_LL
0.0008263944548192576,s3_numSharedNeighbors
0.000819964591702999,R7m+
0.0008190202123848956,TDB06s
0.0008189344306839798,HATS7s
0.0008090256131597328,Xt
0.0008043232259630234,VE3sign_B(p)
0.0007965309844003912,P2m
0.000786686714209654,RDF155m
0.0007826910833023082,GATS7e
0.0007812842573706824,s2_phRelSize
0.0007765783414282308,JGI3
0.0007762170313125684,SpPosA_RG
0.000775468126974409,SHP2
0.0007752354423100023,Mor15u
0.0007748727268640188,PJI3
0.0007734035139777332,CATS2D_02_DL
0.0007724885813036045,MATS3s
0.0007722602118902233,RDF095m
0.0007649045705411157,RDF105m
0.0007636349603943969,SpPosA_B(v)
0.0007516391163874852,GATS3p
0.0007501407539521943,TDB09m
0.000748768945928487,GATS3s
0.0007479421013005948,Mor14v
0.0007413786597765122,GATS6v
0.0007389538089419181,Mp
0.0007359807608414653,SM1_Dz(v)
0.000734200375551768,Mor14m
0.0007292229875062526,P_VSA_e_3
0.0007279349689034833,VE3sign_D
0.0007268575498959661,Mor19s
0.0007237659141302048,WHALES30_Rem
0.0007187309437207166,JGI6
0.0007151981117176573,SpPosA_B(p)
0.0007061451682316591,PW3
0.0007053848481836149,ChiA_D/Dt
0.0007031410386461914,VE1_B(m)
0.0006993520370129261,B08_C-O_
0.0006987958707441884,WHALES10_Isol
0.000697381054614596,ATSC5s
0.0006891003630406421,WHALES60_Rem
0.0006850240201785547,RDF095u
0.0006797011299217359,Hypnotic-80
0.0006796575259092713,H1u
0.0006786631948810408,R6s+
0.0006696561103274216,TDB03m
0.0006695848186919835,RDF055v
0.0006674561625893699,Mor11p
0.0006663826823913757,PCR
0.0006653012114459797,GD
0.0006644694449890385,HATS8s
0.0006615515428777162,GATS3m
0.0006613635648061704,qpmax
0.0006611332124301225,HATS6m
0.0006596512325762967,HATS0m
0.0006586137774701559,HATS2u
0.0006567141437436419,GATS1m
0.0006518463540392309,R1u
0.0006492904766888989,RDF060v
