Compound_name;y_test;y_pred
sulfamethizole;4.192391304;4.142586291
sulfathiazole;2.989130435;3.382241368
sulfamerazine;0.985869565;2.106957033
sulfacetamide;1.115217391;1.838841021
sulfadiazine;1.275;1.985326532
sulfaguanidine;0.44673913;1.613696119
sulfaquinoxaline;16.79782609;12.96016687
sulfamethoxazole;5.819565217;4.914096368
testosterone;5.67032967;5.72465352
cortisone;1.612222222;2.949582617
betamethasone;2.984615385;3.120596558
dehydroepiandrosterone;6.230769231;6.23743876
corticosterone;2.526373626;3.298097351
norethisterone;6.102197802;6.564879692
progesterone;12.87802198;9.53203856
pyridine;0;0.950350716
methyl benzoate;2.993406593;3.150923239
nitrocyclohexane;2.189010989;1.912108126
anisole;2.620879121;2.652442332
phenol;1.547252747;1.513002068
benzamide;1.483516484;1.91230828
cumene;5.808791209;4.964185032
2-4-dichlorophenol;9.203296703;5.957675348
nandrolone;4.142857143;5.428369597
mesterolone;6.241758242;6.504482038
purpurin;0;2.773586186
ketoprofen;23.86813187;18.15467085
naproxen;32.76923077;18.96768324
ibuprofen;11.17582418;11.97548281
aspirin;9.186813187;7.357246874
ethisterone;4.791208791;5.810271386
testosterone cypionate;9.582417582;10.13934878
testosterone isocaproate;10.7032967;10.28772247
testosterone undecanoate;10.61538462;10.75196471
propylparaben;5.770833333;6.155257935
benzene;1.625;1.83620947
toluene;2.71875;2.539183588
1-cloro-4-nitrobenzene;4.526315789;4.271879623
naphthalene;13.21052632;9.721236975
2-ethoxybenzoic acid;7.968421053;7.310014455
3-(2-furyl)acrylic acid;4.621052632;4.474949897
phthalide;2.305263158;2.737880323
diphenylmethanol;3.968421053;4.949188207
m-cresol;2.094736842;2.170038723
p-benzoquinone;1.084210526;1.216396331
catechol;1.168421053;1.326705803
3-4-dihydroxy benzoic acid;4.168421053;4.633044689
4-hydroxy benzoic acid;3.536842105;3.950398367
benzyl alcohol;0.642105263;1.431241277
3-(5-methylfuran-2-yl)-propionic acid;2.115789474;2.879272075
syringic acid;5.315789474;5.524269855
alpha-resorcylic acid;7.968421053;6.194828508
pyrogallol;1;1.603624368
acetophenone;1.926315789;2.384896061
propiophenone;2.978947368;3.434759362
butyrophenone;4.136842105;4.404577015
valerophenone;5.968421053;6.32593794
hexanophenone;8.989473684;7.518480577
4-tert-butylphenol;3.726315789;4.522549699
2-7-dihydroxy naphthalene;12.25263158;10.00677062
1-2-4-trimethyl benzene;5.663157895;5.205225416
gibberellic acid;0.505263158;3.633035375
4-Phenyl-1-3-Dioxane;1.431578947;2.678477056
vanillic acid;4.084210526;4.527738282
diphenyl carbonate;6.073684211;6.541936054
trans-2-hexenyl acetate;0.968421053;1.881115785
4-tert-butylbenzoic acid;17.53052632;12.30727955
bisphenol A;14.26315789;12.03486661
BHA (3-tert-Butyl-4-hydroxyanisole);5.368421053;5.717578363
butyl phenyl ether;6.094736842;5.9192969
toluic acid;6.357894737;5.684882557
equiline;14.51578947;11.43019898
Sebuthylazine;3.813186813;3.9127521
aldicarb;1.282608696;2.161869179
MCPB;15.27173913;11.98637176
indole-3-butyric acid;10.27173913;10.338932
ATRAZIN-DESETHYL-2-HYDROXY;1.402173913;2.117053711
mecoprop-P;0;2.395075246
cyanazin;3.282608696;3.92711234
ISOPROTURON;5.391304348;5.725796025
metamitron;1.130434783;2.614935778
terbutylazine;5.510869565;4.971043226
linuron;10.25;8.404733624
alachlor;3.252747253;4.312853476
1-3-butanediol diacrylate;1.010989011;2.370582565
nortriptyline;-0.131868132;3.054769019
3-4-dichloro aniline;0.958762887;2.717974175
5-7-dimethoxycoumarin;5.758241758;5.997840016
quercetin;7.8125;8.294965841
formononetin;2.369565217;4.826257413
(+)-catechin hydrate;4.301075269;7.909104109
naringin;8.554347826;11.05960058
(-)-epicatechin;9.752688172;8.524337484
(+)-catechin;9.391304348;7.909104109
tert-butylhydroquinone;4.333333333;4.640315379
propyl gallate;7.691489362;7.388830466
folinic acid sodium salt;17.97849462;15.90820389
riboflavin;1.161290323;4.202763111
L-(+)-ascorbic acid;0.290322581;1.486084764
hydrochloridethiazide;4.924731183;4.721306607
5-5-diphenylhydantoin;8.688172043;8.530990624
antipyrine;6.298969072;5.637040651
acetaminophen;1.075268817;1.874407476
isoeugenol;5.59375;5.225417606
eugenol;3.861702128;4.07652702
L-(-)-carvone;3.692307692;3.621741054
vanillin;2.258064516;2.911732277
geraniol;2.32967033;3.039898184
camphor;1.720430108;2.628149915
o-methylanisole;3.276595745;3.378136993
cinnamaldehyde;4.634408602;4.100893246
cinnamyl alcohol;2.451612903;3.046408989
dimethyl phthalate;2.150537634;2.806834969
isopropyl isocyanate;0;0.727120428
methylparaben;2.559139785;2.97789655
ethylparaben;3.731182796;4.086721122
butylparaben;8.150537634;7.645558919
cefamandole;23.8;17.27809537
fmoc chloride;0.29787234;2.591749384
(+)-griseofulvin;9.957446809;9.198482091
hippuric acid;8.840425532;7.691580735
3-nitrophenol;2.329787234;2.736917305
thymine;0.234042553;0.871813222
carbamazepine;8.436170213;7.788795733
abiraterone;0.340425532;3.29075072
estriol;5.095744681;5.891712936
chlorambucil;7.446808511;9.297705311
2-hydroxypyridine;0.819148936;0.822294301
piroxicam;7.904255319;9.508182782
methyl-p-toluene sulfonate;4.106382979;4.07160759
tropic acid;2.115789474;2.991483623
PyBOP;4.357894737;4.957515564
p-toluenesulfonyl isocyanate;2.168421053;2.637764413
rifampicin;6.452631579;7.123222561
thiamethoxam;2.255319149;3.314252366
4-(dimethylamino)benzoic acid;3.776595745;4.538432456
