Compound_name;y_test;y_pred
sulfamethizole;4.192391304;6.286395963
sulfamerazine;0.985869565;4.200317633
sulfacetamide;1.115217391;2.300363829
sulfadiazine;1.275;3.169672769
sulfaguanidine;0.44673913;1.525244442
sulfaquinoxaline;16.79782609;9.810273409
sulfamethoxazole;5.819565217;5.266330531
testosterone;5.67032967;6.061631144
prednisone;1.665934066;3.480511311
estrone;13.17692308;9.051757157
exemestane;5.857142857;6.646102229
17-alpha-hydroxyprogesterone acetate;5.520879121;6.100675044
cortisone;1.612222222;3.500276248
betamethasone;2.984615385;3.136688271
dehydroepiandrosterone;6.230769231;6.444965386
norethisterone;6.102197802;5.764595541
progesterone;12.87802198;7.08508132
pyridine;0;0.71784676
methyl benzoate;2.993406593;3.444613818
nitrocyclohexane;2.189010989;1.789592082
anisole;2.620879121;2.292322417
phenol;1.547252747;2.50194361
benzamide;1.483516484;2.718000542
cumene;5.808791209;4.224009683
2-4-dichlorophenol;9.203296703;4.487005417
nandrolone;4.142857143;6.007314318
mesterolone;6.241758242;6.486027307
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-;4.351648352;5.60092491
purpurin;0;4.528674302
ketoprofen;23.86813187;13.91879992
ibuprofen;11.17582418;10.93137945
aspirin;9.186813187;5.930464756
ethisterone;4.791208791;5.991624794
testosterone cypionate;9.582417582;9.232458129
testosterone isocaproate;10.7032967;8.541681852
testosterone undecanoate;10.61538462;10.61596046
Caffeine;0.541666667;1.931404463
propylparaben;5.770833333;6.127480967
benzene;1.625;3.143103723
toluene;2.71875;3.258103386
1-cloro-4-nitrobenzene;4.526315789;4.530754607
naphthalene;13.21052632;7.265014213
2-ethoxybenzoic acid;7.968421053;5.839577559
phthalide;2.305263158;2.759203145
diphenylmethanol;3.968421053;6.054354793
m-cresol;2.094736842;3.04028134
p-benzoquinone;1.084210526;1.917073136
catechol;1.168421053;1.657877064
3-4-dihydroxy benzoic acid;4.168421053;4.750345766
4-hydroxy benzoic acid;3.536842105;5.156668357
benzyl alcohol;0.642105263;1.851506057
syringic acid;5.315789474;4.666198083
alpha-resorcylic acid;7.968421053;4.884804669
pyrogallol;1;1.697192134
acetophenone;1.926315789;3.755447605
propiophenone;2.978947368;4.059017771
butyrophenone;4.136842105;4.491203228
valerophenone;5.968421053;5.789693199
hexanophenone;8.989473684;6.575447614
4-tert-butylphenol;3.726315789;4.794686933
2-7-dihydroxy naphthalene;12.25263158;6.623101389
1-2-4-trimethyl benzene;5.663157895;4.425133173
gibberellic acid;0.505263158;3.177748614
4-Phenyl-1-3-Dioxane;1.431578947;4.086086699
vanillic acid;4.084210526;4.958751282
benzoin methyl ether;5.084210526;6.387584786
trans-2-hexenyl acetate;0.968421053;3.052359521
4-tert-butylbenzoic acid;17.53052632;9.509719048
butyl phenyl ether;6.094736842;4.689228035
toluic acid;6.357894737;5.509797173
equiline;14.51578947;8.712712616
Sebuthylazine;3.813186813;3.549353069
MCPB;15.27173913;10.59783603
indole-3-butyric acid;10.27173913;8.973308025
ATRAZIN-DESETHYL-2-HYDROXY;1.402173913;2.496486377
mecoprop-P;0;5.403771482
ISOPROTURON;5.391304348;5.722874738
metamitron;1.130434783;3.453416387
terbutylazine;5.510869565;4.433586517
linuron;10.25;6.429276604
alachlor;3.252747253;4.348605627
nortriptyline;-0.131868132;4.266782346
3-4-dichloro aniline;0.958762887;3.590906649
5-7-dimethoxycoumarin;5.758241758;4.253497186
trans-ferulic acid;1.865979381;5.592309548
quercetin;7.8125;7.750960055
formononetin;2.369565217;7.499591348
Rutin Hydrate;9.020833333;8.126432828
(+)-catechin hydrate;4.301075269;7.821988841
pentoxifylline;2.731182796;3.765903924
naringin;8.554347826;9.001382164
(-)-epicatechin;9.752688172;7.95332486
(+)-catechin;9.391304348;7.821988841
tert-butylhydroquinone;4.333333333;4.549812455
propyl gallate;7.691489362;5.434402674
folinic acid sodium salt;17.97849462;16.18613591
riboflavin;1.161290323;3.57150767
hydrochloridethiazide;4.924731183;4.554376939
5-5-diphenylhydantoin;8.688172043;7.000480088
antipyrine;6.298969072;4.348686382
acetaminophen;1.075268817;3.765897051
isoeugenol;5.59375;3.892660798
eugenol;3.861702128;3.635343623
L-(-)-carvone;3.692307692;3.047304086
vanillin;2.258064516;2.360265963
(+)-carvone;3.946236559;3.082917343
geraniol;2.32967033;2.652231258
camphor;1.720430108;2.075501223
o-methylanisole;3.276595745;2.611113967
cinnamaldehyde;4.634408602;4.271688924
cinnamyl alcohol;2.451612903;3.165967727
dimethyl phthalate;2.150537634;3.326092261
diethyl phthalate;3.602150538;5.552675588
methylparaben;2.559139785;3.351135635
ethylparaben;3.731182796;4.617644347
butylparaben;8.150537634;6.537958527
cefamandole;23.8;19.16675247
myclobutanil;6.580645161;6.879519108
fmoc chloride;0.29787234;4.690596823
hippuric acid;8.840425532;7.216711105
3-nitrophenol;2.329787234;2.698821776
thymine;0.234042553;0.769433908
carbamazepine;8.436170213;5.933479055
dansyl chloride;7.723404255;7.278449972
abiraterone;0.340425532;5.53574536
estriol;5.095744681;6.643286762
chlorambucil;7.446808511;8.759934854
2-hydroxypyridine;0.819148936;1.273573199
piroxicam;7.904255319;7.807185306
methyl-p-toluene sulfonate;4.106382979;5.014754025
tropolone;2.670212766;2.084083937
tropic acid;2.115789474;5.047129447
PyBOP;4.357894737;4.682290813
p-toluenesulfonyl isocyanate;2.168421053;3.129753666
rifampicin;6.452631579;6.712727542
4-(dimethylamino)benzoic acid;3.776595745;6.261760402
