Compound_name;y_test;y_pred
sulfamethizole;4.192391304;4.324018276
sulfamerazine;0.985869565;1.096599109
sulfacetamide;1.115217391;1.011951399
sulfadiazine;1.275;1.175722974
sulfaguanidine;0.44673913;0.352688033
sulfaquinoxaline;16.79782609;16.68823689
sulfamethoxazole;5.819565217;5.714112101
testosterone;5.67032967;5.541611207
prednisone;1.665934066;1.539356672
estrone;13.17692308;13.05687042
exemestane;5.857142857;5.943211879
17-alpha-hydroxyprogesterone acetate;5.520879121;5.635885195
cortisone;1.612222222;1.731816806
betamethasone;2.984615385;2.916630994
dehydroepiandrosterone;6.230769231;6.317833812
norethisterone;6.102197802;5.997300745
progesterone;12.87802198;10.19296051
pyridine;0;-0.093127897
methyl benzoate;2.993406593;3.115409628
nitrocyclohexane;2.189010989;2.083221653
anisole;2.620879121;2.504833659
phenol;1.547252747;1.653191349
benzamide;1.483516484;1.380806957
cumene;5.808791209;5.714277469
2-4-dichlorophenol;9.203296703;9.120594041
nandrolone;4.142857143;4.655372537
mesterolone;6.241758242;6.148633854
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-;4.351648352;4.42668552
purpurin;0;0.110858572
ketoprofen;23.86813187;18.90944935
ibuprofen;11.17582418;11.28912249
aspirin;9.186813187;9.077507289
ethisterone;4.791208791;5.88359088
testosterone cypionate;9.582417582;9.683198736
testosterone isocaproate;10.7032967;10.57888367
testosterone undecanoate;10.61538462;10.71932441
Caffeine;0.541666667;0.652039685
propylparaben;5.770833333;6.079905852
benzene;1.625;1.755965539
toluene;2.71875;2.597163718
1-cloro-4-nitrobenzene;4.526315789;4.67150573
naphthalene;13.21052632;13.12712409
2-ethoxybenzoic acid;7.968421053;7.84533894
phthalide;2.305263158;2.180565531
diphenylmethanol;3.968421053;4.047817125
m-cresol;2.094736842;2.201158393
p-benzoquinone;1.084210526;1.232710174
catechol;1.168421053;1.059883923
3-4-dihydroxy benzoic acid;4.168421053;4.294615059
4-hydroxy benzoic acid;3.536842105;3.621960689
benzyl alcohol;0.642105263;0.562117898
syringic acid;5.315789474;5.191203688
alpha-resorcylic acid;7.968421053;7.8610465
pyrogallol;1;1.135777963
acetophenone;1.926315789;2.036803888
propiophenone;2.978947368;2.874880661
butyrophenone;4.136842105;4.253137328
valerophenone;5.968421053;6.055301354
hexanophenone;8.989473684;8.858902337
4-tert-butylphenol;3.726315789;3.794546465
2-7-dihydroxy naphthalene;12.25263158;11.4092433
1-2-4-trimethyl benzene;5.663157895;5.551630197
gibberellic acid;0.505263158;0.390257575
4-Phenyl-1-3-Dioxane;1.431578947;1.542411689
vanillic acid;4.084210526;4.185240168
benzoin methyl ether;5.084210526;4.960540088
trans-2-hexenyl acetate;0.968421053;1.085139752
4-tert-butylbenzoic acid;17.53052632;14.77528536
butyl phenyl ether;6.094736842;5.97290037
toluic acid;6.357894737;6.233253782
equiline;14.51578947;12.37937053
Sebuthylazine;3.813186813;3.70985782
MCPB;15.27173913;15.16912001
indole-3-butyric acid;10.27173913;10.37098079
ATRAZIN-DESETHYL-2-HYDROXY;1.402173913;1.488001606
mecoprop-P;0;0.127797088
ISOPROTURON;5.391304348;5.47027392
metamitron;1.130434783;1.236432832
terbutylazine;5.510869565;5.415556156
linuron;10.25;10.15667652
alachlor;3.252747253;3.35026668
nortriptyline;-0.131868132;-0.027262752
3-4-dichloro aniline;0.958762887;1.102549336
5-7-dimethoxycoumarin;5.758241758;5.647954762
trans-ferulic acid;1.865979381;1.967078891
quercetin;7.8125;7.888327526
formononetin;2.369565217;3.55372655
Rutin Hydrate;9.020833333;8.953550535
(+)-catechin hydrate;4.301075269;9.274449363
pentoxifylline;2.731182796;2.625967334
naringin;8.554347826;8.465890158
(-)-epicatechin;9.752688172;9.621390617
(+)-catechin;9.391304348;9.274449363
tert-butylhydroquinone;4.333333333;4.42719806
propyl gallate;7.691489362;7.564960471
folinic acid sodium salt;17.97849462;18.07347875
riboflavin;1.161290323;1.037027976
hydrochloridethiazide;4.924731183;4.836596308
5-5-diphenylhydantoin;8.688172043;8.58171423
antipyrine;6.298969072;6.175415207
acetaminophen;1.075268817;1.183715518
isoeugenol;5.59375;5.281790753
eugenol;3.861702128;3.944328868
L-(-)-carvone;3.692307692;3.782213181
vanillin;2.258064516;2.152382821
(+)-carvone;3.946236559;3.834044234
geraniol;2.32967033;2.209557303
camphor;1.720430108;1.863181153
o-methylanisole;3.276595745;3.223232413
cinnamaldehyde;4.634408602;4.515702352
cinnamyl alcohol;2.451612903;2.561345274
dimethyl phthalate;2.150537634;2.040260267
diethyl phthalate;3.602150538;3.712189027
methylparaben;2.559139785;2.434584325
ethylparaben;3.731182796;3.603098481
butylparaben;8.150537634;8.052241437
cefamandole;23.8;23.72655686
myclobutanil;6.580645161;6.670838587
fmoc chloride;0.29787234;0.402552957
hippuric acid;8.840425532;8.830173228
3-nitrophenol;2.329787234;2.417619202
thymine;0.234042553;0.37505819
carbamazepine;8.436170213;8.341579436
dansyl chloride;7.723404255;7.594872796
abiraterone;0.340425532;0.460452698
estriol;5.095744681;5.176487815
chlorambucil;7.446808511;7.544374048
2-hydroxypyridine;0.819148936;0.723087584
piroxicam;7.904255319;7.806690059
methyl-p-toluene sulfonate;4.106382979;4.224997935
tropolone;2.670212766;2.590271498
tropic acid;2.115789474;2.211264763
PyBOP;4.357894737;4.475224303
p-toluenesulfonyl isocyanate;2.168421053;2.287237272
rifampicin;6.452631579;6.604225829
4-(dimethylamino)benzoic acid;3.776595745;3.875256146
