Importance,Molecular Descriptor
0.029992225,CATS2D_01_DN
0.024981324,P_VSA_ppp_N
0.02465745,CATS3D_05_NL
0.018314306,CATS2D_02_DA
0.01601022,CATS3D_07_NL
0.01554741,CATS2D_02_NL
0.015257474,nRCOOH
0.014281277,SpMin4_Bh(s)
0.013815444,H6m
0.012720055,CATS2D_07_AL
0.01229995,Mor20u
0.012230205,TDB10m
0.010318126,ATS7m
0.0100290645,QYYm
0.010012039,R3s
0.009840964,CATS2D_09_NL
0.009402766,TDB10v
0.008892255,CATS2D_03_NL
0.008598856,nLevel8
0.007919978,CATS3D_06_NL
0.0074306144,TDB04e
0.0073579443,phLevel2
0.0073470976,Mor23u
0.0072982395,CATS3D_07_AL
0.0069990493,RDF080m
0.006897777,TDB10s
0.006798693,CATS2D_06_NL
0.006667888,MDEC-23
0.006659565,Mor23p
0.0064403224,ICR
0.0063012363,SHED_AN
0.0061184983,SHED_NL
0.0060656318,Mor02s
0.0057540415,SpMin2_Bh(s)
0.00563518,TDB04s
0.005447558,SHED_DN
0.005202189,GATS7i
0.005151587,R4s+
0.0048695947,B06_C-O_
0.004721176,TDB09m
0.004661389,VE1sign_RG
0.0045823646,G(O..O)
0.004560602,R8u
0.0045368476,R7m+
0.004427687,piPC08
0.0043192557,H8s
0.0042338157,SpMax2_Bh(v)
0.0041306806,R3m
0.0040751146,RDF105s
0.004068927,R3m+
0.003852542,HATS8u
0.0038160626,R6v
0.0038089168,RGyr
0.003789684,CATS3D_08_LL
0.0037886067,mindssC
0.0037195135,s3_phRelSize
0.0036495551,R4e+
0.0036430568,HATS2s
0.0035679352,CATS3D_09_DL
0.0035347396,H5m
0.0034551688,CATS2D_05_NL
0.0034218577,F04_C-O_
0.0032822785,Mor21s
0.0032701446,arLevel1
0.0032609394,C-040
0.0029832975,PW5
0.0029508932,SM13_AEA(bo)
0.0029014659,TDB09v
0.0028150198,R3v+
0.002764418,minaasC
0.0027569493,HATS3m
0.0027251139,Eta_epsi_2
0.0026813361,RDF040m
0.0025948682,CATS2D_04_DA
0.0025946416,CATS3D_02_AA
0.0025615015,HATS6v
0.0025610833,MDEC-22
0.0025272965,MATS4e
0.0025254064,R2v+
0.0025243931,MSD
0.0024356032,R2s+
0.0024050195,SpMAD_B(m)
0.002401393,H7u
0.0023605584,ESOL
0.0023447461,SpMax3_Bh(s)
0.002326664,P_VSA_ppp_L
0.0022923928,Mor26v
0.0022336538,RDF100m
0.0022151035,minaaN
0.0021751227,Mor26u
0.0021611978,Fsp3
0.0021490254,Eta_betaP_A
0.0021342696,RDF065s
0.0020899947,piPC09
0.002077833,P_VSA_charge_9
0.002072203,SM10_AEA(bo)
0.0020644588,VE3sign_B(m)
0.0020462475,RDF130u
0.0020038297,Eta_D_epsiB
0.0019955218,QED
0.0019855774,Mor23v
0.00197821,NaasC
0.0019674639,SpMax_AEA(dm)
