Compound_name;y_test;y_pred
sulfamethizole;4.192391304;4.19701
sulfathiazole;2.989130435;3.0187635
sulfamerazine;0.985869565;1.0342292
sulfadiazine;1.275;1.2575377
sulfaguanidine;0.44673913;0.5041222
sulfamethoxazole;5.819565217;5.7702527
testosterone;5.67032967;5.666488
prednisone;1.665934066;1.6451007
estrone;13.17692308;13.092489
exemestane;5.857142857;5.92835
17-alpha-hydroxyprogesterone acetate;5.520879121;5.4990306
cortisone;1.612222222;1.62522
betamethasone;2.984615385;2.9572544
corticosterone;2.526373626;2.5523427
norethisterone;6.102197802;6.145941
progesterone;12.87802198;12.756829
pyridine;0;0.4997064
methyl benzoate;2.993406593;2.9929028
nitrocyclohexane;2.189010989;2.119389
anisole;2.620879121;2.5296395
phenol;1.547252747;1.5567926
benzamide;1.483516484;1.5350978
2-4-dichlorophenol;9.203296703;8.936275
nandrolone;4.142857143;4.2887897
mesterolone;6.241758242;6.2073765
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-;4.351648352;4.363111
purpurin;0;0.5116752
naproxen;32.76923077;28.885992
ibuprofen;11.17582418;11.154172
aspirin;9.186813187;9.062465
ethisterone;4.791208791;4.7644377
testosterone cypionate;9.582417582;9.608335
testosterone isocaproate;10.7032967;10.655646
Caffeine;0.541666667;0.5485448
benzene;1.625;1.5913792
toluene;2.71875;2.6367996
1-cloro-4-nitrobenzene;4.526315789;4.47581
naphthalene;13.21052632;13.12916
2-ethoxybenzoic acid;7.968421053;7.8185596
3-(2-furyl)acrylic acid;4.621052632;4.5777407
diphenylmethanol;3.968421053;3.977474
m-cresol;2.094736842;2.109702
p-benzoquinone;1.084210526;1.0317175
catechol;1.168421053;1.1303294
3-4-dihydroxy benzoic acid;4.168421053;4.24441
benzyl alcohol;0.642105263;0.6632663
3-(5-methylfuran-2-yl)-propionic acid;2.115789474;2.1277468
syringic acid;5.315789474;5.277615
alpha-resorcylic acid;7.968421053;7.6778536
pyrogallol;1;0.9658058
acetophenone;1.926315789;1.9984447
propiophenone;2.978947368;2.9988508
butyrophenone;4.136842105;4.1711063
valerophenone;5.968421053;5.999886
hexanophenone;8.989473684;8.879017
4-tert-butylphenol;3.726315789;3.7007
1-2-4-trimethyl benzene;5.663157895;5.633573
gibberellic acid;0.505263158;0.55629015
4-Phenyl-1-3-Dioxane;1.431578947;1.5048331
vanillic acid;4.084210526;4.117906
benzoin methyl ether;5.084210526;5.101032
diphenyl carbonate;6.073684211;6.0373087
trans-2-hexenyl acetate;0.968421053;0.9596006
4-tert-butylbenzoic acid;17.53052632;17.492352
bisphenol A;14.26315789;14.200706
BHA (3-tert-Butyl-4-hydroxyanisole);5.368421053;5.4071093
butyl phenyl ether;6.094736842;6.0244174
toluic acid;6.357894737;6.302783
equiline;14.51578947;14.455388
Sebuthylazine;3.813186813;3.759277
aldicarb;1.282608696;1.2572716
MCPB;15.27173913;15.230501
indole-3-butyric acid;10.27173913;10.227229
ATRAZIN-DESETHYL-2-HYDROXY;1.402173913;1.4091109
mecoprop-P;0;0.50792927
cyanazin;3.282608696;3.2371225
ISOPROTURON;5.391304348;5.4164762
metamitron;1.130434783;1.2278593
alachlor;3.252747253;3.2436333
1-3-butanediol diacrylate;1.010989011;0.963754
3-4-dichloro aniline;0.958762887;1.0622234
5-7-dimethoxycoumarin;5.758241758;5.789754
trans-ferulic acid;1.865979381;2.0602329
quercetin;7.8125;7.738707
formononetin;2.369565217;2.52869
Rutin Hydrate;9.020833333;8.985133
(+)-catechin hydrate;4.301075269;4.677845
pentoxifylline;2.731182796;2.7775197
naringin;8.554347826;8.532258
(-)-epicatechin;9.752688172;9.643079
tert-butylhydroquinone;4.333333333;4.401431
propyl gallate;7.691489362;7.684536
folinic acid sodium salt;17.97849462;17.956734
riboflavin;1.161290323;1.2026364
L-(+)-ascorbic acid;0.290322581;0.5
hydrochloridethiazide;4.924731183;4.866763
5-5-diphenylhydantoin;8.688172043;8.6647005
antipyrine;6.298969072;6.3273873
acetaminophen;1.075268817;1.1623744
isoeugenol;5.59375;5.5382547
eugenol;3.861702128;4.089345
L-(-)-carvone;3.692307692;3.7447846
vanillin;2.258064516;2.3911357
(+)-carvone;3.946236559;3.8733354
camphor;1.720430108;1.7074198
o-methylanisole;3.276595745;3.2468832
cinnamaldehyde;4.634408602;4.5682807
cinnamyl alcohol;2.451612903;2.5327477
dimethyl phthalate;2.150537634;2.1448417
diethyl phthalate;3.602150538;3.6471615
isopropyl isocyanate;0;0.4997064
methylparaben;2.559139785;2.616914
ethylparaben;3.731182796;3.8456695
butylparaben;8.150537634;8.130958
cefamandole;23.8;23.780355
myclobutanil;6.580645161;6.611938
fmoc chloride;0.29787234;0.5183611
(+)-griseofulvin;9.957446809;9.88581
hippuric acid;8.840425532;8.807057
3-nitrophenol;2.329787234;2.366054
thymine;0.234042553;0.4997064
carbamazepine;8.436170213;8.409565
dansyl chloride;7.723404255;7.687964
abiraterone;0.340425532;0.5596727
estriol;5.095744681;5.267592
2-hydroxypyridine;0.819148936;0.7509057
piroxicam;7.904255319;7.867203
methyl-p-toluene sulfonate;4.106382979;4.16026
tropolone;2.670212766;2.6303515
tropic acid;2.115789474;2.1908088
PyBOP;4.357894737;4.3261313
p-toluenesulfonyl isocyanate;2.168421053;2.144536
rifampicin;6.452631579;6.4317946
thiamethoxam;2.255319149;2.2197065
4-(dimethylamino)benzoic acid;3.776595745;3.8565292
