Compound_name;y_test;y_pred
sulfamethizole;4.192391304;4.051047219
sulfathiazole;2.989130435;3.165882808
sulfamerazine;0.985869565;2.497347302
sulfacetamide;1.115217391;2.010295588
sulfadiazine;1.275;2.344346807
sulfaguanidine;0.44673913;1.447259162
sulfaquinoxaline;16.79782609;11.06804991
sulfamethoxazole;5.819565217;4.570243117
testosterone;5.67032967;5.732917813
prednisone;1.665934066;2.924259321
estrone;13.17692308;10.06677279
exemestane;5.857142857;6.179635873
17-alpha-hydroxyprogesterone acetate;5.520879121;5.544295699
betamethasone;2.984615385;3.252541605
dehydroepiandrosterone;6.230769231;6.007020048
corticosterone;2.526373626;3.310759354
norethisterone;6.102197802;5.793332179
progesterone;12.87802198;7.564660159
pyridine;0;1.031827704
methyl benzoate;2.993406593;3.05560274
nitrocyclohexane;2.189010989;2.20372757
anisole;2.620879121;2.571409242
phenol;1.547252747;1.598970047
benzamide;1.483516484;2.026528415
cumene;5.808791209;4.510828789
2-4-dichlorophenol;9.203296703;5.729969716
nandrolone;4.142857143;5.625053444
mesterolone;6.241758242;6.152871739
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-;4.351648352;5.135971657
ketoprofen;23.86813187;14.82160538
naproxen;32.76923077;16.72007555
ibuprofen;11.17582418;10.40328795
aspirin;9.186813187;6.938261391
ethisterone;4.791208791;5.448332513
testosterone isocaproate;10.7032967;9.73078245
testosterone undecanoate;10.61538462;10.07054406
Caffeine;0.541666667;1.676390998
propylparaben;5.770833333;5.888550651
benzene;1.625;1.503612089
toluene;2.71875;2.384151291
1-cloro-4-nitrobenzene;4.526315789;3.726478026
2-ethoxybenzoic acid;7.968421053;6.28245835
3-(2-furyl)acrylic acid;4.621052632;4.093420885
phthalide;2.305263158;2.485929308
diphenylmethanol;3.968421053;4.838969298
m-cresol;2.094736842;2.170349988
p-benzoquinone;1.084210526;1.335349613
catechol;1.168421053;1.477307502
4-hydroxy benzoic acid;3.536842105;3.632395051
benzyl alcohol;0.642105263;1.761666661
3-(5-methylfuran-2-yl)-propionic acid;2.115789474;3.06833686
syringic acid;5.315789474;4.992929963
alpha-resorcylic acid;7.968421053;5.641625468
pyrogallol;1;1.6668933
propiophenone;2.978947368;3.326143463
valerophenone;5.968421053;5.873139309
hexanophenone;8.989473684;7.006148488
4-tert-butylphenol;3.726315789;4.227968731
2-7-dihydroxy naphthalene;12.25263158;8.680369074
1-2-4-trimethyl benzene;5.663157895;4.633176764
gibberellic acid;0.505263158;2.654781773
4-Phenyl-1-3-Dioxane;1.431578947;2.753926687
vanillic acid;4.084210526;4.150939669
benzoin methyl ether;5.084210526;5.603905128
diphenyl carbonate;6.073684211;6.10116516
trans-2-hexenyl acetate;0.968421053;1.866151537
4-tert-butylbenzoic acid;17.53052632;10.58738855
bisphenol A;14.26315789;10.39618609
BHA (3-tert-Butyl-4-hydroxyanisole);5.368421053;5.122046427
butyl phenyl ether;6.094736842;5.439174378
toluic acid;6.357894737;4.602163002
equiline;14.51578947;10.5733686
Sebuthylazine;3.813186813;4.044141736
aldicarb;1.282608696;1.779864657
MCPB;15.27173913;11.12976924
indole-3-butyric acid;10.27173913;9.489781787
ATRAZIN-DESETHYL-2-HYDROXY;1.402173913;2.237184315
mecoprop-P;0;3.119438512
cyanazin;3.282608696;3.78981738
ISOPROTURON;5.391304348;5.566916201
terbutylazine;5.510869565;4.533997335
linuron;10.25;8.150843838
alachlor;3.252747253;4.261750423
1-3-butanediol diacrylate;1.010989011;2.167190227
nortriptyline;-0.131868132;2.483610331
3-4-dichloro aniline;0.958762887;2.236982418
5-7-dimethoxycoumarin;5.758241758;5.457008708
trans-ferulic acid;1.865979381;3.685394893
quercetin;7.8125;8.085243579
formononetin;2.369565217;5.181684425
Rutin Hydrate;9.020833333;8.755514614
pentoxifylline;2.731182796;3.392157626
naringin;8.554347826;9.109088265
(+)-catechin;9.391304348;8.688451559
tert-butylhydroquinone;4.333333333;4.503496479
propyl gallate;7.691489362;6.837583247
folinic acid sodium salt;17.97849462;14.82076693
riboflavin;1.161290323;3.578864066
L-(+)-ascorbic acid;0.290322581;1.266776641
hydrochloridethiazide;4.924731183;4.684469755
5-5-diphenylhydantoin;8.688172043;7.698432221
antipyrine;6.298969072;5.730244857
acetaminophen;1.075268817;2.160874398
isoeugenol;5.59375;4.956109144
vanillin;2.258064516;2.87289714
(+)-carvone;3.946236559;3.726384949
geraniol;2.32967033;2.561739834
camphor;1.720430108;2.22568757
o-methylanisole;3.276595745;3.170347097
cinnamaldehyde;4.634408602;3.964034814
dimethyl phthalate;2.150537634;3.040909638
