Importance,Molecular Descriptor
0.019990399915817112,CATS3D_07_NL
0.010669118492498044,CATS2D_06_NL
0.009853991019959294,CATS2D_04_NL
0.00919366535964673,CATS3D_06_NL
0.008974167780801075,Mor20u
0.007960690761828142,EE_Dt
0.007662526551289123,s3_phRelSize
0.007198775097891959,B08_C-C_
0.007177436946876106,SHED_AN
0.00703235805465839,GATS7v
0.006680967371264752,Mor26m
0.006544242276843328,P_VSA_ppp_N
0.006492901686381345,QYYm
0.006447057430000052,CATS3D_08_AL
0.006424917924861095,HOMT
0.00626170078404124,ATS7m
0.006125849139730597,meanDistFromCC
0.00587611578405565,TDB10m
0.0056487467592636655,TDB09m
0.005544192277137341,QEDu
0.005307144688460536,Mor23u
0.005015173899415806,Mor25u
0.004732024377982659,CATS3D_04_NL
0.004604020975583026,TDB09v
0.004497380544077101,Au
0.004332281762143372,MDEC-23
0.004237214826414251,RDF080m
0.004221764470765583,MDEC-33
0.004148924083129147,Mor23p
0.004114287481083016,MSD
0.004046609416781636,Mor09m
0.004045200148193229,TDB10s
0.004036807898774844,Mor06u
0.004003353063530598,Mor23s
0.00394037250044142,QED
0.0039335327363063805,RDF080u
0.0039005687660130677,CATS2D_01_DN
0.003864032136618962,Qmean
0.0038103121372350503,mindssC
0.0037996708056930602,CATS3D_08_NL
0.0037310672635984593,SpMAD_EA(bo)
0.00371060596645575,HyWi_B(s)
0.0036664540920672874,SpMax_B(s)
0.0036563289882335435,VE3sign_G
0.0036457896000469353,GATS7p
0.0036076313289237555,GATS2e
0.0035944925711140895,WHALES100_Isol
0.003591312467562181,SHED_AL
0.0034749914350973533,VE2_Dz(Z)
0.0034686465248230775,SpMaxA_EA(ed)
0.0034674809196814523,Mor23v
0.003449637199943475,Mor28m
0.0034426450523327053,nCsp2
0.0034094388143810998,MDEC-22
0.003400463597167708,VE1sign_RG
0.0034004217932818537,SpMin1_Bh(m)
0.0033507885913993253,Chi_Dz(Z)
0.003299528580826665,SpMax1_Bh(p)
0.0032939267918387183,RDF035u
0.00325749519438739,SpMin2_Bh(s)
0.003234960987928209,R4e+
0.0032196696591741646,Mor26v
0.003192892614924951,Mor13v
0.0031561368833804104,CATS2D_07_AL
0.0030677763332227002,VE3sign_B(p)
0.003029428311597836,Mor11m
0.0030122371574026778,GATS7i
0.002991545377723406,SM03_EA(dm)
0.002977468828438975,H2s
0.0029335773367756193,P2u
0.002916969588131671,SM12_AEA(bo)
0.0028987629325706588,qnmax
0.0028975875925195804,Mor12m
0.0028903142462702418,Mor16s
0.002858708310388126,P_VSA_s_4
0.002796505263862147,SM06_AEA(dm)
0.0027823096129889636,X5A
0.0027695504963765644,Mor21v
0.0027590613475720143,Acon
0.002721596679080061,R5m+
0.002715822185229232,Mor02v
0.002712536897761872,MATS4p
0.0026931717642810797,R8s
0.0026896266565264158,SHP2
0.0026799101142559153,P_VSA_charge_7
0.0026773045886299557,RDF055m
0.0026766407384159556,RDF100m
0.0026539396966240945,VE3sign_D
0.002620128300479868,EE_B(m)
0.002612263870660066,R1u+
0.0026114412486877635,GD
0.0026014459099482955,VR2_G
0.0025743658622306665,Chi_Dz(v)
0.0025686283564757186,Mor15m
0.0025512959641109277,piPC08
0.0025506455721769415,RDF090s
0.002542997834083595,RDF115u
0.002539463309381477,Psi_i_A
0.0025130709878160296,TDB08v
0.002492562715703198,SpMax_EA(dm)
0.002492238558470778,RDF050m
0.002490891250369862,H1v
0.0024784175220842553,RDF075m
0.002464129053146852,SM02_AEA(dm)
0.0024514574300202887,Mor26p
0.0024100703542578534,CATS2D_00_LL
0.002397283158555449,TDB02v
0.002393998588571744,SpMin1_Bh(s)
0.0023930377426548263,Eta_FL
0.0023909891840651564,DISPs
0.002375499561585535,RDF105u
0.0023752934697192324,WHALES20_Rem
0.002361540286253339,TDB04p
0.002343824609069369,PCR
0.0023364759866047633,AVS_B(e)
0.002333750489121877,TDB05i
0.0023260007252660637,phLevel2
