Compound_name,y_test,y_pred
sulfamethizole,4.192391304,4.164613860780476
sulfathiazole,2.989130435,3.372444849047785
sulfamerazine,0.985869565,2.0943430256722384
sulfacetamide,1.115217391,1.6896535260707384
sulfadiazine,1.275,1.9695196134412383
sulfaguanidine,0.44673913,1.4816643149523807
sulfaquinoxaline,16.79782609,12.753066398855402
sulfamethoxazole,5.819565217,5.107791897484261
prednisone,1.665934066,2.316620204094191
estrone,13.17692308,10.163149326749329
exemestane,5.857142857,6.38593916065231
17-alpha-hydroxyprogesterone acetate,5.520879121,5.894759997981213
cortisone,1.612222222,2.367165203079524
betamethasone,2.984615385,3.239144243095238
dehydroepiandrosterone,6.230769231,6.464750447681116
norethisterone,6.102197802,6.128809037083381
progesterone,12.87802198,9.664758083295165
pyridine,0.0,0.7706172590071192
methyl benzoate,2.993406593,2.9441571873108563
nitrocyclohexane,2.189010989,2.196457071914261
phenol,1.547252747,1.4560849799837141
cumene,5.808791209,4.720854047888786
nandrolone,4.142857143,5.433554632635953
mesterolone,6.241758242,6.822510738217784
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,4.351648352,4.765584382453167
purpurin,0.0,2.460094243476096
ketoprofen,23.86813187,18.095229169980712
naproxen,32.76923077,19.00262774034738
ibuprofen,11.17582418,11.421265332485024
aspirin,9.186813187,6.932863384729261
ethisterone,4.791208791,5.075675663334429
testosterone cypionate,9.582417582,10.495724163168642
testosterone isocaproate,10.7032967,10.629811098418408
testosterone undecanoate,10.61538462,10.779593847922406
Caffeine,0.541666667,1.6862279616939446
propylparaben,5.770833333,6.3848109248149765
benzene,1.625,1.8238679954851418
toluene,2.71875,2.306732634320381
1-cloro-4-nitrobenzene,4.526315789,3.9281493625132167
3-(2-furyl)acrylic acid,4.621052632,4.551041309188929
phthalide,2.305263158,2.4267858181203086
diphenylmethanol,3.968421053,5.06663485948719
m-cresol,2.094736842,2.0853373352898337
p-benzoquinone,1.084210526,1.306068865700381
catechol,1.168421053,1.3785203782649758
3-4-dihydroxy benzoic acid,4.168421053,4.680059928129236
4-hydroxy benzoic acid,3.536842105,3.90643395373288
benzyl alcohol,0.642105263,1.4465893579360476
3-(5-methylfuran-2-yl)-propionic acid,2.115789474,2.97437218559361
syringic acid,5.315789474,5.366630804844999
alpha-resorcylic acid,7.968421053,6.067259785258881
pyrogallol,1.0,1.4548658593763093
acetophenone,1.926315789,2.3082595195525957
propiophenone,2.978947368,3.1641525860963085
butyrophenone,4.136842105,4.2932443483059295
valerophenone,5.968421053,6.005777450709832
hexanophenone,8.989473684,7.798447253755619
4-tert-butylphenol,3.726315789,4.6284906836163335
2-7-dihydroxy naphthalene,12.25263158,9.156714243534903
gibberellic acid,0.505263158,2.838522757874547
4-Phenyl-1-3-Dioxane,1.431578947,2.1991429526266897
vanillic acid,4.084210526,4.158783431307855
benzoin methyl ether,5.084210526,5.947407002332002
diphenyl carbonate,6.073684211,6.8544423756969275
trans-2-hexenyl acetate,0.968421053,1.7336345847329766
4-tert-butylbenzoic acid,17.53052632,11.307999010247451
bisphenol A,14.26315789,11.856169102560475
BHA (3-tert-Butyl-4-hydroxyanisole),5.368421053,5.423511421255687
butyl phenyl ether,6.094736842,5.784341412971405
toluic acid,6.357894737,5.638830492114215
Sebuthylazine,3.813186813,4.408021427046859
aldicarb,1.282608696,1.9528818768536906
MCPB,15.27173913,12.813690013217311
indole-3-butyric acid,10.27173913,10.708799297726905
ATRAZIN-DESETHYL-2-HYDROXY,1.402173913,1.8820291833925946
mecoprop-P,0.0,2.745259260798429
cyanazin,3.282608696,3.6694315353528246
ISOPROTURON,5.391304348,5.9288238777309035
metamitron,1.130434783,2.2565686400290947
terbutylazine,5.510869565,5.106970300647525
linuron,10.25,8.340892115100074
1-3-butanediol diacrylate,1.010989011,2.1997525499387613
nortriptyline,-0.131868132,3.013930184810572
5-7-dimethoxycoumarin,5.758241758,5.8100935389480854
trans-ferulic acid,1.865979381,3.1175920009495384
quercetin,7.8125,8.279172460969361
Rutin Hydrate,9.020833333,9.959060638087454
(+)-catechin hydrate,4.301075269,7.8228600214649076
pentoxifylline,2.731182796,3.5855078041041906
naringin,8.554347826,9.959253629844406
(-)-epicatechin,9.752688172,8.72542083439198
(+)-catechin,9.391304348,7.8228600214649076
tert-butylhydroquinone,4.333333333,4.60265026697138
propyl gallate,7.691489362,7.488337600108976
folinic acid sodium salt,17.97849462,16.267818583484097
riboflavin,1.161290323,4.048029625979022
L-(+)-ascorbic acid,0.290322581,1.301264194299286
hydrochloridethiazide,4.924731183,4.532584205115451
5-5-diphenylhydantoin,8.688172043,8.478998461341975
antipyrine,6.298969072,5.871139885847993
acetaminophen,1.075268817,1.8822497694593971
isoeugenol,5.59375,4.963999555361379
eugenol,3.861702128,3.942373994562476
L-(-)-carvone,3.692307692,3.8612511627428323
vanillin,2.258064516,2.65990324784157
(+)-carvone,3.946236559,3.8192387563318095
geraniol,2.32967033,3.0098000027686673
camphor,1.720430108,2.316796177253215
o-methylanisole,3.276595745,3.4062496405643814
cinnamyl alcohol,2.451612903,2.8361863371694995
dimethyl phthalate,2.150537634,2.51149833063769
diethyl phthalate,3.602150538,4.1140788018068575
isopropyl isocyanate,0.0,0.7088636080442141
ethylparaben,3.731182796,4.0162639090532055
butylparaben,8.150537634,8.047447510538195
cefamandole,23.8,17.41085879051231
myclobutanil,6.580645161,6.924219843461357
fmoc chloride,0.29787234,2.858069755611429
(+)-griseofulvin,9.957446809,9.276274990966861
hippuric acid,8.840425532,8.114243696437383
3-nitrophenol,2.329787234,2.7764698770120235
thymine,0.234042553,0.8178737675755957
carbamazepine,8.436170213,7.903698467982206
abiraterone,0.340425532,3.193080315302477
estriol,5.095744681,5.853723033316478
chlorambucil,7.446808511,8.896531366059909
2-hydroxypyridine,0.819148936,0.8094671708726672
piroxicam,7.904255319,8.815624776001098
methyl-p-toluene sulfonate,4.106382979,3.8956297930562354
tropolone,2.670212766,2.2834199863388807
tropic acid,2.115789474,2.8993621375089527
PyBOP,4.357894737,5.140836252345475
p-toluenesulfonyl isocyanate,2.168421053,2.844498768201713
rifampicin,6.452631579,7.082307154237526
thiamethoxam,2.255319149,3.2781868310457134
4-(dimethylamino)benzoic acid,3.776595745,4.327949316666784
