Compound_name,y_test,y_pred
sulfamethizole,4.192391304,4.734272120014976
sulfathiazole,2.989130435,3.720297431286831
sulfamerazine,0.985869565,3.1081784888912587
sulfadiazine,1.275,2.101736441841611
sulfaguanidine,0.44673913,1.3200295816381988
sulfamethoxazole,5.819565217,4.469185964229558
testosterone,5.67032967,6.013925219629234
prednisone,1.665934066,3.333741918909543
estrone,13.17692308,9.303749789449839
exemestane,5.857142857,6.705092444090787
17-alpha-hydroxyprogesterone acetate,5.520879121,6.175627114878104
cortisone,1.612222222,3.244527786430143
betamethasone,2.984615385,2.9020885287778895
corticosterone,2.526373626,3.791658885353726
norethisterone,6.102197802,6.176608264508427
progesterone,12.87802198,6.822543031904867
pyridine,0.0,0.406318534447343
methyl benzoate,2.993406593,3.4932186640228036
nitrocyclohexane,2.189010989,1.7013320524270978
anisole,2.620879121,2.64883707666886
phenol,1.547252747,2.5025752999283957
benzamide,1.483516484,2.5400324464598594
"2,4-dichlorophenol",9.203296703,4.504924362151414
nandrolone,4.142857143,5.799625851841926
mesterolone,6.241758242,6.351463207472869
"Androsta-1,4-dien-3-one, 17beta-hydroxy-17-methyl-",4.351648352,5.825229544448826
purpurin,0.0,4.638894676776698
naproxen,32.76923077,15.873487484444265
ibuprofen,11.17582418,11.580802479674427
aspirin,9.186813187,5.7933136181464215
ethisterone,4.791208791,6.196404342125775
testosterone cypionate,9.582417582,9.193599604847286
testosterone isocaproate,10.7032967,8.632734609885894
Caffeine,0.541666667,1.4556766089530764
benzene,1.625,2.9776934755413764
toluene,2.71875,3.6128905986255386
1-cloro-4-nitrobenzene,4.526315789,4.359217962887488
naphthalene,13.21052632,7.651434262278208
2-ethoxybenzoic acid,7.968421053,6.045915304556715
3-(2-furyl)acrylic acid,4.621052632,4.778382676937392
diphenylmethanol,3.968421053,6.087331490640657
m-cresol,2.094736842,3.066246854750122
p-benzoquinone,1.084210526,1.5395351790851044
catechol,1.168421053,1.5948703741231685
"3,4-dihydroxy benzoic acid",4.168421053,4.669018142307493
benzyl alcohol,0.642105263,2.1434742841963113
3-(5-methylfuran-2-yl)-propionic acid,2.115789474,5.258481432515133
syringic acid,5.315789474,5.1571820933709756
alpha-resorcylic acid,7.968421053,4.706690438812297
pyrogallol,1.0,1.6364684646170846
acetophenone,1.926315789,3.5351705228995214
propiophenone,2.978947368,3.867755594652746
butyrophenone,4.136842105,4.2440723594799135
valerophenone,5.968421053,5.720131547290055
hexanophenone,8.989473684,6.356858716251359
4-tert-butylphenol,3.726315789,4.889002168282547
"1,2,4-trimethyl benzene",5.663157895,4.586446012359026
gibberellic acid,0.505263158,3.971947713321936
"4-Phenyl-1,3-Dioxane",1.431578947,4.120551346216045
vanillic acid,4.084210526,4.773846808663897
benzoin methyl ether,5.084210526,6.9970170647577135
diphenyl carbonate,6.073684211,6.3973838537141114
trans-2-hexenyl acetate,0.968421053,2.664246966046199
4-tert-butylbenzoic acid,17.53052632,9.981410231323537
bisphenol A,14.26315789,8.960955800051805
BHA (3-tert-Butyl-4-hydroxyanisole),5.368421053,5.147628936941244
butyl phenyl ether,6.094736842,4.961390520767973
toluic acid,6.357894737,5.912060614706762
equiline,14.51578947,9.114673901267928
Sebuthylazine,3.813186813,3.5665130276855184
aldicarb,1.282608696,2.0849157814262655
MCPB,15.27173913,10.75800620609886
indole-3-butyric acid,10.27173913,9.279090800802987
ATRAZIN-DESETHYL-2-HYDROXY,1.402173913,1.4384529846333405
mecoprop-P,0.0,5.311409645827521
cyanazin,3.282608696,3.607251593025415
ISOPROTURON,5.391304348,6.463491804005979
metamitron,1.130434783,3.302477953907962
alachlor,3.252747253,4.28621725242907
"1,3-butanediol diacrylate",1.010989011,3.0325334086380287
"3,4-dichloro aniline",0.958762887,3.133089533793998
"5,7-dimethoxycoumarin",5.758241758,5.011945306531834
trans-ferulic acid,1.865979381,5.8524789489492814
quercetin,7.8125,7.280936039490478
formononetin,2.369565217,7.595982242243277
Rutin Hydrate,9.020833333,8.145894618074735
(+)-catechin hydrate,4.301075269,7.839655267552797
pentoxifylline,2.731182796,3.816700461178573
naringin,8.554347826,9.104900136522954
(-)-epicatechin,9.752688172,8.088939166766668
tert-butylhydroquinone,4.333333333,4.553976761627427
propyl gallate,7.691489362,5.306451908571276
folinic acid sodium salt,17.97849462,15.824362608427974
riboflavin,1.161290323,3.7761683209801613
L-(+)-ascorbic acid,0.290322581,-0.6049056699095288
hydrochloridethiazide,4.924731183,3.9272594125068503
"5,5-diphenylhydantoin",8.688172043,6.953884332051429
antipyrine,6.298969072,4.27727415851059
acetaminophen,1.075268817,3.012704488999947
isoeugenol,5.59375,4.126358008543791
eugenol,3.861702128,3.7159680881352464
L-(-)-carvone,3.692307692,3.1562609521628584
vanillin,2.258064516,2.160788245853301
(+)-carvone,3.946236559,3.1958171640180257
camphor,1.720430108,2.3275984694278438
o-methylanisole,3.276595745,3.144935634163824
cinnamaldehyde,4.634408602,3.9285573486863496
cinnamyl alcohol,2.451612903,3.136841205532961
dimethyl phthalate,2.150537634,3.0852323845320853
diethyl phthalate,3.602150538,5.879464257717278
isopropyl isocyanate,0.0,-0.3369997394081361
methylparaben,2.559139785,3.196304416701003
ethylparaben,3.731182796,4.67126311018567
butylparaben,8.150537634,6.678387075453273
cefamandole,23.8,18.787860246810446
myclobutanil,6.580645161,6.677307002340662
fmoc chloride,0.29787234,4.85559941657632
(+)-griseofulvin,9.957446809,7.439749636895088
hippuric acid,8.840425532,7.091042857948416
3-nitrophenol,2.329787234,2.603111115218714
thymine,0.234042553,0.3636262590755799
carbamazepine,8.436170213,5.7779102218421174
dansyl chloride,7.723404255,7.4369976055350975
abiraterone,0.340425532,5.97553701888293
estriol,5.095744681,6.9542125509094035
2-hydroxypyridine,0.819148936,0.8022490969824683
piroxicam,7.904255319,7.245906827018118
methyl-p-toluene sulfonate,4.106382979,4.898191939073098
tropolone,2.670212766,1.9755232353677372
tropic acid,2.115789474,5.531594847110221
PyBOP,4.357894737,4.271253851224216
p-toluenesulfonyl isocyanate,2.168421053,2.9867035837200433
rifampicin,6.452631579,7.041454255635941
thiamethoxam,2.255319149,2.6757629151369504
4-(dimethylamino)benzoic acid,3.776595745,6.623675347841908
