Importance,Molecular Descriptor
0.021461703,CATS2D_07_AL
0.019817416,R8u
0.017430354,CATS2D_02_NL
0.013936687,RDF095u
0.013455116,CATS3D_07_NL
0.012691602,TDB10s
0.011725623,SHED_AN
0.011493946,R2m+
0.011310815,P_VSA_ppp_N
0.010828997,R6v
0.010071439,Mor20u
0.009408154,MDEO-12
0.009377835,TDB07v
0.00925457,CATS3D_06_NL
0.009240706,CATS3D_07_AL
0.008845253,SpMin1_Bh(s)
0.008475768,CATS2D_02_DA
0.008190506,Mor23u
0.0077245836,SpMin4_Bh(s)
0.0075401664,Mor23p
0.0070190914,HTm
0.0066267955,CATS2D_06_NL
0.006617868,ATSC6e
0.0063593923,VE3sign_Dt
0.0060945544,TDB03m
0.0060651014,HTs
0.005972867,Mor02s
0.005868589,CATS2D_07_LL
0.005844104,H6m
0.005410182,SpPosA_Coulomb
0.005260657,Mor10m
0.0051901666,R3v+
0.0051863412,QYYm
0.005089574,Mor02v
0.00484156,ESOL
0.0044246865,s4_numAroBonds
0.004405993,RDF025s
0.004385404,MaxaasC
0.004377822,Q2
0.0043763947,SPP
0.004343582,SHED_NL
0.004184749,Mor25v
0.004144285,C-006
0.004099417,nLevel8
0.00409906,Mor23v
0.0040614344,TDB10v
0.003959432,SHED_LL
0.0039343997,Mor21v
0.003923868,SdsN
0.003860698,TDB10m
0.0037994622,piPC08
0.0037846316,HATS3s
0.0037063304,F05_N-O_
0.0036975134,CATS2D_03_NL
0.003664068,MDEC-23
0.0036548707,Eta_psi1
0.0036212292,X4A
0.0035367738,CATS2D_04_DL
0.0034888429,TDB04m
0.0034252885,mindssC
0.0033647357,TDB01i
0.003125916,RNCG
0.0031043645,MLOGP
0.0031023745,CATS3D_02_AA
0.0030991603,ChiA_B(s)
0.003079076,WHALES60_IR
0.0030733938,HATS5m
0.0030387621,TDB03s
0.0030372732,CATS3D_06_AL
0.0030337549,HATS6m
0.0029319036,TDB01e
0.0028931964,QEDu
0.0028790974,RDF080m
0.0028782184,phLevel2
0.0028440848,qnmax
0.00281061,VE2_RG
0.0028070696,Mor26v
0.0028062768,Mor12v
0.0027810202,SpMin2_Bh(s)
0.0027804552,WHALES10_Isol
0.0027732558,CATS3D_08_DL
0.002769576,GATS5i
0.0027432423,VE1sign_RG
0.002742206,LOGP99
0.0027372271,ATSC5s
0.002661575,HATS2m
0.0026387156,SssssC
0.0026339374,H5m
0.0026310345,P_VSA_LogP_6
0.002620878,P_VSA_s_3
0.0026196337,CATS2D_04_NL
0.0025946663,HATS6v
0.0025821524,CATS2D_01_NL
0.002542324,SM10_AEA(bo)
0.0024962057,R8m
0.0024386325,SpMax2_Bh(s)
0.0024354812,Mor32s
0.0024334434,R7v
0.0024171972,R2s+
0.0024077836,Mor23s
0.002407259,TDB09m
0.0023879728,C-016
0.0023760307,MLOGP2
0.0023379305,Mor26p
0.0023145317,CATS3D_05_NL
0.00230372,Mor29m
0.0022984198,Mor21s
0.002267167,ALOGP
0.002263734,RDF040s
0.0022399733,Mor03s
0.0022039814,s3_phRelSize
0.0021463071,RDF035m
0.0021406505,GATS7i
0.002123693,R5m+
0.0020460861,TDB04s
0.002025341,C-026
0.0020237432,piPC07
0.0020206003,R5u+
0.002017258,TDB08m
0.0020107846,GATS4m
0.002003961,PCWTE1
0.001986542,CATS2D_01_DN
0.0019711996,Eta_epsi_2
0.0019673193,VE2sign_Dz(p)
0.0019526419,F06_N-O_
0.0019437782,SM12_AEA(bo)
0.001907958,PW4
0.0019035307,SpDiam_EA(bo)
0.0018904511,Eta_epsi_5
0.0018841183,P_VSA_LogP_4
0.0018406435,nPyridines
0.0017986371,MATS4m
0.0017637793,G2m
0.0017393837,ATSC3e
0.0017359708,nTB
0.0017349701,CATS3D_12_AA
0.0017232527,nHet
0.0017211472,NaasC
0.0017162438,MATS2p
0.0017096627,F04_C-O_
0.0017049216,CATS2D_03_DL
0.0016786298,H1s
0.0016685699,VE3sign_B(m)
0.0016619515,mindO
0.0016567007,MSD
0.0016517587,SpMin1_Bh(v)
0.0016478589,TDB03v
0.0016381359,Mor11u
0.0016217805,P1m
0.0016051687,MATS7m
0.0015959523,N-075
0.0015869414,CATS3D_08_AL
0.0015843709,Mor09s
0.0015796536,HATS3p
0.0015761897,HATS0v
0.0015625287,F02_N-N_
0.001547479,P_VSA_MR_6
0.0015456019,ATSC8e
0.0015359259,L1u
0.0015245344,Mor25m
0.0015141005,R5v
0.001510725,R8v
0.0014898942,Eta_D_AlphaB
0.0014844823,PW5
0.0014745856,HATSe
0.0014730974,ATSC5e
0.0014622449,G(O..O)
0.0014522407,nN=C-N_
0.0014425516,R8s+
0.0014419524,Mor14s
0.0014203242,WHALES70_Isol
0.0014199304,P_VSA_MR_2
0.0014103764,R4e+
0.0014058859,HATS4p
0.0014003448,CIC4
0.0013996714,VE3sign_D
0.0013963754,Eig02_EA(dm)
0.001393208,Eta_sh_y
0.0013887916,HATS8m
0.0013769576,CATS2D_05_NL
0.0013714781,Mor26u
0.0013679775,qpmax
0.001352547,MATS8i
0.0013413043,TDB07m
0.0013326214,RDF090m
0.00132341,P_VSA_charge_12
0.0013209861,ATSC4s
0.0013065543,TDB04u
0.0013013241,minaaCH
0.0013009147,GATS8i
0.0012970418,CATS2D_06_AP
0.0012873646,WiA_D/Dt
0.0012822505,RDF060v
0.0012816978,piPC09
0.0012772005,E3s
0.00127623,Mor10v
0.0012720922,RDF110s
0.0012712715,F02_C-O_
0.0012635908,J_Dz(p)
0.001261992,VE3sign_B(p)
0.0012519845,R5s
0.0012496711,P_VSA_ppp_cyc
0.0012403612,TDB07u
0.0012374461,Mor30m
0.0012368984,SM13_AEA(bo)
0.0012318509,Mor11m
0.0012250898,GATS5p
0.0012210526,Mor11s
0.0012099475,P_VSA_charge_3
0.0011842396,R4s+
0.0011838521,piPC10
0.0011751832,ChiA_B(m)
0.0011735692,H0v
0.0011725944,nS
0.0011616142,IDDE
0.0011614125,CATS2D_06_DL
0.0011545261,piPC06
0.0011450028,HATSm
0.0011394644,SpMax3_Bh(s)
0.001129112,MATS6p
0.0011259355,Mor28v
0.001124954,nCp
0.0011051381,P_VSA_m_3
0.0010962223,RDF130u
0.0010871299,ChiA_B(v)
0.0010864619,nCIR
0.0010842485,RDF040m
0.0010783824,CATS3D_05_AA
0.0010742754,Mor04m
0.0010668299,R6u
0.0010638052,SpMAD_AEA(dm)
0.0010601353,GD
0.0010527917,RDF090s
0.0010498712,minsssCH
0.0010495067,SpMAD_B(s)
0.0010472933,R4m
0.001044366,VE1sign_Dz(p)
0.0010409828,CATS3D_02_AL
0.0010377589,VE1sign_Dz(e)
0.001034659,SpMAD_AEA(ed)
0.001032642,WHALES50_Isol
0.0010317382,WHALES70_IR
0.0010289269,RDF065m
0.0010267089,Mor21u
0.0010149649,H1v
0.0010068249,F09_C-N_
0.0010043407,RDF100m
0.0009999154,CATS2D_07_PL
0.0009991071,H3s
0.0009965551,WHALES60_Isol
0.000996178,nCsp2
0.0009953035,Mor32v
0.0009837664,MATS6i
0.0009807196,Mor22v
0.0009746004,SpPosA_B(i)
0.00097129744,VE1_X
0.00097034604,Eta_F_A
0.00096592424,Mor18v
0.00096002466,SpMax1_Bh(v)
0.0009554412,Mor25u
0.0009547228,MATS8m
0.0009343175,CMBL
0.0009326781,Mor17s
0.0009185481,B05_N-O_
0.00091775844,HATS4u
0.0009150821,Mor23m
0.0009093373,D/Dtr05
0.00090857246,RBN
0.00090106385,Mor32m
0.00088837,SpMAD_EA(ri)
0.0008828912,VE1_D/Dt
0.00088250753,H%
0.0008767799,RDF030u
0.0008745147,MATS1v
0.0008744692,J_D/Dt
0.0008697795,CATS2D_06_AN
0.00086654193,RDF060u
0.00086347666,VE1sign_Dz(v)
0.0008626247,IVDE
0.00085873506,RDF120s
0.00085509184,MATS4s
0.00085506827,MATS4e
0.0008531497,RDF020s
0.0008448319,R8m+
0.0008432576,J_Dz(e)
0.00084113324,nLevel7
0.00084089313,MATS5p
0.0008407311,MDEO-22
0.00084064173,SM02_AEA(dm)
0.000838732,MDEC-22
0.00083870627,Mv
0.00082864234,TDB02p
0.0008239866,SpDiam_AEA(dm)
0.00082371285,E3u
0.0008179444,GATS4p
0.0008162778,R3m+
0.0008154595,RTs+
0.0008115735,SaaaC
0.0008114837,Mor24s
0.00080956105,ChiA_B(e)
0.0008026625,VE2_D
0.00079925434,NaaaC
0.0007983299,SpMax2_Bh(m)
0.00079319515,R7u
0.00079061877,VE1sign_B(s)
0.0007870214,SpMax1_Bh(p)
0.0007863837,WHALES100_IR
0.0007815883,Mor05s
0.00077690877,RDF050s
0.0007679342,Eta_beta
0.00076676253,CATS2D_05_AN
0.0007633633,ICR
0.00075777434,SpMax_B(m)
0.0007575561,J_Dt
0.00075619266,T(N..O)
0.00075522286,SpMin2_Bh(m)
0.00075424823,SpMin3_Bh(s)
0.0007461226,G(N..O)
0.00073992077,MATS3v
0.00073734624,F04_N-O_
0.00073590584,VE3sign_Dz(v)
0.0007300981,H-052
0.00072878145,minaasC
0.0007263345,Mi
0.0007185525,nP
0.0007151006,VE1_RG
0.0007145535,Mor17m
0.00071384606,R7m
0.0007125772,AMW
0.0007108293,TDB05p
0.00070656795,MDEC-33
0.0007042241,Eig03_AEA(dm)
0.0007042159,Mor21m
0.0007026575,R1v+
0.0006973335,R4s
0.0006935295,G1u
0.0006930398,MATS7e
0.0006927449,Wap
0.0006899903,SpPosA_G/D
0.0006898811,QED
0.00068924244,VE1sign_X
0.0006791734,SpPosA_B(p)
0.00067854166,J_Coulomb
0.0006784016,Eta_F
0.0006781918,GATS1e
0.00067245733,RDF050m
0.0006697508,H0m
0.00066878606,MATS2i
