Compound_name,y_test,y_pred
sulfamethizole,4.192391304,4.175685
sulfathiazole,2.989130435,3.0269153
sulfamerazine,0.985869565,1.0717359
sulfacetamide,1.115217391,1.1441602
sulfadiazine,1.275,1.264465
sulfaguanidine,0.44673913,0.518306
sulfaquinoxaline,16.79782609,16.743528
testosterone,5.67032967,5.7159185
prednisone,1.665934066,1.6485474
estrone,13.17692308,13.111703
exemestane,5.857142857,5.8857923
17-alpha-hydroxyprogesterone acetate,5.520879121,5.4961014
cortisone,1.612222222,1.5900651
betamethasone,2.984615385,2.9430647
dehydroepiandrosterone,6.230769231,6.2137413
corticosterone,2.526373626,2.5618746
norethisterone,6.102197802,6.132053
progesterone,12.87802198,12.716291
pyridine,0.0,0.49755105
methyl benzoate,2.993406593,2.9810445
nitrocyclohexane,2.189010989,2.1309323
anisole,2.620879121,2.5441313
phenol,1.547252747,1.5593904
benzamide,1.483516484,1.5523432
cumene,5.808791209,5.6309905
2-4-dichlorophenol,9.203296703,8.845423
nandrolone,4.142857143,4.2696238
mesterolone,6.241758242,6.194092
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,4.351648352,4.3685465
purpurin,0.0,0.50707674
ketoprofen,23.86813187,23.824091
naproxen,32.76923077,28.908155
aspirin,9.186813187,9.081272
ethisterone,4.791208791,4.7537723
testosterone cypionate,9.582417582,9.589317
testosterone undecanoate,10.61538462,10.574912
Caffeine,0.541666667,0.57108706
benzene,1.625,1.586477
toluene,2.71875,2.6404393
1-cloro-4-nitrobenzene,4.526315789,4.464954
naphthalene,13.21052632,13.177899
2-ethoxybenzoic acid,7.968421053,7.816392
3-(2-furyl)acrylic acid,4.621052632,4.571522
phthalide,2.305263158,2.2926223
diphenylmethanol,3.968421053,3.9661279
m-cresol,2.094736842,2.1186166
p-benzoquinone,1.084210526,1.0579224
3-4-dihydroxy benzoic acid,4.168421053,4.207938
4-hydroxy benzoic acid,3.536842105,3.629913
3-(5-methylfuran-2-yl)-propionic acid,2.115789474,2.114424
syringic acid,5.315789474,5.2696133
alpha-resorcylic acid,7.968421053,7.677117
pyrogallol,1.0,0.9915564
acetophenone,1.926315789,2.0382075
propiophenone,2.978947368,3.0219305
butyrophenone,4.136842105,4.0993533
4-tert-butylphenol,3.726315789,3.7382932
2-7-dihydroxy naphthalene,12.25263158,12.156281
1-2-4-trimethyl benzene,5.663157895,5.618412
gibberellic acid,0.505263158,0.5776424
4-Phenyl-1-3-Dioxane,1.431578947,1.5469284
vanillic acid,4.084210526,4.144872
benzoin methyl ether,5.084210526,5.1175985
trans-2-hexenyl acetate,0.968421053,0.94941264
bisphenol A,14.26315789,14.192572
BHA (3-tert-Butyl-4-hydroxyanisole),5.368421053,5.356639
toluic acid,6.357894737,6.2679462
equiline,14.51578947,14.470915
Sebuthylazine,3.813186813,3.8118315
aldicarb,1.282608696,1.2393881
MCPB,15.27173913,15.217333
indole-3-butyric acid,10.27173913,10.242752
ATRAZIN-DESETHYL-2-HYDROXY,1.402173913,1.4245409
mecoprop-P,0.0,0.50514525
cyanazin,3.282608696,3.3117619
metamitron,1.130434783,1.2523898
terbutylazine,5.510869565,5.4086885
linuron,10.25,10.2086
alachlor,3.252747253,3.2865214
1-3-butanediol diacrylate,1.010989011,0.9838813
nortriptyline,-0.131868132,0.50237685
3-4-dichloro aniline,0.958762887,1.1364003
5-7-dimethoxycoumarin,5.758241758,5.8074393
trans-ferulic acid,1.865979381,2.035503
quercetin,7.8125,7.7802696
formononetin,2.369565217,2.4589758
Rutin Hydrate,9.020833333,8.983651
(+)-catechin hydrate,4.301075269,6.94059
naringin,8.554347826,8.550593
(-)-epicatechin,9.752688172,9.623136
(+)-catechin,9.391304348,6.94059
tert-butylhydroquinone,4.333333333,4.4344144
propyl gallate,7.691489362,7.677724
folinic acid sodium salt,17.97849462,17.951063
L-(+)-ascorbic acid,0.290322581,0.49755105
hydrochloridethiazide,4.924731183,4.8660064
5-5-diphenylhydantoin,8.688172043,8.698895
antipyrine,6.298969072,6.396065
acetaminophen,1.075268817,1.1294848
isoeugenol,5.59375,5.600804
L-(-)-carvone,3.692307692,3.7862244
vanillin,2.258064516,2.3469129
(+)-carvone,3.946236559,3.8443048
geraniol,2.32967033,2.299221
camphor,1.720430108,1.6943687
o-methylanisole,3.276595745,3.250373
cinnamaldehyde,4.634408602,4.5319924
cinnamyl alcohol,2.451612903,2.5388358
dimethyl phthalate,2.150537634,2.1729627
diethyl phthalate,3.602150538,3.6518018
isopropyl isocyanate,0.0,0.49755105
methylparaben,2.559139785,2.6158059
ethylparaben,3.731182796,3.8597448
butylparaben,8.150537634,8.102148
cefamandole,23.8,23.77697
myclobutanil,6.580645161,6.596924
fmoc chloride,0.29787234,0.52224654
(+)-griseofulvin,9.957446809,9.905771
hippuric acid,8.840425532,8.798485
thymine,0.234042553,0.49781466
carbamazepine,8.436170213,8.392263
dansyl chloride,7.723404255,7.692569
abiraterone,0.340425532,0.5487396
estriol,5.095744681,5.22984
chlorambucil,7.446808511,7.4109774
2-hydroxypyridine,0.819148936,0.7320045
piroxicam,7.904255319,7.917314
methyl-p-toluene sulfonate,4.106382979,4.12471
tropolone,2.670212766,2.6126196
tropic acid,2.115789474,2.1664476
PyBOP,4.357894737,4.3221707
p-toluenesulfonyl isocyanate,2.168421053,2.1336386
rifampicin,6.452631579,6.428677
thiamethoxam,2.255319149,2.2182379
4-(dimethylamino)benzoic acid,3.776595745,3.799062
