Compound_name,y_test,y_pred
bisphenol A,14.26315789,14.208566
mecoprop-P,0.0,0.51079386
4-tert-butylbenzoic acid,17.53052632,17.499239
cefamandole,23.8,23.76231
naproxen,32.76923077,28.716812
ketoprofen,23.86813187,23.84154
progesterone,12.87802198,12.858396
purpurin,0.0,0.54910594
MCPB,15.27173913,15.252498
butylparaben,8.150537634,8.134097
dehydroepiandrosterone,6.230769231,6.188351
5-5-diphenylhydantoin,8.688172043,8.649631
norethisterone,6.102197802,6.125608
testosterone,5.67032967,5.651325
hexanophenone,8.989473684,8.940702
BHA (3-tert-Butyl-4-hydroxyanisole),5.368421053,5.389709
2-7-dihydroxy naphthalene,12.25263158,12.21518
myclobutanil,6.580645161,6.5681834
Androsta-1-4-dien-3-one- 17beta-hydroxy-17-methyl-,4.351648352,4.332424
estriol,5.095744681,5.0874596
ethisterone,4.791208791,4.7662735
2-4-dichlorophenol,9.203296703,9.136696
exemestane,5.857142857,5.822693
indole-3-butyric acid,10.27173913,10.218842
naphthalene,13.21052632,13.188978
linuron,10.25,10.232763
nandrolone,4.142857143,4.129198
propyl gallate,7.691489362,7.575205
tert-butylhydroquinone,4.333333333,4.434585
Rutin Hydrate,9.020833333,8.949119
(+)-catechin,9.391304348,9.356514
terbutylazine,5.510869565,5.540703
(+)-griseofulvin,9.957446809,9.725883
4-tert-butylphenol,3.726315789,3.7186852
rifampicin,6.452631579,6.398143
quercetin,7.8125,7.7734866
valerophenone,5.968421053,5.9463916
naringin,8.554347826,8.52279
1-2-4-trimethyl benzene,5.663157895,5.854232
cumene,5.808791209,5.821745
betamethasone,2.984615385,2.9580088
toluic acid,6.357894737,6.341973
isoeugenol,5.59375,5.5722823
aspirin,9.186813187,8.9806185
sulfamethoxazole,5.819565217,6.054648
Sebuthylazine,3.813186813,4.522471
(-)-epicatechin,9.752688172,9.4969015
benzoin methyl ether,5.084210526,5.1406245
ethylparaben,3.731182796,3.6565802
diphenylmethanol,3.968421053,3.9465938
hippuric acid,8.840425532,8.826753
5-7-dimethoxycoumarin,5.758241758,5.794093
carbamazepine,8.436170213,8.357776
alachlor,3.252747253,3.3197217
2-ethoxybenzoic acid,7.968421053,7.903974
cyanazin,3.282608696,3.2517896
3-4-dihydroxy benzoic acid,4.168421053,4.1108236
ISOPROTURON,5.391304348,5.381078
vanillic acid,4.084210526,4.3001776
corticosterone,2.526373626,2.5102954
piroxicam,7.904255319,7.834977
butyrophenone,4.136842105,4.1204
hydrochloridethiazide,4.924731183,4.89477
3-(2-furyl)acrylic acid,4.621052632,4.5972447
sulfamethizole,4.192391304,4.216113
eugenol,3.861702128,3.8639
diethyl phthalate,3.602150538,3.709039
3-4-dichloro aniline,0.958762887,1.0616734
1-cloro-4-nitrobenzene,4.526315789,4.5106993
4-(dimethylamino)benzoic acid,3.776595745,3.749234
o-methylanisole,3.276595745,3.239437
methylparaben,2.559139785,2.6027634
3-nitrophenol,2.329787234,2.2352455
cortisone,1.612222222,1.5955122
trans-ferulic acid,1.865979381,1.8497926
propiophenone,2.978947368,3.796848
tropolone,2.670212766,2.7421658
(+)-carvone,3.946236559,3.9282122
cinnamaldehyde,4.634408602,3.796848
abiraterone,0.340425532,0.7155346
L-(-)-carvone,3.692307692,3.681965
sulfathiazole,2.989130435,2.9690664
m-cresol,2.094736842,2.0688417
3-(5-methylfuran-2-yl)-propionic acid,2.115789474,2.0883985
cinnamyl alcohol,2.451612903,2.5253584
trans-2-hexenyl acetate,0.968421053,1.0155767
camphor,1.720430108,1.8629229
anisole,2.620879121,2.7800665
vanillin,2.258064516,2.2399914
tropic acid,2.115789474,2.2863624
nitrocyclohexane,2.189010989,2.226342
dimethyl phthalate,2.150537634,2.1141574
antipyrine,6.298969072,6.274061
benzene,1.625,1.6865002
phenol,1.547252747,1.607696
sulfadiazine,1.275,1.4645462
phthalide,2.305263158,2.3947897
sulfamerazine,0.985869565,0.9683678
4-Phenyl-1-3-Dioxane,1.431578947,1.4907783
sulfacetamide,1.115217391,1.0850013
catechol,1.168421053,1.1334852
acetaminophen,1.075268817,1.1109322
benzamide,1.483516484,1.4573458
pentoxifylline,2.731182796,2.6825
thiamethoxam,2.255319149,2.2347598
benzyl alcohol,0.642105263,0.6462528
metamitron,1.130434783,1.0957687
riboflavin,1.161290323,1.2106265
L-(+)-ascorbic acid,0.290322581,0.5
Caffeine,0.541666667,0.53243756
thymine,0.234042553,0.5039879
